Author,Review Date,Rating,Title,Review Text,Date of Stay,Trip Type
Meriam S,Jan 2024,5.0 of 5 bubbles,Mr Nice Guy at Wallstreet Coffee + Bar,"We dine in and meet this guy Mr Michael Laspinas, a very accomodating Beverage Officer. We give three thumbs-up to Mr Nice Guy and the rest of the Crew of Wallstreet Coffee + Bar. We will keep on coming here. Highly recommended! 👏🏼👏🏼👏🏼👏🏼",January 2024,NA
Tour477590,Jan 2024,5.0 of 5 bubbles,Amazing experience at breakfast. Nerilyn was an awesome hostess.,Nice accommodation. Great hotel and responsive bell boy. We will recommend Bai hotel to our friends and definitely come back again in the future.Checking out was jot as seamless. It took forever to check the room. We waited for a while. I was told to wait and seat. I had to go and ask the lady at the counter,January 2024,NA
erin s,Jan 2024,5.0 of 5 bubbles,Each of the workers treated us as if we were VIP’s,The service experience was the best everJhona service was above and beyond expectations. We intend on staying with bai hotel until further notice thank you The quality of my room was outstanding and the 21st floor swimming pools were excellent and very clean and comfortable. See you soon bai Hotel,January 2024,NA
NorthStar18423612651,Jan 2024,5.0 of 5 bubbles,Birthday lunch,"I love the variety of food and hospitable service of the staff and crew esp Angel and Allica. Highly recommended for family  friends gathering. I keep coming here for good food, cozy ambiance  friendly staff. Thank you for being part of my birthday month!",January 2024,NA
Ed S,Jan 2024,5.0 of 5 bubbles,"Breakfast buffet, Sunday, January 28",Ranyl at the breakfast buffet was very attentive and accommodating. He’s definitely an asset to your hotel. Thank you for making our breakfast experience enjoyable. We will most certainly include your hotel in our next visit to Cebu in the future.,January 2024,NA
Anil D,Jan 2024,5.0 of 5 bubbles,Ume Japanese Restaurant,"Ume Japanese restaurant is good. Servers, Christine and Eme’ s hospitality and welcome is very warm and nice. They re doing their job very well. Chef Bibi s tastes worth to try! Do not skip to give a try to this restaurant during your stay or visit to Cebu",January 2024,NA
Finding Paradise,Jan 2024,5.0 of 5 bubbles,Great stay in Cebu,Had a great time once again. Staff are great especially Queen. They have a good selection of restaurants including a fantastic buffet one. Their Rooftop swimming pool offers great views of the sjyline if Cebu For me one of the best hotels to stay in Cebu.,January 2024,NA
Arlene B,Jan 2024,5.0 of 5 bubbles,Overall  very nice experience. Would like to stay here again.,"very friendly. Always ready to help, give information . Easy to chat with anytime. Delicious food and selection is great .The swimming pool on 21st And the bar on 23rd floor was a very Pleasant experience . With fantastic views around the city.Read more",January 2024,NA
Sky K,Jan 2024,5.0 of 5 bubbles,Good first day in Cebu,"Because of the delay of the flight, I got the hotel 3-4am so tired. And After 4 hours I headed to the restaurant to have breakfast, BAI staffs welcome I and ppl. Thanks to them, I feel the 1st day in Cebu begins nicely. The foods are also good, too!!",January 2024,NA
Paradise719972,Jan 2024,5.0 of 5 bubbles,Excellent,Excellent food choices and the service is superb. Best value for money indeed. Lueza is so polite and best in communicating guests. She is so alert in responsive to our request. We feel so VIP. The facility is so conducive to relax and unwind .,January 2024,NA
Ester,Jan 2024,5.0 of 5 bubbles,Kudos Ms Newman!,"Ms Maricel Newman, the Manager at Cafe Bai, exemplars excellence in hospitality. Her steadfast commitment to customer satisfaction and attention to details created an enjoyable experience.  She’s always very accommodating, cheerfully willing to make big/small adjustments to help us out, ensures a seamless dining, and making each visit a memorable experience. Her dedication is setting a commendable standard in the realm of exceptional service.",January 2024,NA
Tabasaophelia,Jan 2024,5.0 of 5 bubbles,Thank you to Nathaniel Gian Ampo for booking us a room with the beautiful Cebu harbor at peak season and almost fully booked. Th,I love this hotel especially the front desk personnel Nathaniel Gian Ampo. He always goes out of his way to assist you from checking in and up to the whole duration of your stay in the hotel. Their breakfast buffet is for me really the best compared to all the hotels we've stayed in Cebu City.,January 2024,NA
Sarah W,Jan 2024,4.0 of 5 bubbles,Bai hotel review,"Very friendly and accommodating staff - such as May, who gave excellent service. Wide variety buffet and restaurant options to enjoy. Clean and tidy bedrooms. Wonderful experience at the Bai Hotel in Cebu.",January 2024,NA
Ed S,Jan 2024,5.0 of 5 bubbles,"Breakfast buffet, Sunday, January 28",Ranyl at the breakfast buffet was very attentive and accommodating. He’s definitely an asset to your hotel. Thank you for making our breakfast experience enjoyable. We will most certainly include your hotel in our next visit to Cebu in the future.,January 2024,NA
Anil D,Jan 2024,5.0 of 5 bubbles,Ume Japanese Restaurant,"Ume Japanese restaurant is good. Servers, Christine and Eme’ s hospitality and welcome is very warm and nice. They re doing their job very well. Chef Bibi s tastes worth to try! Do not skip to give a try to this restaurant during your stay or visit to Cebu",January 2024,NA
Finding Paradise,Jan 2024,5.0 of 5 bubbles,Great stay in Cebu,Had a great time once again. Staff are great especially Queen. They have a good selection of restaurants including a fantastic buffet one. Their Rooftop swimming pool offers great views of the sjyline if Cebu For me one of the best hotels to stay in Cebu.,January 2024,NA
Arlene B,Jan 2024,5.0 of 5 bubbles,Overall  very nice experience. Would like to stay here again.,"very friendly. Always ready to help, give information . Easy to chat with anytime. Delicious food and selection is great .The swimming pool on 21st And the bar on 23rd floor was a very Pleasant experience . With fantastic views around the city.Read more",January 2024,NA
Sky K,Jan 2024,5.0 of 5 bubbles,Good first day in Cebu,"Because of the delay of the flight, I got the hotel 3-4am so tired. And After 4 hours I headed to the restaurant to have breakfast, BAI staffs welcome I and ppl. Thanks to them, I feel the 1st day in Cebu begins nicely. The foods are also good, too!!",January 2024,NA
Paradise719972,Jan 2024,5.0 of 5 bubbles,Excellent,Excellent food choices and the service is superb. Best value for money indeed. Lueza is so polite and best in communicating guests. She is so alert in responsive to our request. We feel so VIP. The facility is so conducive to relax and unwind .,January 2024,NA
Ester,Jan 2024,5.0 of 5 bubbles,Kudos Ms Newman!,"Ms Maricel Newman, the Manager at Cafe Bai, exemplars excellence in hospitality. Her steadfast commitment to customer satisfaction and attention to details created an enjoyable experience.  She’s always very accommodating, cheerfully willing to make big/small adjustments to help us out, ensures a seamless dining, and making each visit a memorable experience. Her dedication is setting a commendable standard in the realm of exceptional service.",January 2024,NA
Tabasaophelia,Jan 2024,5.0 of 5 bubbles,Thank you to Nathaniel Gian Ampo for booking us a room with the beautiful Cebu harbor at peak season and almost fully booked. Th,I love this hotel especially the front desk personnel Nathaniel Gian Ampo. He always goes out of his way to assist you from checking in and up to the whole duration of your stay in the hotel. Their breakfast buffet is for me really the best compared to all the hotels we've stayed in Cebu City.,January 2024,NA
Sarah W,Jan 2024,4.0 of 5 bubbles,Bai hotel review,"Very friendly and accommodating staff - such as May, who gave excellent service. Wide variety buffet and restaurant options to enjoy. Clean and tidy bedrooms. Wonderful experience at the Bai Hotel in Cebu.",January 2024,NA
Ed S,Jan 2024,5.0 of 5 bubbles,"Breakfast buffet, Sunday, January 28",Ranyl at the breakfast buffet was very attentive and accommodating. He’s definitely an asset to your hotel. Thank you for making our breakfast experience enjoyable. We will most certainly include your hotel in our next visit to Cebu in the future.,January 2024,NA
Anil D,Jan 2024,5.0 of 5 bubbles,Ume Japanese Restaurant,"Ume Japanese restaurant is good. Servers, Christine and Eme’ s hospitality and welcome is very warm and nice. They re doing their job very well. Chef Bibi s tastes worth to try! Do not skip to give a try to this restaurant during your stay or visit to Cebu",January 2024,NA
Finding Paradise,Jan 2024,5.0 of 5 bubbles,Great stay in Cebu,Had a great time once again. Staff are great especially Queen. They have a good selection of restaurants including a fantastic buffet one. Their Rooftop swimming pool offers great views of the sjyline if Cebu For me one of the best hotels to stay in Cebu.,January 2024,NA
Arlene B,Jan 2024,5.0 of 5 bubbles,Overall  very nice experience. Would like to stay here again.,"very friendly. Always ready to help, give information . Easy to chat with anytime. Delicious food and selection is great .The swimming pool on 21st And the bar on 23rd floor was a very Pleasant experience . With fantastic views around the city.Read more",January 2024,NA
Sky K,Jan 2024,5.0 of 5 bubbles,Good first day in Cebu,"Because of the delay of the flight, I got the hotel 3-4am so tired. And After 4 hours I headed to the restaurant to have breakfast, BAI staffs welcome I and ppl. Thanks to them, I feel the 1st day in Cebu begins nicely. The foods are also good, too!!",January 2024,NA
Paradise719972,Jan 2024,5.0 of 5 bubbles,Excellent,Excellent food choices and the service is superb. Best value for money indeed. Lueza is so polite and best in communicating guests. She is so alert in responsive to our request. We feel so VIP. The facility is so conducive to relax and unwind .,January 2024,NA
Ester,Jan 2024,5.0 of 5 bubbles,Kudos Ms Newman!,"Ms Maricel Newman, the Manager at Cafe Bai, exemplars excellence in hospitality. Her steadfast commitment to customer satisfaction and attention to details created an enjoyable experience.  She’s always very accommodating, cheerfully willing to make big/small adjustments to help us out, ensures a seamless dining, and making each visit a memorable experience. Her dedication is setting a commendable standard in the realm of exceptional service.",January 2024,NA
Tabasaophelia,Jan 2024,5.0 of 5 bubbles,Thank you to Nathaniel Gian Ampo for booking us a room with the beautiful Cebu harbor at peak season and almost fully booked. Th,I love this hotel especially the front desk personnel Nathaniel Gian Ampo. He always goes out of his way to assist you from checking in and up to the whole duration of your stay in the hotel. Their breakfast buffet is for me really the best compared to all the hotels we've stayed in Cebu City.,January 2024,NA
Sarah W,Jan 2024,4.0 of 5 bubbles,Bai hotel review,"Very friendly and accommodating staff - such as May, who gave excellent service. Wide variety buffet and restaurant options to enjoy. Clean and tidy bedrooms. Wonderful experience at the Bai Hotel in Cebu.",January 2024,NA
Ed S,Jan 2024,5.0 of 5 bubbles,"Breakfast buffet, Sunday, January 28",Ranyl at the breakfast buffet was very attentive and accommodating. He’s definitely an asset to your hotel. Thank you for making our breakfast experience enjoyable. We will most certainly include your hotel in our next visit to Cebu in the future.,January 2024,NA
Anil D,Jan 2024,5.0 of 5 bubbles,Ume Japanese Restaurant,"Ume Japanese restaurant is good. Servers, Christine and Eme’ s hospitality and welcome is very warm and nice. They re doing their job very well. Chef Bibi s tastes worth to try! Do not skip to give a try to this restaurant during your stay or visit to Cebu",January 2024,NA
Finding Paradise,Jan 2024,5.0 of 5 bubbles,Great stay in Cebu,Had a great time once again. Staff are great especially Queen. They have a good selection of restaurants including a fantastic buffet one. Their Rooftop swimming pool offers great views of the sjyline if Cebu For me one of the best hotels to stay in Cebu.,January 2024,NA
Arlene B,Jan 2024,5.0 of 5 bubbles,Overall  very nice experience. Would like to stay here again.,"very friendly. Always ready to help, give information . Easy to chat with anytime. Delicious food and selection is great .The swimming pool on 21st And the bar on 23rd floor was a very Pleasant experience . With fantastic views around the city.Read more",January 2024,NA
Sky K,Jan 2024,5.0 of 5 bubbles,Good first day in Cebu,"Because of the delay of the flight, I got the hotel 3-4am so tired. And After 4 hours I headed to the restaurant to have breakfast, BAI staffs welcome I and ppl. Thanks to them, I feel the 1st day in Cebu begins nicely. The foods are also good, too!!",January 2024,NA
Paradise719972,Jan 2024,5.0 of 5 bubbles,Excellent,Excellent food choices and the service is superb. Best value for money indeed. Lueza is so polite and best in communicating guests. She is so alert in responsive to our request. We feel so VIP. The facility is so conducive to relax and unwind .,January 2024,NA
Ester,Jan 2024,5.0 of 5 bubbles,Kudos Ms Newman!,"Ms Maricel Newman, the Manager at Cafe Bai, exemplars excellence in hospitality. Her steadfast commitment to customer satisfaction and attention to details created an enjoyable experience.  She’s always very accommodating, cheerfully willing to make big/small adjustments to help us out, ensures a seamless dining, and making each visit a memorable experience. Her dedication is setting a commendable standard in the realm of exceptional service.",January 2024,NA
Tabasaophelia,Jan 2024,5.0 of 5 bubbles,Thank you to Nathaniel Gian Ampo for booking us a room with the beautiful Cebu harbor at peak season and almost fully booked. Th,I love this hotel especially the front desk personnel Nathaniel Gian Ampo. He always goes out of his way to assist you from checking in and up to the whole duration of your stay in the hotel. Their breakfast buffet is for me really the best compared to all the hotels we've stayed in Cebu City.,January 2024,NA
Sarah W,Jan 2024,4.0 of 5 bubbles,Bai hotel review,"Very friendly and accommodating staff - such as May, who gave excellent service. Wide variety buffet and restaurant options to enjoy. Clean and tidy bedrooms. Wonderful experience at the Bai Hotel in Cebu.",January 2024,NA
Bobby A,Jan 2024,5.0 of 5 bubbles,Chilling by the Skyline,It was great experience at this hotel....the chef was kind enuff to make us customised food as per desire. We made an expectation to the case inspite of the extensive menu. Great view of CEBU from this place .  Totally recommend it to people who wanna chill and looking over the skyline of CEBU city.....Great Vibes and Good times.:),January 2024,NA
Robert D,Jan 2024,4.0 of 5 bubbles,great experience ever,"for my first time here.. its a great experience.. nice place, good food and very accommodating staff... thank you lueza amd ranyl for assissting me and my group. thank you for the unforgetgable experience.",January 2024,NA
Jinsook M,Jan 2024,5.0 of 5 bubbles,Bai very very nice ♡,"The last hotel of this trip was Bai. It was good because it was close to the airport. I was able to rest comfortably in the deluxe twin.  The breakfast room was very spacious and had a variety of food. The Angel staff was friendly.  I gave you two Korean coffee mixes. Do you remember?!  It was my first visit in a long time after staying at By Hotel several times when it opened. As expected, it was great^^♡The view from this room was a bit disappointing.",January 2024,NA
bisdakgolfer,Dec 2023,5.0 of 5 bubbles,"Bai Hotel, our preferred hotel in Cebu","After my latest December visit to Cebu, it is clear to me that Bai will always be my hotel of choice due its location, affordability and mostly because of the awesome, friendly and helpful staff.I could say that in the last several years, we have stayed in 1-3 week stints at the Marriott Ayala, Quest, Blu, and most recently 2 nights at the Fili-NuStar. Make no mistake, the Radisson facility is nice and the Fili-Nustar is grand and the best rooms. Bai hotel is pretty straightforward hotel with decent rooms. Although it doesn’t have the fancy amenities the bigger hotels have, it makes it up with its staff.A special shoutout to the Cafe Bai breakfast  lunch team - Jenny, Ranyl, Angel, Shaelto name a few. They really make you feel special by making us really feel at home.Read more",December 2023,NA
Francis uriel P,Dec 2023,5.0 of 5 bubbles,Satisfaction ,My review here in bai hotel is only at the gym is that is so nice and clean also the sauna very nice shout out to noel and glenn they are nice trainers and good service and they have everything plan for workouts and meal plans.,December 2023,NA
Global26421083995,Dec 2023,5.0 of 5 bubbles,Service and amenities,One of the best hotels in Cebu. From its amenities to the service is really amazing. I really enjoyed my stay in Cebu because of Bai! Overall experience is superb. A must try hotel in Cebu and you won’t regret it :),December 2023,NA
Joey S,Dec 2023,5.0 of 5 bubbles,A Christmas worth Remembering,"This is our second time of stay here in the hotel and it has always been giving us a superb experience. From the security, helpful and courteous staffs, down to the room, aminities, and food, they were all magnifecient.",December 2023,NA
Bill B,Dec 2023,5.0 of 5 bubbles,Great and wonderful,"Great services from jhona and joy the birthday dancer , food was okay need more meat selection , very clean restaurant and hotel, overall I would like to thank the staff and all of its employee for great service",December 2023,NA
Bobby A,Jan 2024,5.0 of 5 bubbles,Chilling by the Skyline,It was great experience at this hotel....the chef was kind enuff to make us customised food as per desire. We made an expectation to the case inspite of the extensive menu. Great view of CEBU from this place .  Totally recommend it to people who wanna chill and looking over the skyline of CEBU city.....Great Vibes and Good times.:),January 2024,NA
Robert D,Jan 2024,4.0 of 5 bubbles,great experience ever,"for my first time here.. its a great experience.. nice place, good food and very accommodating staff... thank you lueza amd ranyl for assissting me and my group. thank you for the unforgetgable experience.",January 2024,NA
Jinsook M,Jan 2024,5.0 of 5 bubbles,Bai very very nice ♡,"The last hotel of this trip was Bai. It was good because it was close to the airport. I was able to rest comfortably in the deluxe twin.  The breakfast room was very spacious and had a variety of food. The Angel staff was friendly.  I gave you two Korean coffee mixes. Do you remember?!  It was my first visit in a long time after staying at By Hotel several times when it opened. As expected, it was great^^♡The view from this room was a bit disappointing.",January 2024,NA
bisdakgolfer,Dec 2023,5.0 of 5 bubbles,"Bai Hotel, our preferred hotel in Cebu","After my latest December visit to Cebu, it is clear to me that Bai will always be my hotel of choice due its location, affordability and mostly because of the awesome, friendly and helpful staff.I could say that in the last several years, we have stayed in 1-3 week stints at the Marriott Ayala, Quest, Blu, and most recently 2 nights at the Fili-NuStar. Make no mistake, the Radisson facility is nice and the Fili-Nustar is grand and the best rooms. Bai hotel is pretty straightforward hotel with decent rooms. Although it doesn’t have the fancy amenities the bigger hotels have, it makes it up with its staff.A special shoutout to the Cafe Bai breakfast  lunch team - Jenny, Ranyl, Angel, Shaelto name a few. They really make you feel special by making us really feel at home.Read more",December 2023,NA
Francis uriel P,Dec 2023,5.0 of 5 bubbles,Satisfaction ,My review here in bai hotel is only at the gym is that is so nice and clean also the sauna very nice shout out to noel and glenn they are nice trainers and good service and they have everything plan for workouts and meal plans.,December 2023,NA
Global26421083995,Dec 2023,5.0 of 5 bubbles,Service and amenities,One of the best hotels in Cebu. From its amenities to the service is really amazing. I really enjoyed my stay in Cebu because of Bai! Overall experience is superb. A must try hotel in Cebu and you won’t regret it :),December 2023,NA
Joey S,Dec 2023,5.0 of 5 bubbles,A Christmas worth Remembering,"This is our second time of stay here in the hotel and it has always been giving us a superb experience. From the security, helpful and courteous staffs, down to the room, aminities, and food, they were all magnifecient.",December 2023,NA
Bill B,Dec 2023,5.0 of 5 bubbles,Great and wonderful,"Great services from jhona and joy the birthday dancer , food was okay need more meat selection , very clean restaurant and hotel, overall I would like to thank the staff and all of its employee for great service",December 2023,NA
Bobby A,Jan 2024,5.0 of 5 bubbles,Chilling by the Skyline,It was great experience at this hotel....the chef was kind enuff to make us customised food as per desire. We made an expectation to the case inspite of the extensive menu. Great view of CEBU from this place .  Totally recommend it to people who wanna chill and looking over the skyline of CEBU city.....Great Vibes and Good times.:),January 2024,NA
Robert D,Jan 2024,4.0 of 5 bubbles,great experience ever,"for my first time here.. its a great experience.. nice place, good food and very accommodating staff... thank you lueza amd ranyl for assissting me and my group. thank you for the unforgetgable experience.",January 2024,NA
Jinsook M,Jan 2024,5.0 of 5 bubbles,Bai very very nice ♡,"The last hotel of this trip was Bai. It was good because it was close to the airport. I was able to rest comfortably in the deluxe twin.  The breakfast room was very spacious and had a variety of food. The Angel staff was friendly.  I gave you two Korean coffee mixes. Do you remember?!  It was my first visit in a long time after staying at By Hotel several times when it opened. As expected, it was great^^♡The view from this room was a bit disappointing.",January 2024,NA
bisdakgolfer,Dec 2023,5.0 of 5 bubbles,"Bai Hotel, our preferred hotel in Cebu","After my latest December visit to Cebu, it is clear to me that Bai will always be my hotel of choice due its location, affordability and mostly because of the awesome, friendly and helpful staff.I could say that in the last several years, we have stayed in 1-3 week stints at the Marriott Ayala, Quest, Blu, and most recently 2 nights at the Fili-NuStar. Make no mistake, the Radisson facility is nice and the Fili-Nustar is grand and the best rooms. Bai hotel is pretty straightforward hotel with decent rooms. Although it doesn’t have the fancy amenities the bigger hotels have, it makes it up with its staff.A special shoutout to the Cafe Bai breakfast  lunch team - Jenny, Ranyl, Angel, Shaelto name a few. They really make you feel special by making us really feel at home.Read more",December 2023,NA
Francis uriel P,Dec 2023,5.0 of 5 bubbles,Satisfaction ,My review here in bai hotel is only at the gym is that is so nice and clean also the sauna very nice shout out to noel and glenn they are nice trainers and good service and they have everything plan for workouts and meal plans.,December 2023,NA
Global26421083995,Dec 2023,5.0 of 5 bubbles,Service and amenities,One of the best hotels in Cebu. From its amenities to the service is really amazing. I really enjoyed my stay in Cebu because of Bai! Overall experience is superb. A must try hotel in Cebu and you won’t regret it :),December 2023,NA
Joey S,Dec 2023,5.0 of 5 bubbles,A Christmas worth Remembering,"This is our second time of stay here in the hotel and it has always been giving us a superb experience. From the security, helpful and courteous staffs, down to the room, aminities, and food, they were all magnifecient.",December 2023,NA
Bill B,Dec 2023,5.0 of 5 bubbles,Great and wonderful,"Great services from jhona and joy the birthday dancer , food was okay need more meat selection , very clean restaurant and hotel, overall I would like to thank the staff and all of its employee for great service",December 2023,NA
Bobby A,Jan 2024,5.0 of 5 bubbles,Chilling by the Skyline,It was great experience at this hotel....the chef was kind enuff to make us customised food as per desire. We made an expectation to the case inspite of the extensive menu. Great view of CEBU from this place .  Totally recommend it to people who wanna chill and looking over the skyline of CEBU city.....Great Vibes and Good times.:),January 2024,NA
Robert D,Jan 2024,4.0 of 5 bubbles,great experience ever,"for my first time here.. its a great experience.. nice place, good food and very accommodating staff... thank you lueza amd ranyl for assissting me and my group. thank you for the unforgetgable experience.",January 2024,NA
Jinsook M,Jan 2024,5.0 of 5 bubbles,Bai very very nice ♡,"The last hotel of this trip was Bai. It was good because it was close to the airport. I was able to rest comfortably in the deluxe twin.  The breakfast room was very spacious and had a variety of food. The Angel staff was friendly.  I gave you two Korean coffee mixes. Do you remember?!  It was my first visit in a long time after staying at By Hotel several times when it opened. As expected, it was great^^♡The view from this room was a bit disappointing.",January 2024,NA
bisdakgolfer,Dec 2023,5.0 of 5 bubbles,"Bai Hotel, our preferred hotel in Cebu","After my latest December visit to Cebu, it is clear to me that Bai will always be my hotel of choice due its location, affordability and mostly because of the awesome, friendly and helpful staff.I could say that in the last several years, we have stayed in 1-3 week stints at the Marriott Ayala, Quest, Blu, and most recently 2 nights at the Fili-NuStar. Make no mistake, the Radisson facility is nice and the Fili-Nustar is grand and the best rooms. Bai hotel is pretty straightforward hotel with decent rooms. Although it doesn’t have the fancy amenities the bigger hotels have, it makes it up with its staff.A special shoutout to the Cafe Bai breakfast  lunch team - Jenny, Ranyl, Angel, Shaelto name a few. They really make you feel special by making us really feel at home.Read more",December 2023,NA
Francis uriel P,Dec 2023,5.0 of 5 bubbles,Satisfaction ,My review here in bai hotel is only at the gym is that is so nice and clean also the sauna very nice shout out to noel and glenn they are nice trainers and good service and they have everything plan for workouts and meal plans.,December 2023,NA
Global26421083995,Dec 2023,5.0 of 5 bubbles,Service and amenities,One of the best hotels in Cebu. From its amenities to the service is really amazing. I really enjoyed my stay in Cebu because of Bai! Overall experience is superb. A must try hotel in Cebu and you won’t regret it :),December 2023,NA
Joey S,Dec 2023,5.0 of 5 bubbles,A Christmas worth Remembering,"This is our second time of stay here in the hotel and it has always been giving us a superb experience. From the security, helpful and courteous staffs, down to the room, aminities, and food, they were all magnifecient.",December 2023,NA
Bill B,Dec 2023,5.0 of 5 bubbles,Great and wonderful,"Great services from jhona and joy the birthday dancer , food was okay need more meat selection , very clean restaurant and hotel, overall I would like to thank the staff and all of its employee for great service",December 2023,NA
Bobby A,Jan 2024,5.0 of 5 bubbles,Chilling by the Skyline,It was great experience at this hotel....the chef was kind enuff to make us customised food as per desire. We made an expectation to the case inspite of the extensive menu. Great view of CEBU from this place .  Totally recommend it to people who wanna chill and looking over the skyline of CEBU city.....Great Vibes and Good times.:),January 2024,NA
Robert D,Jan 2024,4.0 of 5 bubbles,great experience ever,"for my first time here.. its a great experience.. nice place, good food and very accommodating staff... thank you lueza amd ranyl for assissting me and my group. thank you for the unforgetgable experience.",January 2024,NA
Jinsook M,Jan 2024,5.0 of 5 bubbles,Bai very very nice ♡,"The last hotel of this trip was Bai. It was good because it was close to the airport. I was able to rest comfortably in the deluxe twin.  The breakfast room was very spacious and had a variety of food. The Angel staff was friendly.  I gave you two Korean coffee mixes. Do you remember?!  It was my first visit in a long time after staying at By Hotel several times when it opened. As expected, it was great^^♡The view from this room was a bit disappointing.",January 2024,NA
bisdakgolfer,Dec 2023,5.0 of 5 bubbles,"Bai Hotel, our preferred hotel in Cebu","After my latest December visit to Cebu, it is clear to me that Bai will always be my hotel of choice due its location, affordability and mostly because of the awesome, friendly and helpful staff.I could say that in the last several years, we have stayed in 1-3 week stints at the Marriott Ayala, Quest, Blu, and most recently 2 nights at the Fili-NuStar. Make no mistake, the Radisson facility is nice and the Fili-Nustar is grand and the best rooms. Bai hotel is pretty straightforward hotel with decent rooms. Although it doesn’t have the fancy amenities the bigger hotels have, it makes it up with its staff.A special shoutout to the Cafe Bai breakfast  lunch team - Jenny, Ranyl, Angel, Shaelto name a few. They really make you feel special by making us really feel at home.Read more",December 2023,NA
Francis uriel P,Dec 2023,5.0 of 5 bubbles,Satisfaction ,My review here in bai hotel is only at the gym is that is so nice and clean also the sauna very nice shout out to noel and glenn they are nice trainers and good service and they have everything plan for workouts and meal plans.,December 2023,NA
Global26421083995,Dec 2023,5.0 of 5 bubbles,Service and amenities,One of the best hotels in Cebu. From its amenities to the service is really amazing. I really enjoyed my stay in Cebu because of Bai! Overall experience is superb. A must try hotel in Cebu and you won’t regret it :),December 2023,NA
Joey S,Dec 2023,5.0 of 5 bubbles,A Christmas worth Remembering,"This is our second time of stay here in the hotel and it has always been giving us a superb experience. From the security, helpful and courteous staffs, down to the room, aminities, and food, they were all magnifecient.",December 2023,NA
Bill B,Dec 2023,5.0 of 5 bubbles,Great and wonderful,"Great services from jhona and joy the birthday dancer , food was okay need more meat selection , very clean restaurant and hotel, overall I would like to thank the staff and all of its employee for great service",December 2023,NA
Bobby A,Jan 2024,5.0 of 5 bubbles,Chilling by the Skyline,It was great experience at this hotel....the chef was kind enuff to make us customised food as per desire. We made an expectation to the case inspite of the extensive menu. Great view of CEBU from this place .  Totally recommend it to people who wanna chill and looking over the skyline of CEBU city.....Great Vibes and Good times.:),January 2024,NA
Robert D,Jan 2024,4.0 of 5 bubbles,great experience ever,"for my first time here.. its a great experience.. nice place, good food and very accommodating staff... thank you lueza amd ranyl for assissting me and my group. thank you for the unforgetgable experience.",January 2024,NA
