Opinion,Classification
"Excellent hotel and resort,Excellent facility. Fantastic food. Great variety of activities for everyone.,Overall a memorable experience. My parents and my children had a grand time. Would definitely come back. I highly recommend!",Food:Location
"Awesome Place!,Great people!,Just great!",
"Great family holiday,Service setting facilities,Such a great family holiday .. Ticks most boxes for a relaxing break!",Comfort & Facilities:Staff
"relaxing stay,staff were friendly, comfortable stay, lots to do",Staff:Location
"Ok, but nothing special - especially for the price,Sunsets, pool, beach,It was okay. I usually stay in koh samui but thought I'd try somewhere different. It got off to a bad start - the check in process was ridiculous. Stood in line for 90 minutes! Got my room at 3pm, but still no bag by 6pm. In the end, I went downstairs and got it myself. Standard buffet was way too expensive. In fact, I felt like I was being gouged at every opportunity.",Food:Value for money
"the room is not spacious and not satisfied ,pool, scenery& people,not satisfied with the rooms we booked.I booked a year ago premier room two twin beds and additional payment for 1 bed but they give us 1 king size bed and a sofa bed.very disappointed with the service .not compensated to the payment.not good",Comfort & Facilities:Staff
"vecation,beach, food and the pool :),Our stay with my family was great! Didnt expect the beach was that nice. My kids enjoyed the pool and the amenities. Got a small problem but worked out pretty well :)",Comfort & Facilities
"1 of the best family destination resorts in Phils.,Amenities such as Pool, Kids' Adventure Zone, and the Spa,It was fun-filled and relaxing at the same time for me and my tot.",Comfort & Facilities:Location
"Great stay,Perfect spot, well-trained staff, great service,It was another fantastic stay though they have to improve the quality and taste of the steak they serve.",Food:Staff:Location
"shock ,Filthy rooms. The bookings are not even looked at until you arrive and rooms never ready. Not once but 3 times in a row.",Comfort & Facilities:Value for money
"Fantastic ,Swimming pool, nice and kind crews and restaurants,It's fantastic vacation with my 4.5 yr daughter during a week. If i visit in cebu next time, i have no hesitate to choose this hotel again.",Location:Comfort & Facilities
"Superb ,location Is best , pool and water activities are awesome , food is really really good,It was Perfect and for sure plan again . Kids enjoyed a lot",Location:Food
"Such a fabulous family holiday!,The service is what makes the Shangri-la so special, everyone made us feel so welcome and nothing was a problem!",Staff
"Fantastic service,The service, the grounds and the breakfast were great.,Our stay was superb! My husband was on crutches as he has a broken leg and within minutes of arriving we were offered a wheelchair. The staff were so accommodating and even collected my husbands breakfast from the buffet selection and gave us an easy to access table. We were walking and wheelchair ing around the grounds and one of the life guards offered to push my husband in the wheelchair down to the beach safely. We couldn't have asked for anymore and nothing was any trouble. The staff even called out next resort and arranged for them to collect us. Amazing experience, we hope to be back without crutches!",Staff:Food:Comfort & Facilities
"Relax and Enjoy,White sand beach and coral reef, food is superb, staff is excellent,Our second but not the last visit.From greeting at the terminal and shuttle bus to the entrance through checkout, a complete and integrated luxury resort. You can spend and spend, or not, up to you. Lovely in all respects.",Location:Staff:Food
"Truly amazing,facilities, food and staff,The rooms are lovely, the staff super friendly and accommodating to your needs. The facilities are perfect for families, we enjoyed the kids pool and the fish feeding as well as the crazy golf. Most enjoyable and we look forward to returning some day soon. Enquire about food packages on arrival as they offered us a great deal.",Staff:Food:Comfort & Facilities
"family get away that never fails,the breakfast and buffet, the awesome beachfront/ facilities, and the courteous and friendly staff,Superb experience!!. A getaway for our family every time we need our bondings and R&R",Staff:Food:Location
"A perfect getaway,Relaxing, high quality and good service,We had a wonderful time. The resort is wonderful and I would definitely recommend it to others.",Location:Staff
"Best family resot in mactan,1) Ambiance, 2) staff attention to guests' needs, 3) warm hospitality,Perfect!",Staff
"Great visit to Shangri-La,Wonderful Staff, great Food, Cleanliness of facility and grounds",Staff:Cleanliness:Food
"Fantastic for children!,Staff service, Swimming pools and slides, Breakfast,Very enjoyable!",Comfort & Facilities:Staff
"Excellent hotel that I every been so far.,nice beaches, well maintain hotel, lots of facilities, well trained staff, polite and friendly.,Well my stay there was excellent and nothing can describe how much me and my wife had enjoy our stay there. Prefect place for holiday with nice beaches, choice of buffet breakfast in two different outlet. I grade this as 6 stars hotel rather then 5 stars hotel. Don't think of eating in the hotel, just take a jeepney outside the hotel. A 3mins ride and there you can have chooses of couple of Seafood restaurants that you can enjoy. Cheap and good cook to your choice. I will surely return when my next trip to Cebu. Kids can also enjoy and I believe they would love to see the fishes just on the surface of the crystal clear water beaches in Shangri-La's Mactan Resort and Spa. Love my stay and wonderful staffs with Excellent service provided from all department.",Food:Location:Comfort & Facilities
"The Best Birthday ever!,Staff- great Staff, activities, food,Overall pleased and happy with the service and the ambiance, so much to see and so much to do",Staff
"Amazingly fantastic ,Staff thumbs up, breakfast buffet, and EVERYTHING,Will definitely choose this hotel when I go back again",Food:Staff
"Great, Beautiful, everything you need. Resort,Huge, Sea, So much to do,Great I love this place. Not much in Cebu and its al rough outside so you don't even need to leave the hotel really because it is so big. They even offer the private tour to go see whale sharks. We were a couple but I can imagine it to be a dream come true for families as something for everyone",Food
"Shangri-La's beach was wonderful.,beach,garden,service.",Location
"Marine Sanctuary ,Marine Sanctuary, food, location,Great food and location. I came back because of their marine sanctuary. But, the staff was not as warm and as courteous as expected.",Staff:Location
"Superb staff!,beach, staff, and restaurants,everything was great! The staff was world class and must recommend to friends!",Staff
"Excellent resort and excellent service,Ocean view room, wonderful staff, beach,,I had a great time. Excellent service from the staff,beautiful resort setting.",Staff:Location
"perfect for a romantic getaway,the managers were mindful of the guests, the view of the beach and the food choices,it was great and relaxing, though the price point will determine the frequency of return visits.",Food:Staff
"It was awesome indeed,nice accommodation,excellent",Comfort & Facilities
"Relaxing Stay,Cleanliness, Complete amenities, good location",Location:Comfort & Facilities
"family oriented hotel, nice facilities,kids area, nice beach, nice room,good overall.",Comfort & Facilities:Location:Food
"Not worth it,Next to airport,Too expensive and not nice beach, rooms outdated",Value for money:Location
"Great Marine Park,Nice marine park,Shangrila has excellent frontline staffs but their supervisor and managers needs to be more pro-active on guest delightment. I have made several complaints and their standard reply is i take note of this. Standard replies and nothing else. Such a waste!",Staff
"Front Office Service Needs Improvement,Established Hotel which thinks of all client needs,The front office supervisor needs to be more guest oriented. She is a Korean and her staffs were busy and i asked her about changing my hotel transfer because i did not want to wait for the scheduled time and take a taxi. Instead of solving it for me (She was free) she told me to wait for her colleague who was busy attending to some other guests and i had to wait a good 10 minutes before another colleague was instructed by her to solve for me. Why is like that? If I am a supervisor, i would take initiative to get it resolved and not make the guest wait, everything is computerised and I am sure she can solve it. Or is it because she is the supervisor and it is not her work to do so? I wasted a precious 20 minutes before i could get a taxi because not sure when i could be attended to. The supervisor and managers needs to improve and be more service oriented like their front line staffs whom are always service oriented!",Staff
"Poor Value,Facilities and Staffs,The facilities and staffs were excellent but let down by strict control on hotel profits. Be prepared to pay for every little incidentals which should be complimentary. That is how profit focus Shangrila is and they do not bother too much about guest complaining besides saying 'I understand how you feel' Be prepared to pay for the things you expect to be free!",Value for money:Staff
"The georges stay at shangri la,location, pool and beach,Very nice, people were genuine and very friendly. Hope to return and spend some more time there",Staff:Location
"Great resort,Great water activities, very friendly staff and good relaxing spot,Great place but missing the night life seen. That been said. It's a great family hotel",Staff:Comfort & Facilities
"good ,nice view , clean , facilities,the vacation is okay , unfortunately 2 kids got vomiting with LBM 2 times in Jan 3 midnight ,we guess the food they take at( buffet Tide Resto ) maybe not good in our last night stay , so we bring the 2 kids to the nearest hospital for observation which is at Mactan Hospital early morning Jan 4 , 2015 , and lastly my son decide to take the 2 kids ( which are my grandson ) to airport for chance passenger early flight to manila . Good the 2 kid are now okay .",Food:Staff
"Clean,Nice view",Location:Comfort & Facilities
"Inadequate restaurants and overpriced hotel,far from the city, fully booked restaurants & no free airport shuttle,It was a bad stay! Their resturants are too small to accomodate their guests. We arrived at 4pm and tried to make dinner reservations and they told us that they're sorry because all of their restaurants are fully booked at 7 and we had to wait till 9 pm to get accommodated. at breakfast same situation we were made to wait before getting accommodated (a lot of guests were asked to wait) and also they have limited choice of breakfast.their facilities are also very small compared to the pictures. Tip: stay at plantation bay or crimson instead for the same services and lower price!",Food
"For those who can afford the luxuries,Staff, Cleanliness, and Place,Very nice hotel. The food is expensive but what can you expect from a 5 star hotel. The place is awesome. Will definitely come back",Value for money:Food
"Overrated for what it is!,Location, grounds and family facilities.",Comfort & Facilities:Location
"Great Experience ,Location, Staff and Facilities,We had a lovely stay at the Shang in Cebu. Would definitely come back again. Lovely staff and a very peaceful and spacious resort with plenty to offer.",Location:Staff
"Nice place for restful vacation,Nice atmosphere/environment , kind staffs, and many things to do within the resort,It's clean and the staffs provide excellent service. I did enjoy my stay at Shangri-La. Although if you are looking for more dinamic and nightout sort of things.. the location may not be good, cause you'll have to take taxi and it takes quite awhile to Cebu city.",Staff:Location:Food
"All in resort hotel,Everything is 5star,Everything from the room,accommodation,foods,creation etc...are value for your money.well,indeed a 5star hotel nothing compares Shangrila",Value for money:Location
"December Break,Accommadation. Reef. Food.,Excellent.",Comfort & Facilities
"Amazing beach, very clean, friendly staff ,Beach, comfortable bed and buffer breakfast,Overall it was a wonderful experience, we enjoyed feeding the fish in the beach, staffs are all friendly and respectful, comfy bed and very clean place. Will be back there again",Staff:Cleanliness:Comfort & Facilities
"friendly staff. good facilities. delicious buffet ,great place to go with a young family every one was happy loss to do at the resort. a bit pricey though",Food:Staff:Value for money
"for families - not a romantic escape,snorkeling, breakfast,Service is nice but inefficient, big complex, ideal for families, but not suited for couples or romatic vacations. Beach is OK not up to par with Boracay.",Comfort & Facilities
"great staff, good food, clean resort, great beach,great staff, nice pool, child friendly resort and good food,Overall satisfied. Very child friendly resort.",Staff:Food
"Pretty awesome hotel,Got it at discount, beautiful beach, friendly staff,We got the hotel at a huge discount which is why I gave a score of 5 for ""Value for money"". They had some construction going on, but the noise didn't bother us at all, it was just that we couldn't see the entire lobby as to what it should look like. Great staff, no complaints at all. Very accommodating and courteous! Rooms were very clean, neat, very nice and comfortable! If only the TV could have HD =(",Comfort & Facilities:Staff:Value for money
"Superb,The staff, the facilities, the room",Staff:Comfort & Facilities
"nice hotel,the staff is so kind,memorable",Staff
"awesome,wish i could stay a bit longer..",Comfort & Facilities
"Get away to relax,service was great from arrival to departure time. service staffs were attentive. great service especially at the front desk n the assistant manager.,Overall was very good. Unfortunately when I wanted to use the toilet in my room after checking in, I was shocked to see a tiny poo floating on the toilet bowl. I flushed few times n cleaned the seat before using it. When I was soaking in the tub, to my amazement I noticed poo stains around the toilet bowl and the shower curtain was stained with algae. As it was late I rest the matter till the following day. I called guest service the next morning to request for my toilet bowl to be cleaned with full information on the condition of the toilet bowl. When I returned from my swim, the same stains were still there. After my shower I got hold of the chambermaid and I gave her the instructions to clean and change the shower curtain which wasn't the job of hotel guest. I wonder if the guests service counter understood of my complain and communicated well with housekeeping department. Poo in the toilet bowl and stains upon checking in is not a small matter, but they didn't seem to take it seriously so much so I had to give direct instructions to the chambermaid. I believe before any check out room is released for new guest, the housekeeper should check thoroughly which in my case was not carried out. I took pictures of the curtain and stained toilet bowl. This is not acceptable at all for any hotel n especially Shangrila. I didn't make a big fuss as I didn't want the chambermaid to take the blame n ask to leave. I am writing so as to let Shangrila Mactan housekeeping department to improve. If you need the pictures as proof, I can provide them. I hope Shangrila Mactan gets a copy of what I am writing.",Staff:Cleanliness
"The best,Everything",Comfort & Facilities
"Unacceptable breakfast situation,Extensive grounds/activities available, friendly staff that tried their best (but you can tell they were stressed by the crowd) and reasonably comfortable sleep.,All was good except for the exceptional crowd the day we stayed and the need to queue/wait for breakfast. This the first time I have to queue to eat breakfast at a 5-star location. To me, this is unacceptable especially given the rate I paid. The facilities to cater for breakfast for a hotel that size was inadequate. I feel sorry for the staff that really tried their best to manage the crowd. I would like to commend the hotel on attempting to give me a room earlier, this was really appreciated. This made me feel that it is indeed a 5-star hotel abeit marred by the breakfast experience.",Food:Staff:Comfort & Facilities
"Very nice with friendly and service minded staff.,Staff, food, beach,Even the weather was fantastic. Marvelous snorkeling trip with boat and the best guide.",Staff:Food:Location
"Perfect for families,There is something for each member of the family. There was a wide range of water sports available. Snorkeling spots was very near to the beach.",Comfort & Facilities:Location
"Kid-friendly resort,Pool, beach, kids' activity areas,Our stay was fantastic. My boys love the pool and activity area. The resort is the most kid-friendly resort we've ever been.",Comfort & Facilities:Location
"Best resort in The Philippines,Great amenities, great food, great staff,Been here many times and it is always our go to place when we fancy a weekend break.",Food:Comfort & Facilities
"Great vacation with shangrila mactan cebu,Warming smile of the staff, nice ambiance and service,,We were given a room that has an connecting room. We can hear the noise of the guests on the other room. The front desk should have been aware that this thing can happen between two group of guests. We were not able to rest well because of that. Other than that, everything is almost perfect. So many food choices, nice beach, hospitable staff.",Staff:Food:Comfort & Facilities
"Great stay,food, cleanliness, staffs,Great!",Cleanliness:Staff
"Rest and relaxation,Amenities,Breakfast,staff,Stayed in this hotel to celebrate my birthday and it was a blast.everything went perfect..staff had a big factor why the had a good commendation the only thing that I'm not satisfied was no one was assigned in the scoop..the server was come and go to the place you have to be waited to get the order..",Staff:Food
"good,service . many swimming pools and private beach,nice",Comfort & Facilities
"Great stay!,activities, environment, staff",Staff
"Enjoyed the stay and had great dive with scotty,Dive shop, staff, environment,Very good.",Staff:Location
"Amazing Gem ,Staff Customer Service, Beach, Room Size,Overall, stay was pleasant the hotel is magnificent me and my girlfriend chose it because of the beach which was phenomenal. We arrived early at 7a.m, despite no room being available to check-in we were able to use the facilities already and got an early check in option. The hotel room was a decent size including a balcony and view of the garden...despite being a non-smoking room there was a strong smell of smoke from the first time we walked in the room. Turns out people can smoke in the balcony just not in the room...minor technicality. Overall I recommend to stay at the Shangrila given the service is great and beach area is beautiful.",Comfort & Facilities:Staff:Cleanliness
"Amazing facilities for children ,Range of facilities for kids was exceptional, staff were incredibly helpful and good range of dining options,Probably one of the best hotels we have stayed at for young kids. Lots of different things to keep them occupied and the hotel is really set up to cater for families. Also good dining options for adults and food and service was great. At times things could be a little slow but felt that was because was a peak period and also main restaurant is being renovated.",Food:Comfort & Facilities:Staff
"Anniversary heaven,The people, the facilities and quality of the dining,Fab, fab, fab",Comfort & Facilities:Staff
"Luxury resort. Superb amenities.,Amenities. Beach. Foreign Staff.,Everything was perfect except that Filipino receptionist and Staff in Cowrie Cove are rude. They should be reminded that we were willing to pay high price since we are expecting for an excellent service.",Staff:Value for money
"fantastic place wil trycome again,location facilities reaturants,Its pleasure days been stay there",Comfort & Facilities:Location
"Great stay,Excellent food, nice swimming pools and beach fun,my stay started out really well with a free upgrade given to a club level accommodation. There are a nice chinese (Tea of Spring) and western restaurant (Cowrie Bar) where one gets pampered with good food.",Food:Comfort & Facilities:Location
"Our area of bfast is in a make shift place in aqua,Pool area and play area,A bit annoying bfast buffet was placed ina a small location. We far away from our table.",Comfort & Facilities:Location:Food
"Superb experience,Amenities and Facilities,It was perfect except for the food. Not much to choose from.",Food
"Excellent stay as always!,Cleanliness, attentiveness, and courteousness!,We've stayed here before and it was awesome! This year, we brought the entire family and it was hassle free! Everyone was very helpful especially Joanne at the front desk and Anne who showed us our rooms. We celebrated my dad's birthday and they helped us with a surprise birthday cake for him.",Staff
"nice place,room,fine",Comfort & Facilities:Cleanliness
"fantastic hotel,food, relaxedness, feedback,very clearness",Food:Cleanliness:Staff
"wonderful place for relaxation,private beach, breakfast, daily activity,relaxed, joyful",Food:Comfort & Facilities
"awesome place to go with young kids,child friendly, pool facility, private beach",Comfort & Facilities
"Great Stay,clean, comfortable, and accomadating,Very nice experience for the entire family! The kids loved the water playground, and kiddie pools. My wife loved the message treatment and spa. I enjoyed the beach and water activities.",Comfort & Facilities:Location:Cleanliness
"excellent location , service, food, famly friendly,location, food, comfort,Excellent stay for family- nice facility, rooms very comfortable, great food, excellent service",Location:Comfort & Facilities:Food
"Best place in Cebu,You don't need to worry about safety cuz there's no reason to go out if you stay in this hotel. Love it",Comfort & Facilities:Location
"Still enjoy luxury,Beach, Pool, Amenities,The hotel is too busy, we got our room key at 5:30PM. and we aren't able to book Chi spa because of fully booked in next 2 days.",Comfort & Facilities:Food:Value for money
"Shangrila is always great,fascilities,Great great great",Location
"Concierge is bad,Bad concierge , could not recccomend resteraunt at 9:45 pm. Found out nice reateraunts on island short cab ride. Felt like a prisoner,Overpriced 3 star hotel need to lower your 5 star rating please.",Staff:Value for money:Location
"Great,Great breakfast, comfortable room, adjacent beach,Great breakfast, comfortable room, adjacent beach!",Food:Comfort & Facilities:Location
"Great beach, amazing staff,Beach, food, staff,Amazing stay, great beach, awesome staff, the buffet was great",Staff:Food
"Every staff is very kind.,Staff food and sight,There is many kind of ocean activity. Especially, i recommand to para sailing. And dont forget bring your camera to picture at the top of it.",Staff
"Very good, its a good experience. ,Attentive staff, nice hotel and children friendly,Excellent, very nice experience overall especially all staff are attentive towards the guest.",Staff:Food
"The best ever trip to cebu.,Food. Facilities. Friendly Staff.,The most pleasant stay I ever had with the Shangrila Hotel Group. Unbeatable Food excellence. Great hotel management and best of all more surprise to come when they open the new outlet... looking forward to it.",Food:Staff:Comfort & Facilities
"First Class,Restaurants, breakfast, quality of rooms,Had a great time. Facilities, room, restaurants are excellent. Check in was fast and efficient. Will definitely stay again.",Food:Staff:Location
"Amazing,Staff, Food, Beach,Great",Food:Staff
"Fantastic beach ,Swimming pools, beach and ocean club lounge",Comfort & Facilities
"Short and. Sweet,Friendly staff, clean comfortable rooms, strong aircon,Stayed overnight and it was worth the money spent . Would have been nicer if we stayed,onger to at least try the other outlets and the pool",Comfort & Facilities:Staff:Value for money
"Relaxing in 5-star resort,CHI Spa is excellent; great breakfast; great lunch and buffet at cafe; the restaurant Cove offers high quality food and romantic atmosphere",Food:Location
"Just ok,Food beach pool",Comfort & Facilities
"Very safe and friendly environment. Great resort,Beaches, activities and food,It was very welcoming and family friendly. Excellent",Staff:Location
"Awsomely amazing experience close to perfection.,Great staff. Best Facility in Cebu. Well prepared menu.,Its an exprience perfected by the management that made my stay at Shangila Mactan great. The service is undeniably worldclass. Thanks to RM Alex Castaldi and his team.",Staff:Food
"stay in the hotel is fantastic,its near the beach, great breakfast and rooms,our stay is very relaxing and convenient especially travelling with two kids rooms are very spacious and bed is quite big.",Comfort & Facilities:Location:Food
"great!!!,nice beach, good food, relaxing rooms,superb!",Food
"World Class Facility in a lovely part of the world,sensational pools and access to beach, relaxing surroundings, great rooms,cant fault the stay at this hotel its simply magnificent however its expensive for this country and if you want more than the hotel offers then visits to the city take 1 hour as it is not located near anything of interest but just to lie on the beach all day and indulge yourself in the perfect weather its 10 out of 10",Location:Comfort & Facilities:Value for money
"Enjoyable, comfortable stay,Enjoyable, comfortable nice stay,No problem",Comfort & Facilities
"relaxing stay by the beach,right on beach, loads of kids activities & great service,Great hotel, right on beach, tons of stuff for kids to do, just make sure you get outside and see what the real Cebu is all about right outside the gates of the huge hotel complex. Food pretty average and way overpriced, so with a family you're much better off eating outside. Also forget the hotel shuttle to the airport. The 'minimal fare/ is actually more expensive than taking a taxi - even just for one person!",Food:Value for money
"Cebu's finest resort,Facilities, staff, rooms,It's expensive, but you can see where the money goes so you don't feel ripped off. I prefer it to both the Crimson and Plantation Bay. I can't fault it on anything other than cost. I really can't!",Value for money
"Fabulous and fantastic,Friendly and attentive staff.nice and clean room.near to the beach,We really enjoyed our stay in shangri-la.",Staff:Location:Cleanliness
"Fantastic Day in Cebu,Service, Beach, Play,Great view and beach. I could swim in the beach all day long, since hotel has private beach.",Comfort & Facilities:Location
"Enjoyable and relaxing short get-away,Friendly staff, clean and very good internet connection,A very memorable and enjoyable stay. The staff were friendly and knowledgable. The beach was clean and safe for young kids to swim. Housekeeping staff were attentive and provide excellent service.",Staff:Cleanliness:Food
"Relaxing spot for families and couples,great staff,quality staff, spa, hotel itself,hotel was good. great staff checked us in. wifi does not work that well breakfast was free for guests but food was ok. variety but not great great fun with beaches, weather, and family friend would recommend if you have a family or want a nice activity filled couple experience",Staff:Food
"It was superb!,great beach, great pool and great rooms,It was fantastic however food in the restaurants are a bit expensive vs. its variety.",Food:Location
"Beautiful hotel, superb staff,Excellent service, beautiful hotel and clear, amazing views on the beach,Excellent customer service! We truly enjoyed our stay here. Each staff had his A-game on. One of the hotel supervisors even facilitated our late checkout and transfer to another room since the room we were in had to be used.",Staff:Comfort & Facilities
"Luxury, relax, style, beach, food and class,Beach, food and staff",Food:Location
"The best hotel in Cebu for relaxation and fun!,Luxury, staff and the food.,Our stay has been extraordinary. The staff of the hotel were very pleasant and accommodating. The food is superb. The hotel is so luxurious and relaxing.",Food:Staff
"Great location with beautiful beach,Great beach, responsive staff and easy access to airport",Location:Staff
"Luxurious, well maintained 5-star hotel,Excellent spa, nice views from room balconies, great staff,It's one of the best hotels I have stayed in. I can stay the best customer service. The staff is well trained and very courteous. I will definitely stay here again on my next Cebu trip.",Staff:Location:Cleanliness
"Very Nice But Very Expensive,Modern, Beach, Pools,I stayed here knowing that I'd spend quite a bit in doing so. After the stay, I can honestly say that I enjoyed it, but I'm not sure that it's really worth it. I can't find a thing to complain about, I'd just say try getting a deal on the room if you can. If I'd had a cheaper room, I might not feel this way. Anyhow....very nice ... but very expensive. I think I'd rather be on a bigger, nicer beach that just staying at a hotel.",Comfort & Facilities:Value for money
"Poor airport transfer,Cleanliness of hotel, staff are nice, nice view,The airport transfer is disgusting, paying this much for this hotel, I expect that I would receive the best service available. I waited 30 minutes for the Airport transfer, given I provide them all my flight details before booking. Everything is good, but my wasted time when I arrive is really bad.",Staff
"Wonderful stay, with friendly staff, very relaxing,Excellent food, friendly staff, beautiful gardens,We have been coming back to this resort for 3 years now and we are never disappointed. The staff are so friendly and superb restaurants, overall a very relaxing place. We'll done Shangri la Cebu, keep up the good work.",Staff:Food
"Usual shangrila international standard,Good selection of hopi",Location:Food
"Relax,Food, Private beach, atmosphere,It was so nice to stay in this hotel. Hotel Staff was so kind. We saw a lot of fish in beautiful private beach. Definetely, we will repeat again.",Staff:Comfort & Facilities:Location
"Beautiful day at the beach,Very quiet & relaxing atmosphere , big room and beautiful shoreline,Upon entry, you can easily experience the ""resort feel"" atmosphere with lots of trees around. Check in - it was quick and had friendly staffs at the counter. Room - nice interior. Swimming pool - choices for adults and kids. Though we had a hard time to look for our chair/bed in the pool area since they were all occupied. Food - good variety and they served local food which are yummy. You can have your breakfast in either Tides or Acqua. The former has more food choices and the latter has better view, fewer people but fewer choices. Check out - fast and quick as well especially if you're booked with Agoda.",Food:Comfort & Facilities:Location
"Excellent,wonderful staff, sumptuous breakfast and excellent facilities,Unfortunately, this time the experience wasn't that great. We booked two rooms and one of the room was only available in the evening after many calls of followup to the front desk! A tiring day of travel from abroad did not give good impression to come without the room after being booked two months prior. Otherwise, SUPERB LIKE ALWAYS!!!",Staff:Food
"Vacation too short for awesome stay!,pool, room, staff,the service was excellent - 11 on a scale of 1 to 10. there were small things that surprised us though - our amenities were not refilled until we asked (even if they made up the room), and there was only 1 bar open late at night. otherwise we thoroughly enjoyed our stay and look forward to coming back",Staff:Comfort & Facilities
"Perfect for relaxation,best of all best,i enjoy staying in this hotel,the room is alvailable as early as 12nn.and gave me the best room and its so huge.i love the ambiance and everything.surely,i will recommend this hotel to my friends who can afford.",Comfort & Facilities:Location
"Highly recommended hotel,spacious room, variety of restaurants, great breakfast",Food
"Fun, relaxing family holiday despite bad weather,Excellent facilities, great service,It was excellent. The hotel is a bit old - you can tell from the structure and some fixtures in the room and bathroom BUT it is well maintained. Service is GREAT. It validates why you pay premium for a Shangri-La. Totally worth every penny spent.",Comfort & Facilities:Value for money
"not so good,the food was great especially the breakfast, the jet ski and other rides. fast service from the staff.,our stay was good. but when we checked in the manager who handled us near the deont desk was a bit rude. shes not friendly compare to others. the room was a little dirty when we got in. we saw some lies from a person in the table. the toilet is a not so clean theres some hair left there. the food was great and the staff in the restaurant are very pleasant and friendly. we enjoyed the most jet ski and other rides. the pools and beach are beautiful.",Staff:Food:Comfort & Facilities
"relaxing trip,access to own beach with fishes, clear sea water,kids adventure zone,A quiet Hotel, good landscape, good size play area for kids, enjoy the beach activity, clear water can fishes, snookering is fun.",Comfort & Facilities:Location:Food
"The best hotel in cebu,worth the price,clean and large room,delicious foods",Food:Cleanliness:Location
"excellent, very nice place with great staff,staff, location, ambience",Location:Staff
"Island Oasis,Location Luxury Attention o detail,Excellent location. Pricey food. Excellent staff A beach resort you will return to.",Location:Food:Value for money
"A good stay considering the recent typhoon,The food, the staff the balcony,We enjoyed our stay. There were only two disappointments: although the Hotel was quiet there were no time slots available at the spa (shortage of masseuses I was told) and the garden view balcony faced a worksite. The food and staff were great, the gardens beautifully kept.",Food:Staff
"Absolutely wonderful,Service, facilities and beach,Arrived early and could not check-in but was able to use club lounge which had a wonderful view and delicious snacks and drinks. Service was wonderful everywhere. Room was large and bed was comfortable. Lots of things for kids to do, play area, pool for kids with slides. Great beach with clear waters and you could swim in the company of fishes.",Comfort & Facilities:Food:Staff
"Relaxing,Friendly staff, good food, secluded place,only two points of concern: probable lack of checkout personnel at airconditioned lobby and probable lack of therapists for chi spa (cannot find a schedule 2 hours before closing time).",Staff:Food:Comfort & Facilities
