Opinion,Classification
"Exceptional,Buffet breakfast specifically on the Filipino selection was limited.",Food
"Just perfect.,The room was just perfect for my family. The staff were all nice and accomodating. The food was very delicious.,Nothing.",Staff:Food
"Amazing comfy stay,Amazing breakfast (any type of eggs, sushi, dim sums, philipino and European options), big gym with multiple cardio options, sauna, free gym classes. Good restaurants and cafes options around. Very welcoming staff,-",Food:Comfort & Facilities
"Execellent Experience is the best words to describe our stay in this Hotel.,The Hospitality and Very Accomodating Staffs specially Ms. Luwee, Mr. Jayson Ms. Joan and Ms. Kay of the Front Desk Department. To all the room service and guests services staff of makati shangri-la.. really deserves. ⭐️⭐️⭐️⭐️⭐️",Staff
"Excellent hotel just not enough time to enjoy it,The piano bar in the lobby is fantastic,The Manila traffic is legendary but not in a good way!",Location:Food
"Exceptional,The bedroom was well fitted out and the bed super comfy.",Comfort & Facilities
"Exceptional,This best hotel I ever stayed in. Everything was above and beyond. Amazing. Wifi excellent,Not one thing",Staff:Internet
"Exceptional,Good location, nice staff",Staff:Location
"Very restful and luxurious but room service food & menu needs to improve a lot.,soft bed and pillows, spacious, ample lighting, staff were attentive, helpful, courteous and friendly ambience of lobby cafe,ROOM SERVICE NEEDS A MAJOR IMPROVEMENT. Selection was very limited. I stay at the hotel at least once a year for the past 5 years and the room service menu has not changed at all. I wish they added more dishes to choose from. And also, the room service food is not good at all. Two years ago, I ordered pork sinigang. The soup tasted as if it just came from a sinigang mix. And the pork was not tender - it seemed as if it was cooked quickly. On this trip, I ordered the pasta. It had no taste. Adding salt will just make it salty but the taste is still lacking. Very disappointed, especially with the price commanded.",Staff:Food:Comfort & Facilities
"Exceptional,Slow elevator traffic because of the event at night, and even the next day",Comfort & Facilities
"Very good,The buffet breakfast was great. The staff is not that accomodating upon arrival though. The pool was not that extravagant like other hotel pools",Food:Value for money:Comfort & Facilities
"Great Hotel with fantastic location,They have a halal breakfast & kitchen, ordering room service was easy when we're too tired to go out. The location is fantastic, very close to glorietta and landmark malls. New bombay halal restaurant is also very close by. Greenbelt is a bit farther but still within walking distance, all three malls are linked.",Location:Food
