Opinion,Classification
"The best Shangri-La I had ever been to. The check in was very quick and the staffs was very efficient. The room was big and had a TV with a drinks bar.( you’ll have to pay for each drink you drank. The price is listed on the table counter)
There is a balcony with a nice view( depends on which wing you stay at). There are many activities at in the place. There is a swimming pool with a depth of 2.3m, 1.2m and a young children’s pool. There is a slide for small ones and a bigger slide for children from 5-12 years old. Beyond the swimming pool, there is the beach. At the shore, you can see many snapper fish and sergeant major fish. There is a barrier to ensure that guest do not go outside. (Pls be careful if you are swimming further out in the deep waters, there are titan triggerfishes, jellyfishes and sea-snake.). There are also water sports activity in the beach such as kayaking, jet ski and many more. Shangri- La also has a arcade centre. You can also have some land activities like ping pong, volleyball, badminton. You can rent them as it is complimentary.",Comfort & Facilities:Food
"This is the first time we stay on Shangri-La and the expectation was high before or stay. But we was disapointed. Especially the rooms is very old fashion, dark and a lots of wear and tear damages. It is old carpets on the floor which not look clean at all. The balcony where small and narrow with large table and chairs. About time for an renovation to keep up the standard. Our room where in the ocean wing, but could not see any difference between ocean and main wing. Our room where in 3rd floor and there was a water leak in the hallway, It can be of this reason the smell and indoor climate in the room was poor. We did change room to 4rd floor and it became better. The outdoor facilities are nice and huge, beach is nice but can be a tip to bring your beach shoes. The restaurants are good, but of course overpriced. The Chinese restaurant and the buffet restaurant Tides is the best one. The lunch over in the week days was a good deal. Good breakfast. Overall good hotel, but too pricy compared to quality and service. Not worth the money and will not stay at this hotel again.",Comfort & Facilities:Food:Value for money
"We stayed 5 nights in an Ocean Wing room with our 1 year old and 3.5 year old and everything about the resort was fantastic. This is truly the perfect resort for a relaxing family vacation. Every staff we encountered was incredibly helpful and catered to our every need to the finest detail. We ate most of our meals within the resort because they were surprisingly delicious (Acqua for Italian food and Tea of Spring for Chinese food).

For our little ones, they had so much fun at the water playground by the pool and the Adventure Zone, which is a huge indoor multi level playground. There's so much more for the kids to do beyond just a pool at any other resort.

The best part for us was snorkeling at the house reef. There was a huge variety and amount of coral and fish to see. We especially appreciated their efforts to grow corals in certain areas and cordoned off certain areas for conservation purposes. Even the food we ordered on the beach was high quality and delicious.

We also went diving with Scotty's Dive Adventure, which was a dive operator on premise. This made our dive excursions incredibly quick so we didn't have to be away from the kids for too long.

Lastly, when I mention their attention to providing fine service, this includes prepacking breakfasts for each of us so we can take them on our way out to the airport at 3:30 am.",Food:Staff:Comfort & Facilities
"So i have been to shangri-la many times/ to stay and for dinner by the water-

I wanted to take my wife out for a romantic meal at the Cove restaurant at Shangri-la.
She got dressed to the nines together with high heels and her nicest finery.

The hotel is about 30 minutes from the house and we arrived exactly on time.

We stopped at the main lobby entrance only to be told that there was no more valet parking- WHAT!!!

Parking was about 400 metres away.

I frowned and said ok- can one of your golf carts pick us up there and take us to the Cove restaurant?

Sorry but the golf carts are gone too :(

WOW!! From the parking to the restaurant is at least a kilo-meter and with my wife in heels, 28 celsius I said we would go elsewhere.
Way to go Management we will never be back.
We went to Abaca instead and had our romantic dinner where customer service is well understood",Staff:Food:Comfort & Facilities
Our family stayed here last summer and I was very impressed.. Comparable to resorts I've stayed at in Bali and Guam. I loved the resort vibe and I felt very comfortable leaving my children to swim and play without my having to keep my eye on them at all times. It goes without saying that the Shangrila signature hospitality is expected but what makes it special is they give guests equal treatment regardless if you are foreign or local. We got the family room and it was the best decision for our family of 5. Separate bathtub and shower area means my kids can bathe at the same time. I loved the milk and cookies at turndown service and the complimentary wine. Lots of good dining options as well. Can't wait to go back!,Food:Comfort & Facilities
My family went to Shangri-La to avail their lunch buffet. I politely asked the gentleman at the lobby area for valet parking service since it was raining and I was with a Senior Citizen. I got shocked when he informed me that they don't have this service. I visited several other resorts in Mactan which are not even 5 star and they have valet parking service! It was raining when we went to their parking area and we saw a valet parking sign there in bold yellow paint so why bother placing this sign when they don't even offer this service??,Staff:Value for money
"My husband and I just returned from a fantastic trip to this hotel. I highly recommend upgrading to the ocean wing package (airport transportation is included for free) We very easily found the Airport shuttle rep once we collected our baggage and he kindly took our baggage from us. We asked if there was a duty free and he informed us there was but you have to go outside and upstairs. Our first day there we were informed breakfast was available until 12pm in Ocean Club (Saturday and Sunday) we were thrilled because were starving! The food was nice and we enjoyed the view waiting for our room to be available.

Our room was nice and cozy and had a beautiful view of both the hotel grounds and the ocean. There are some that face the water 100% so if you want that be sure to ask in advance. The room was cleaned and refilled with the one of the best hotel products in my opinion of lotions/shampoo/razor etc.

The beach is beautiful and make sure you take advantage of the free snorkeling (again included with club) The fish feeding and the reefs were one of the best I have ever done!

The nightly family/happy hour is fantastic as well. From 2 hours kids are allowed and 2 hours it is adult only. They offer top shelf liquors, beers, and wine. Every restaurant we ate in had delicious food-not once did we regret ordering anything! If you are hungry on the beach try the wings and sweet potato fries- YUM!

Lastly I want to thank the staff for being so kind and welcoming. From Neil and Mila on the beach service, Jove and Erwin at the Buko bar and lastly Jimmel from the Ocean wing your service was much appreciated! Salamat! :)",Staff:Food:Location
"It’s taken me sometime to put this review up but I’ve thought so many times to thank Sean who was working at the pool and gave my sister and I a tour of the resort one day.
We then kept bumping into Sean around the resort on the days that followed and he was an absolute delight each time we saw him. He did everything for the 6 days we were there to make our stay very memorable. Sean is studying hospitality and tourism and my sister and I hope he succeeds in every way! Thank you Sean.
The food was sensational and attention to detail for our group was excellent and we’d highly recommend the resort!",Staff:Food
"You can never go wrong with Shangri-la. And every penny spent is all worth it. We spent my birthday weekend here in this wonderful island of Mactan in Cebu and you can say, it is ok not to go out of the resort since they can keep you and your kids busy in a 3d2n weekend. The kids would not want to go anywhere. They have the private beach and marine sanctuary, the water-world pool, an adventure zone and an arcade. Every night they keep you entertained with a live show during dinner. Breakfast is buffet. They have several restaurants inside the resort that you could choose from for lunch. Amenities here are two thumbs-up!",Food:Comfort & Facilities
"This hotel is about a 15 minute ride from the airport. The hotel has 8 storeys and consists of two wings, the main wing and the ocean wing. The ocean wing is more expensive than the main wing and comes with more perks. There's an airport shuttle (free for guests in the ocean wing). The hotel has several restaurants and bars. Many bars have an early evening happy hour. The ocean wing has a club lounge which provides breakfast, small snacks and non-alcoholic drinks during the day, and evening cocktails. The food in the restaurants was excellent and very tasty. There are two pools (one is exclusive for ocean wing guests). There's also a small beach. The hotel has beautiful landscaped gardens. The property is very clean. The best thing about this hotel is it's employees. Every employee was extremely friendly, full of smiles and always willing to do anything for you. I stayed in the ocean wing and the only negative thing I could say is that the rooms need an upgrade. Don't get me wrong, they were clean and housekeeping was very good. It's just that the rooms are outdated with threadbare cushions on the sofa, worn carpet, peeling wallpaper, etc. I thoroughly enjoyed my stay and would highly recommend the Shangri La.",Food:Comfort & Facilities
