Opinion,Classification
"we had a wonderful and relaxing time (once work was finished) Salvador was our best friend at the pool , we didn't have to move and he sorted everything out for us. From Island transfers, to beautiful food and ease of getting around, Boracay and the Shangri-la are a great destination. People are terrific.",Staff:Location:Comfort & Facilities
"We checked in today and felt this resort would be two stars at best. Our deluxe room garden view was run down and our shower wasn't working properly. There was no hair dryer to be found. We called guest service and they kept insisting there was a drawer in the bathroom. The elevator was out of order and we had to make many trips via the stairs, not an issue if we were placed at one of the higher levels.",Comfort & Facilities
"The lobby, swimming pool and private beach of the resort lives up to its expectations: very nice
Our room (301) however was a bit disappointing: damp smelling, dark and not as clean as could be expected for such a resort.
The breakfast buffet and food on the contrary were excellent, as was the view on the beach and the sunset in the evening.
Very friendly and helpfull staff.
Navette service to town.
We didn't have a room with a view but should consider to pay for the supplement when visiting this resort.",Food:Location:Comfort & Facilities
"We came here for a friends wedding and everything was utterly fantastic. The staff couldn't do enough for you, the food was divine and the backdrop was awesome. We came back to visit separately to dine in the seafood restaurant and had another brilliant experience. We paid a visit to the bride & groom in their villa and the view was magnificent. The villa was stunning. I couldn't get over how amazing this hotel was. Faultless.",Staff:Food
"The resort is beautiful, it shows you a different and a special side of Boracay. Everything was excellent during our stay in the sea view delux room. One problem was the elevator that was put to preventive maintenance the next day of our visit, I had a 9 month old baby, a stroller, and a pregnant wife so it was very hard for us to manage. I complained to the hotel and when the manager approached me he offered a free upgrade to one of their pool villas which was a good response from him.

The resort has everything available for you so you wont really need to leave. A huge kids club, a medical center, salon, entertainment center, and their amazing huge pool is just out of this world.

Its highly recommended",Comfort & Facilities:Staff
"Great escape from the crowd in D'mall area or station 1, 2, 3. You can really enjoy your vacation on the private beach with the sound of wind and wave.
And the Solana bar is my favorite sunset bar in Boracay. Reservation are not available, first-come first-served, so it's better to be there at 5PM, then you can have the perfect seat.

比起觀光客氾濫的D'mall或Station 1,2,3, 香格里拉位置隱密，少了吵雜聲和擁擠感。飯店還獨佔兩座沙灘，ㄧ座與隔壁飯店共享，一座是私人的，不用擔心被打擾，能伴隨著海風海浪聲，慵懶地度過真正的「假期」！

還有Solana bar，是我在長灘島最愛的Sunset bar! 看夕陽，或躺或坐都行。但是不接受預位，是先到先坐制，所以建議最好在傍晚五點時就去，能優先選擇你想要的「最佳角度」。",Location:Comfort & Facilities:Food
"From arrival at the lounge, in the boat ride, to the hotel- that is just the beginning of a real shangrila experience. The hotel and its surroundings majestic. What thought was put behind it. Every facility is relaxing, the restaurants had good cuisine, service was always warm. That is a filipino trait no other country can match. All the staff had a smile and helpful attitude. The views are like a painting. I could stay there every weekend!",Food:Staff
"My wife and I booked a suite under the ‘romantic getaway’ package. We waited till the Chinese New year is over to avoid the crowds (Chinese New year changes every year, make sure to avoid the dates. Also, avoid October 1-7 and May 1-7, the other Chinese holidays when any holiday destination is crowded, noisy and expensive).
Unfortunately, the hotel was crowded with very loud adults and noisy kids running loose without parents’ supervision, even your kids will be looking at you saying can we do the same and get away with it!
There was no escaping the noise, I had to call security two times because the kids upstairs start running from early morning till late at night, so you cannot escape to your room.
Suites are strangely located on the lower floors instead of the top floors so avoid the suites, better go for the villas, check the map so you chose the best location for the villa when making the reservation, there are one and two bedroom villas and the price is not much higher than suites.
It is not advisable booking any package except the one that includes breakfast, the dinner under the package means you get a fixed menu and you wind up with two choices you do not like and it is not in any way cheaper than if you order from the menu.
Again you cannot enjoy any romantic moment at any restaurant even Rima where the kids keep shouting as if there is a prize for being the loudest.
The package includes one treatment at the spa, you do not get to choose and you are treated as if you got a free coupon while in actual fact you paid for it in advance.
We had another treatment of our choice and it was much better choosing what suites you.
Overall the spa is ‘skin rubbing’, there is no real massage, Thai or Swedish massage. There are two spas at D- mall where you can get real good massage at a fraction of the price but the environment is nowhere close to the Shangri-La’s
Sirena, the seafood restaurant, is below expectations, best you stick with the main dining hall, Vintana, for a wide variety and safe choices. If you want seafood go to D’Talipapa downtown.

In all, the hotel is very nicely decorated, comfortable with a private beach and another shared beach, excellent service but all this is shattered by the noisy atmosphere where you cannot have a quiet moment anywhere, near the pool, at the restaurants or even in your own room.",Food:Location:Comfort & Facilities
"Villa 6, it will hurt but dont think about that as your swimming in your own pool having just got your butler to run an errand for you.
Excellent service, always happy and saying hello always make you feel a little bit more welcome.
Food choice is almost too large, the room service menu could be expanded but these are tiny issues when considering a place to stay on Boracay.
Dont waste your time looking anywhere else, nowhere can compete with the beach or the location.",Comfort & Facilities:Staff:Value for money
"We are extensive world travelers and I have travel advised for years. We went from the San Francisco Bay Area to the Shangri-La Boracay in February 2016 to celebrate a major birthday. Stayed 5 nights.

ROOM: The Shangri-La was kind to provide a complimentary upgrade from Deluxe Ocean View to Premier Ocean View. Michelle Mendoza in Reservations was amazing and so patient and polite to work with. We were in Room 646. To me it is all about the view and the magic. The Shangri-La delivered exactly what I had requested in a “top 6th floor corner unobstructed sweeping ocean view” room. Stunning and perfect. Though 646 was at the furthest point from the lobby of the main buildings, it was an easy walk to the lobby and we never called a buggy.
MAGIC SPOTS: Travel is often about magic spots and magic memories. The Shangri-La has a few of them which should not be missed. 1) Solana at sunset or after sunset. This is the bar side of the seafood restaurant Sirena. Solana is open at 5:30 pm – is first come, first served – has 4 booths with colorful pillows cascading down the hillside over the beach. Solana has drinks/snacks or you can also order the same full dinner menu right there as served up the stairs in Sirena. These 4 booths fill up quickly so even sitting there after sunset is magic (when those who came just for a sunset drink have left these precious four booths). 2) Rima at sunset and stay for dinner. Chic Italian. This is your “dress up night”. The pictures do not do this restaurant justice. The lighting and décor is as magical and romantic as any restaurant interior we have ever seen. Whether you get a sea facing table in the one row outdoors or one of the inside tables, I don’t think there is a bad seat in the house. Take a buggy up as it is high in the resort at the level of the rustling treetops. There is a monkey family we saw near the restaurant and the bats and birds swoop by with the sun going down. Though the restaurant opens officially at 6 pm, if you call you can go up at 5:30 pm for a pre-dinner drink and watch sunset from high above the trees then dine. Gorgeous. 3) Sitting on the beach in front of the beach bar Alon/sister restaurant Cielo. Have a happy hour drink or draft beer on tap or a bottle of something with toes in the sand and enjoy.
OTHER RESTAURANTS: 1) The breakfast buffet at Vintana is one of the best 4 resort/hotel breakfast buffets in our years of extensive travels. Maybe 20 stations – maybe 300 items. All the typical offerings in such abundance and variety plus sushi, Indian, a little Thai, Philippino. A pastry chef trained in Paris works magic with his breads. They also have for a nominal fee a bloody mary station and sparking (asti spumonti or Perrier Jouet) station. A Philippine specialty, do not miss trying the “bibingka” which is a small - hot - rich - crisp pancake like item. 2) Lunch at pool and beach side restaurant Cielo is very good. Very casual. We ate here most lunches. They also have a chef doing a daily barbeque special lunch at reasonable prices. 3) Dinner at pool and beach side Cielo/Alon. Very casual. Restaurant Cielo officially closes at 5 pm but right there beside it is bar Alon which serves dinner at the very same tables as Cielo serves lunch. The Alon bar is beautifully lite, there are baby white lights on the palm trees, and torches. We had one dinner there at Alon.
MANAGEMENT: Management is truly delightful and very interactive. 1) Shangri-La veteran Ester Marcaida is the General Manager. We were lucky to meet her immediately as she was on our incoming launch from the Caticlan airport to the resort. Her grace and joy and kindness and elegance permeates through the property. She also saw us off in our frantic unexpected departure due to a flight cancellation. 2) Resort manager Russell Dray was great to talk to and also saw us off. 3) We had many conversations with Food and Beverage Manager Keith Rajan. He is exceedingly nice and we learned so much about Boracay from him. He was also very open to any suggestions or comments we had.
STAFF: The training of the Boracay staff is exceptional on top of the lovely inherent spirit of the people. Manners, etiquette, eye contact, joy, conversation, so well done. “The people” of the Shangri-La Boracay was a clear highlight of the trip for us.
SPECIAL TOUCHES: 1) The two nights there were fireworks at the hotel for weddings, management sent a letter to let us know. The first occasion they also sent a 10+ item snack tray to enjoy while the fireworks were on. A delivery like this was a “first ever”. 2) When you leave your plate at breakfast to retrieve other breakfast buffet items, if sitting outdoors, staff comes with a mesh cover to keep it protected in your short absence. 3) If you order something at the breakfast buffet that needs to be cooked (like at the egg station), staff brings it to your table so you don’t have to wait. 4) We were there for Valentine’s Day and every lady was handed a long stem red rose. 5) We were there for my 60th birthday and we were treated to a lovely bottle of champagne by the GM and to after dinner drinks by the head of F&B (with such thanks).
SUGGESTION: We spent most of our time at the Banyugan Beach and pool – right in front of the Alon Bar/Cielo Restaurant. The main pool there is largely families and children and noisy so we went for the 2 palapas bunglows (seating for 2 each) right there – but just to the side which was a little haven and quiet. The small infinity pool at those palapas bungalows is in fact highlighted as you open Tripadvisor on this property. On the beach we just got too much sun so wanted the protection of the bungalow. These 2 bungalows could not be reserved – and were so sought after some guests were coming out and putting their items out at 5 am or 6 am we were told. The idea of setting an alarm to go put things out in the dark did not seem like a proper thing to be doing on vacation. My suggestion is to build a whole row of these palapas huts - with 2 chairs under each - lining the back side half circle shape of the beach. The other beach the Punta Bunga did not have the extensive services of the other beach, but did have service. Interesting travel note, there were extensive lifeguards at the pools/beaches.
A TRAVEL CRISIS AND THE SHANGRI-LA WAS SPECTACULAR IN HELP: Flying from California, 2 of our 4 flights on Philippine Air were cancelled with little to no notice – one on the arrival end – one on the departure end. As a team, the concierge and one of the directors of transport - Toby Allan John - helped us with nothing short of magnificence when we went unexpectedly from beachfront to checkout in only 20 minutes to frantically catch an outbound plane because of the cancellation. It was truly chaos and so upsetting to leave in 20 minutes …. but Toby took charge and made it all work. When he said with such calm and confidence “he will walk us through”, he meant it. He took us right to the airline counter – checked us in with our passports – got our boarding passes with minutes to spare – and led us as close to the gate as he could. I will never forget that kindness and service. A very difficult way to leave a long planned special week.
I always said about my trip …………..”I am going to the Shangri-La – which happens to be in Boracay, the Philippines”. Indeed, the Shangri-La Boracay made the trip for us. Deservedly, now I know why people rave about going to a Shangri-La
and we are excited for our next Shangri-La experience.",Food:Location:Staff
