Opinion,Classification
"great place for staycation,location, friendly staff, facilities,had a great short stay in Shangri-La hotel, used the pool a lot and the staff there is very friendly and accommodating. No doubt will stay there again.",Staff:Comfort & Facilities
"Great,staff, place, comfort,Great experience as expected. You can never go wrong with Shang.",Staff
"relaxing place in the city,location.spacious room and friendly staff,near shopping malls and a lot of restaurants to choose",Location:Staff:Comfort & Facilities
"Good location hotel,Accessible to everything. Quiet.,Pleasant. Only problem, they don't offer free shuttle to nearby location like church or even to nearby mall to disabled clients.",Location
"One if the best!,Service, Cleanliness, Warm people,Really worth the money you spent.",Value for money:Cleanliness
"5star but a little bit slow in come of serving ,room bathroom very clean,2 days stay lovely",Cleanliness:Comfort & Facilities
"Nice hotel with friendly staff. Kids loved the poo,Pool, internet speed, staff (except for waiters at pool area)",Staff:Internet:Comfort & Facilities
"the best hotel,staff and crew are accomodating inspite of their.busy schedulw due to influx of guests,Excellent",Staff
"Excellent place to stay,Location, value for money and Staff performance,The best hotel in Manila",Value for money:Location
"Best stay,Hospitality of the staff, cleanliness and amenities,I love it! Definitely will be coming back",Staff:Cleanliness
"the best,clean good maintenance superb,pleasant as always, they deserve the 5 star status",Staff
"Perfect location,Location, clanliness, staff",Staff:Location
"Exceeds our expectations ,Perfect location, friendly staff and good food selection,Superb!",Staff:Location:Food
"New Year's Eve at the Shang,Service, cleanliness, location,I enjoyed our 1 night stay at the hotel because the staff was accommodating.",Staff
"Awesome,Location comfort and luxury,The best there is",Comfort & Facilities:Location
"Nice place with family ,Staff, environment, kid pool,Nice, but so crowed during new year season. Spend more than 30 minutes get my car after check out. Long lone waiting Elevator go up and down",Comfort & Facilities:Staff
"Great,Cleanliness, friendly and courteous staff,,Our stay at the edsa shangrila was fantastic. The staff was exceptional and the amenities were all great. Will definitely be back in the future.",Staff
"One og the best hotel in Manila ,Location, flexibility and best of all friendliness of staff,It was very good. Tho they ahould have known a lot of people will book they should have had liots od variety of desserts!!",Location:Food:Staff
"Perfect vacation,Cleanliness, Friendly staff, Location,It was the best family vacation. It's a good thing we chose this hotel to celebrate new year's eve. Though our room is facing the shang mall and we haven't seen any fireworks display.",Location:Staff
"My stay at the EDSA Shangri-La, Manila,Staff, Cleanliness, Good Food,As always it's excellent!",Location:Cleanliness:Food
"the best!!!,location, food, and ambience..,my niece and nephew really love their stay and even the adults.. it's just that it is too expensive that is why we rarely stay in the hotel.. but luxurious!",Location:Value for money
"great stay except for the coconut juice,location, friendly staff, nice pool,Great stay except for the coconut juice (served in an actual coconut) but tasted watered down. Since it's in the Philippines, I expected it to be good - like getting sweet pineapple in Hawaii.",Food:Staff:Location
"Good hotel,Good food; clean and comfortable room - recently renovated; great staff,Popular and busy; great buffet breakfast; close to airport and shops; However traffic is bad - it's bad everywhere in Manila.",Food:Location:Cleanliness
"clean well maintained room ,nice pool, clean rooms, good staff,No hassle at all, staff was nice and helpful The room is clean and well maintained Pool was nice, doesn't feel like you're in the middle of the city",Cleanliness:Staff:Comfort & Facilities
"Great stay once again at shangiri la,Cleanliness, staff, food,great stay overall",Staff
"Great place to stay,Location, Comfort, Shopping,The best place to stay when in Manila",Location:Comfort & Facilities
"Nice Hotel for Business Meeting,1. Good hospitality",Staff
"EXPENSIVE BUT WORTH IT!,The rooms are spacious and very clean, the Foods are all superbly divine & the staff are respectful,Our stay was great, it was so relaxing to unwind after all the shopping, all the staff are helpful...",Staff:Food:Comfort & Facilities
"Great hotel ,Food, rooms, location and service,We enjoyed all aspects of our stay . We will certainly book this hotel again",Food:Location
"Clean,Cleanliness, friendly staff, comfortable",Staff:Cleanliness:Comfort & Facilities
"Great play to stay in Manila,Location, staff, quality,have stayed before and look forward to returning next trip",Staff:Location
"Very Good hotel,Crew politeness, very good rooms, clean,Very good.",Staff:Food
"Great hotel,The food. The room. The service,Thoroughly enjoyed our stay. Recommend my friends to stay here",Staff:Food
"perfect for family or even with friends/company,pool were nice and clean..fantastic food...attentive staff,Nice and quiet...",Comfort & Facilities:Staff
"great hotel,Service, food and pool",Food
"Awesome staff, high standard of quality. ,Eye to detail of the Hotel is amazing.. Love the pool side great good, it's like a resort within walls.,Stay was a great experience which has helped me plan my best stay at Shang..",Staff:Location
"Good hotel but bad internet,Staffs and services,The hotel is good, but the wifi and internet by cable in the room is the most frustrating and bad connection for all the 5 stars hotels that I have stayed.",Internet:Comfort & Facilities
"Indeed A Shangri La Experience,Food. Staff. World-Class.",Staff
"Anniversary celebration,Kiddie Pool area, Heat restaurant and nice room",Comfort & Facilities:Food
"Excellent,Free wifi everywhere, very nice pool area, great location",Location:Internet:Comfort & Facilities
"superb!,clean rooms and toilets, nice pool, great restaurants,superb!",Comfort & Facilities:Cleanliness
"superb,excellent ambiance, spacious room, clean toilets,excellent as always",Comfort & Facilities:Cleanliness
"Staff were fantastic, rooms very good. Great pool ,Staff, rooms all round service,Excellent, will be back again, great hotel to relax at after Manila traffic!",Staff:Comfort & Facilities
"Wonderful,room, swiming pool, breakfast,I enjoyed.",Comfort & Facilities
"Absolute fun and relaxing!,Centrally located, near shopping areas and a truly leisure hotel.,Truly Splendid! All the things you would wish for your hotel stay (except for the beach). Magnificent hotel!",Location:Comfort & Facilities
"An awesome hotel in a city,Truly a five star hotel, great set of staff, and an excellent place to stay for people who love to shop until they drop,It was FUN to stay in EDSA Shangri-la Manila!!!",Comfort & Facilities:Staff
"wonderful and perfect,rooms, food, club,it was great, a true 5 star hotel",Food:Value for money:Staff
"Comfortable & luxurious hotel environment,Pool, Service, Cleanliness,I had a wonderful stay in the Shangri-La, the service was great and the pool was very beautiful. The gym was complete and clean. Great place to stay.",Comfort & Facilities:Staff:Cleanliness
"Great leisure time,Food, amenities, rooms,No internet in their rooms.",Internet:Comfort & Facilities
"Comfort in a safe environment,Cleanliness, nice bed and attentive staff,Comfortable room with clean features. Our newly renovated room was without a bathtub; hence a minor disappointment.",Comfort & Facilities:Cleanliness
"comfort at a good price,food, friendly staff and the nothing is a problem attiude,This is the 4th time we have stayed here never a problem and the food is the best a very good range.the staff have a nothing is a problem attiude.",Staff:Food
"Awesome,Heat restaurant, fast check-in and check-out,Enjoyed our stay, easy access to shopping malls and restaurants.",Location:Food
"an excellent hotel centrally located,breakfast, swimming pool, location",Location:Comfort & Facilities
"Perfect for families and couples,Relaxing ambiance, nice and courteous staffs, good facilities for everyone,The stay was better than expected. Clean room, friendly staffs, and good breakfast choice.",Staff:Food:Cleanliness
"relaxing,friendly staff, cozy, fast service",Staff:Comfort & Facilities
"Very nice hotel, very good quality,Great staff, great breakfast, comfortable beds,Very nice place, great swimming pool, great breakfast buffet very comfortable beds.",Comfort & Facilities:Food
"edsa shangrila manila hotel is excellent ,friendly staff, nice design and comfortable room, great breakfast,we stay in shangrila hotel with my family ( celebrate the christmas bonding with my 2 kids ).super enjoy and i really appreciate the kiddie pool.nice pool.",Comfort & Facilities:Staff:Location
"My overall experience is Fantastic,Location, restaurant and the staff",Staff:Food
"Excecllent,Clean, large room and very good quality service,Excellent hotel; high quality staff and very good location; very good for business and conference meeting",Staff:Location:Cleanliness
"Vacation in best comfort,Location, luxury & service,Nothing to complain on this hotel. I may have experience a little noise due to on-going renovations but the staff took care of it with no further questions by moving me to a better room.",Staff:Comfort & Facilities:Cleanliness
"Very Luxurious Hotel,great food in their restaurants, close to the center of the city, near shopping areas",Location:Food
"First time to stay with my Fiancee,Elegant room for a couple, good location and near with shopping malls",Location
"good choice for both leisure and business,nice staff, good location and warm hospitality",Location:Staff
"Grest stay,Quiet, clean, friendly staff",Staff:Cleanliness
"great relaxing stay,nice, cozy place, friendly staff",Staff:Comfort & Facilities
"good n well manage hotel,near shopping malls, restaurants n good breakfast,it is good experience and the staff are freindly n helpful",Staff:Food:Location
"comfortable stay.,nice location. close to shopping. friendly staff.,had a gastronimic feast during breakfast...all the time!",Location:Food:Staff
"Comfortable stay and great breakfasts,The food, the pool and the staff,We had a great stay at EDSA Shangri La Manila Hotel. We would definitely come back and recommend this to others.",Food:Location
"Professionally run hotel. Excellent Cust. Service.,Customer Service. Cleanliness. Ambience.,Faultless. Excellent place to stay. Could teach the rest of the Hotel Industry about Customer Service. First-Class.",Staff:Comfort & Facilities:Cleanliness
"A recommendable place for an overnight party. ,Cleanliness and serenity",Comfort & Facilities
"pleasant and comfortable,the food the room size and comfort of the bed",Comfort & Facilities:Food
"very pleasant second time staying there,superb buffet restaurant,clean rooms,big bathroom",Food
"Our stay was relaxing and comfortable.,Spacious, elegant, nice food",Food:Comfort & Facilities
"The hotel was a nice haven in all the excitement o,Staff were excellent, room was large and internet was fast,I would recommend this hotel to everyone.It has everything one needs to relax when not working. Good value for money too",Comfort & Facilities:Value for money
"it's shangri-la... it's name speaks for itself:),we all had a good sleep in the comfortable and nice room, hotel food range are great too. lastly, we loved the hotel SPA",Comfort & Facilities:Food
"excellent, but miss the good wifi,CLOSE TO MALL, FRIENDLY STAFF, FOOD",Staff:Food:Location
"Friendly staff ,close to local shopping malls, hotel's limo service, great buffet breakfast",Staff:Food:Location
"Relaxing,The Cleanliness, the staff and the service",Staff:Cleanliness
"Superb Hotel for the business traveler,Pool Area, Quite Room, Staff",Staff:Comfort & Facilities
"shangri-la is really the best,spacious room, large bed, near commercial areas and shopping,great, will visit again and will invite friends. the hotel is near commercial areas and shopping",Location
"superb!,relaxing, best quality, best services",Staff
"very relaxing for a stressed out business trip,garden and spa atmosphere",Comfort & Facilities
"Very friendly staff made my stay awesome,Staff attentiveness, easy access, near shopping center,Very good!! The staff attended to me is so accomodating and very kind. All the staff even at the restaurants are very friendly.",Staff:Food
"Excellent hotel. Great service.,Restaurants, service, staff",Staff
"Great buffet at Heat,Good Customer Service,We were there during renovation time so when we complained the 2nd day of our stay, they upgraded us to an executive room.The service is great and breakfast buffet is a must try at heat.",Food:Staff:Value for money
"the best Hotel in Ortigas Area!,Good service, accommodating staff,The best hotel in town especially in Ortigas Area. No 1.",Staff
"Excellent World Class Service,You are treated like royalty,I absolutely loved this stay. Staff were extremely friendly and helpful. Nothing about my stay was unpleasant. Although the hotel is old, is brings about some charm.",Staff
"Great location,garden solarium,Pleasant, HEAT (their dining room can improve their house wine) and their sandwich adobo chicken can be improve a lot!",Food:Location
"Shangri-la, living up to its name,Pool area,I will definitely stay again in Shangri-la....rooms are clean, room service is fast, staffs are courteous..overall the stay was unforgettable..I'm now a certified Shangriholic",Staff:Cleanliness:Food
"Expensive & Disappointing New Year's Eve Venue,Excellent Customer Service, Nice Rooms,No fireworks or light show. Disappointing. We should have gone to Makati instead.",Value for money:Staff
"my home away from home,great service and facilities,conveniently located.full ameneties and effcient staff.",Staff:Comfort & Facilities
"Good location, great staff,Nice hotel, good location, service with a smile,We had a pleasant stay here. The room is nice, location is very good, great staff, nice swimming pool.",Location:Staff:Comfort & Facilities
"Accessible location,nice amenities, food is good, nice ambience,hotel staff are very courteous but parking space very limited",Food:Location:Staff
"Excellent Hotel!,The service from all levels of employees is remarkable. Everyone was very helpful, competent and all with a very positive attitude.,I will definitely go back to the EDSA Shangri la Hotel. Everytime I stay there it is always a very memorable experience.",Staff
"Nice hotel!,Location- near malls,Stay was good except that check-in took some time. Area outside also under construction which causes traffic",Location
"Lovely Hotel & great facilities.,great location. strong wifi signal. lovely rooms. accommodating staff,we really enjoyed our stay. the room was great and spacious. very clean bathrooms.",Comfort & Facilities:Location:Internet
"One of the best hotels in Manila,Near by Edsa Shopping Mall.,Nice room, clean, great service. However, they need to renovate the bathrooms already.",Cleanliness:Comfort & Facilities:Location
"NOISY!!!,very good service, good food, good spa/massage,They put me on tower building on my first day and i complained. They gave me the garden room the second stay and much better. So traffic due to construction everywhere around the area.",Food:Location:Staff
"Truly a five-star hotel,food, amenities, and front desk, service, room,i definitely want to come back! next time i'll use the health facilities, massage, etc. i just wanted to relax and enjoy a hot bath, and the room alone provided me with it!",Staff:Comfort & Facilities
"not as quite as i expected,location,elevators smelled cigarette smoke. small room. room smelled stale when we initially entered. there was no five star treatment or perks. it was just like any ordinary hotel.",Cleanliness:Comfort & Facilities
"Fantasic hotel, i recommend this to anyone. ,Hospitatlity and shopping,I love Shangri-la they always look after you and make you feel so welcome when you arrive. Every staff member is so friendly and nice. I cant wait to go back again.",Staff
"5 star ,Great everything,Always love staying at this hotel. Easily the cheapest when it comes to 5 star. Pool, dinning, rooms, entertainment all brilliant",Comfort & Facilities:Value for money
"Amenities,Love the healthclub, pool and convenience of room service.,Don't have to leave the hotel for anything, relief to have everything once you check in.",Comfort & Facilities:Staff
"Very nice, perfect location.,Clean, friendly staff, rooms are big.,The hotel was perfect for the purpose of my stay. I would very much like to go back.",Staff:Comfort & Facilities:Location
"Shangri-La never fails,great location,easily accessible to the main road (edsa). has direct walking strip to one of the best malls (shangrila mall). large pool. awesome ambiance. perfect getaway in manila!",Location:Comfort & Facilities
"Warm service by Horizon staff,Attentive horizon staff,The only down side of this is that the check in was not amde in the horizon, they did not lead us to the horizon lounge where we expect to be more comfortable since we have a kid with us.",Staff:Comfort & Facilities
"Lovely hotel with warm smile,hotel staff are very polite and helpful,nice hotel with good staff cleanliness up to standard",Staff:Cleanliness
"strategic location, yes, service with a smile,Friendly staff, wide and spacious, elegant, free wifi,It was my first-time to stay at Edsa Shang and I would truly say that ""I was impressed."" It is something that I would describe as very elegant yet there is still that tinge of simplicity.",Staff:Food:Comfort & Facilities
"v. professional with willing service,Decor, staff,Very professional and helpful staff. Reasonably well located if your business is in Quezon or Pasig etc. rather than CBD.",Staff:Location
"This hotel is really nice and near Mega mall,Close to Migamall which is one of the best mall in the Philippine,It is one of the best if not the best. Very romantic",Location
"Pleasant Lounge,Excellent food,The lounge is huge and it also have big meeting rooms. On top of that, the food serve was more then excellent. Service is also excellent.",Food:Staff:Comfort & Facilities
"Beautiful Hotel,very accesible,The hotel is very accessible to the city. Just a few minutes walk from the mall",Location
