Opinion,Classification
"Great family friendly hotel,Fabulous swimming pool and gardens, nice poolside bar,,Checkout - took to long and was a bit of chaos. Made us late for our next appointment.",Comfort & Facilities:Staff:Location
"Perfect place to stay. My wife & I had a great time using the gym.,There was no Decaffeinated coffee but was provided when I requested for it.",Food:Staff:Comfort & Facilities
"Perfect in every way,Staff attitude was fab Excellent gym and pool",Staff:Comfort & Facilities
"One of the best places in Manilla,Facilities are gorgeous Connected to a mall and near another mall just across the street,Internet a little bit slow Long waiting time during breakfast",Location:Food
"As expected,The swimming pool area is spacious and quiet. You feel like in a resort while being in the middle of the Metro.,Nothing",Comfort & Facilities
"Exceptional,A/C & wifi",Internet:Comfort & Facilities
"Exceptional,Limited parking and valet",Comfort & Facilities
"Great place to stay in Manila, very nice staff.,The staff was very helpful and wiling to walk the extra mile to make our stay enjoyable. The hotel is connected to a mall and walking distance to another. This was a must for a city where you spend most of the time sitting in traffic. Good restaurants and food court nearby.",Location:Staff:Food
"I was there for a layover, and I wish I could have stayed longer,The staff was extremely attentive and helpful. Great gym!",Staff
"Like my breakfast and we had a good night sleep,Feel relax and satisfied and want to comeback again",Food:Comfort & Facilities
"We had a relaxing and enjoyable stay despite the very short time.,Pillows are so fluffy and soft. Great place to relax. Location is very strategic as it connects to the mall conveniently.,Limited parking space esp when there are scheduled events.",Location:Comfort & Facilities
"two thumbs up,the service was great! they even gave me a birthday cake!",Staff:Food
"Very relaxing,comfort & serenity,nothing",Comfort & Facilities
"Awesome and relaxing getaway in the heart of Mandaluyong City...truly a shangri-la...,Awesome and relaxing getaway in the heart of Mandaluyong City...truly a shangri-la...",Location:Comfort & Facilities
"Excellent,Good food and rxcellent staff",Staff:Food:Location
"stay was excellent. worth every penny i spent. i would want to stay again somtime.,room was spacious. loved that they had a 9 ft pool,the internet was slow and we got disconnected sometimes",Comfort & Facilities:Internet
"The hotel is excellent, staff, foods, location and good value for money. Want to comeback !!,Location its was excellent and bed so comfy. The staff are very warm wellcome me..!!,Smoking area is so far at 2nd floor at tennis court.",Location:Value for money:Comfort & Facilities
"Awesome,Gym, pool buffet breakfast,None",Value for money:Food:Comfort & Facilities
"Exceptional,Carpets are dated",
"Pleasant,Would prefer to have a shower screen instead of a bathtub with shower curtain. The switches in the room were not connected so we have to switch off like 6 to 7 switches in order to get to bed. They provided me a last room which is at the corner of the floor and we were not told when we checked-in and we realized that there were other rooms available. Overall, the staff were good and polite.,The pool is very noisy and crowd. The room and the facilities were old.",Comfort & Facilities
"Relaxing for the day....,Everything was good more than I expected. I would tell anyone if they had the chance to visit this hotel. A good place to be!",Staff
"Rundown hotel rooms, poor housekeeping staff service ,This hotel needs a major upkeep and maintenance works. For the room rate that I paid - Php12,800/night- the bathroom pipes were clogged, the housekeeping staff took forever to deliver our requests, the carpet is filthy, and no safety handles for PwDs inside the bathroom, except for one on the shower wall. Bath tub is too high for a pwd who has dofficulty climbing. Plus, the twin beds are soooo small. Marriott has better beds and rooms.",Comfort & Facilities:Staff:Cleanliness
"Hotel needs major renovation and accounting system untrustworthy. ,Room furniture (on the horizon club category) needed a major renovation. The sink and bath tub drain were clogged, bathtub needs more safety measures for senior citizens like my mom. Housekeeping is super slow, our request for additional towel never came. Horizon club is ok but little children tended to make a lot of noise and hotel staff seemed helpless in keeping the children behave well. Worst of all, I was double charged for my horizon club room! The POS kept printing out one night and wouldn’t clear out. I had to pay for the room and then later that day I reviewed my receipts and emails and true enough, I was charged twice! I immediately called the front desk at horizon club and thanks to Therese, she quickly solved the problem and reimbursed me in cash. But really, Shang, your accounting system sucks. I wonder how many customers you’ve already double charged because of your bad system? I had expected something more than a return on my excess payment - but none came. :-(",Value for money:Comfort & Facilities:Staff
"cost,our room was 20,500 pesos for 2 nights, then found out when paying for room another 5,000 pesos for taxes, to me thats stupid that 25% of the room cost, not come back there again, there are lots of hotels just as good and don't charges 25% tax on room",Value for money
"Excellent,I am not satisfied with the kind of service that the staff in the reception area of the Horizon Club Garden Wing handled our complaint about our room key when we were about to check out already. This is the first time that I am not so happy with my stay at Shangri la.",Staff
"It is always great to stay in Shangri La.,The staff is always accommodating and courteous. The rooms are clean. The beddings and blankets have thinned out and look a bit old. The 24/7 in-room Service do not answer early morning calls. If they do, it takes a long time for them to receive calls. But, still great!",Staff
"For my Dad’s birthday,I actually booked 2 nights staycation for my parents as it was my dad’s 74th birthday. The place was really fab especially the location and my dad commended the staff as they were very helpful. He also got amfree birthday cake.. thanks Edsa Shangrila Hotel for making my dad’s birthday unforgettable.. 😊",Staff:Location:Food
"Never fail our expectations,I am impressed with the security/medical response team. Firstly, when my skirt got caught on the escalator (though i was the 1 who pushed the stop button). They were kind enough to call our room and check on me, even though it was quite obvious that there was no bodily harm done. Second, there was an accident in the pool area involving one of the minor guest and the emergency team was quick to respond. The staff were all nice (front desk, gym, pool, lounge/bar, the heat, the staff in charge of our room/floor and even the security staff ). When I'm in the mandaluyong area, will choose edsa shangrila, will book through agoda or direct on the hotel's website. Never fails!!!!",Staff:Comfort & Facilities
"Excellent stay on a holy week,They tried their best to make things as smooth as possible although checking in was a headache bec of the queue. Other than that it was an excellent stay, breakfast was awesome! Would check in again definitely.",Staff:Food
"Excellent,The carpet and couch in our room could use a little more vacuuming and disinfecting. Toilet and bath is nice and clean, but we would appreciate a bidet. There are a lot of storage (drawrs & cabinet) which is essential if you're staying for longer. Refrigerator is not able to cool our drinks as much. But it is a classic Shangri-La hotel, with sufficient amenities and convenient location. There is a bridge from the hotel to the mall, and staff are courteous too. Overall we are happy with the deal we got from Agoda for our weekend stay.",Comfort & Facilities:Cleanliness
"good clean, ,good relax",Cleanliness:Food
"Thoughtful service!,We stayed over the weekend to celebrate our anniversary and they were so sweet to leave us an anniversary cake during the turndown.. plus a complimentary late check-out. Food at HEAT, the facilities and the warm service are a plus too.",Staff:Food
