Opinion,Classification
"best for staycation,best location. near the malls. lots of restaurants nearby. we tried sage restaurant and the food was great. staff of course were very polite and helpful. the breakfast was awesome. although the probiotic drink was expired. all in all. we had fun.",Food:Location:Staff
"Great Hotel,We had a great time in Makati Shangri-La. They allow us early check-in & extra an hour late check-out since our flight is at 5pm Special thanks to Ms Alexa who assist us for check-in and ensure we had a suitable room for our family of five. Location is great since it is a walking distance to shopping mall and easy to find food.",Staff:Location:Food
"Birthday at the Shang ,Very good stay. Memorable stay and excellent buffet.",Food:Location
"Clean hotel & great location,The hotel is old but clean. Staffs were friendly and accommodating. Great location since it’s close to the mall and train station. It’s faster to walk than drive in the city due to traffic.",Location:Cleanliness:Staff
"100%,Excellent. We stayed here on New Year's Eve. We enjoyed their facilities specially the spa room. Their swimming pool is too cold though, so we didn't get to swim longer. Room service are A+++, you can even ask them to tidy up the room even in the wee hours. The bathroom is very spacious.",Comfort & Facilities:Staff
"Still a very satisfactory experience,The value of this hotel is still all about its location. Although the hotel could use more updating and the lobby chairs could use some replacements, it's still value for money. I wold still stay here if i have the chance.",Comfort & Facilities:Value for money
"Old well maintained hotel,Pros: - strategic location - nice touch on the amenities - professional staff Cons: - Bathroom, old stain and dirt beneath the sink - old fashion interior design",Comfort & Facilities:Cleanliness
"its a little expensive,its a little expensive than other hotels but doesn't offer anything special for its rate. a bit old... but the courteous staff makes up for it.",Value for money:Staff
"Great location. Not a lot of traffic from airport to hotel via skyway ,Great hotel and location. Traveled with kids ages 1.5 and 4. I would have given more stars to facilities if they had a playroom for children. Travel time from airport to hotel via skyway was not too bad considering traffic problems in Manila. Would recommend this hotel to family and friends.",Location:Comfort & Facilities
"Excellent location,Staffs very accomodating and efficient.Centally located for shopping .The first night had been hectic due to the Star magic Ball but the plus side was i had a glimpse of the Stars of which i enjoyed on my first day back in the Philippines.",Location:Staff
"Exceptional,The rooms felt outdated compared to other premium hotels in the area that I stayed at. Definitely preferred the renovated Dusit Thani rooms in comparison. However, the service, facilities, and restaurant were excellent. Good location for those who want to stay around Makati/Greenbelt. If you want to explore BGC I suggest you stay in BGC as its a little far for my taste",Comfort & Facilities:Location:Food
