Opinion,Classification
"like for ever,Everything is good except price of red wine.",Value for money:Food
"Excellent,The beach is beautiful. The facilities are good and the staffs are friendly.",Staff:Comfort & Facilities
"Will come back for more,It was a great experience. The food was wonderful and the whole resort was just so beautiful. I was 34 weeks pregnant then and had so much fun. Will definitely come back with the little one. Such a wonderful family friendly place.",Staff:Location
"Great hotel for Family,This is a great hotel for family. Our children had a good memories in this hotel but it is too pricey.",Value for money
"good,it's too expensive but everything is wonderfull",Value for money:Location
"Best place for a staycation!,I have always loved this resort/hotel. I love it even more at how accommodating they are to babies! The food is great, the rooms are just as great and the whole package is really ideal for vacations!",Comfort & Facilities:Food
"Good staff hospitality , location , Amenities , Restaurants soecially Tides,Special mention for Jerovic the ocean wing staff , always helpful and smily .. Thanks all ,,,,,",Staff:Food:Location
"Good location , excellent service and good amenties . ,Overall the hotel is so nice specially the amenties and the staff hospitality , any one would passby they will greet us . Special mention for the receptionist in ocean wing lobby ( her name is Jerovic ) . She has acute smile and she helped us in checking out late at 2pm as our flight was late. Tides restaurant is very good all food are nice and thier staff are helpful. The hotel is five star with good view and excellent service .",Staff:Food
"good,good, but a bit expensive",Value for money
"Descent Hotel with Marvelous Service!!!,I have been to many 5 star hotels around asia but never been to a hotel with staff showing this high level of dedication and appreciation to their customer. e.g. The looby staff was amazingly helpful! When there was lounger available at the beach or pool there was always staff available and finding a solution! We stayed for 8 nights over christmas. Higher rating overall was not possible since the rooms have seen their best years (but still OK) and the hotel was over occupied which leaded to waiting time at the breakfast. Dinning in the hotel is too expensive but there are a few restaurants outside you can reach by walk.",Staff:Food:Comfort & Facilities
"Fair,The resort is smaller than I expected. The pools are small. Maybe put more air conditioned lounge areas bec it's scorching hot in the lobby even on December. Beach area also not as expansive as I expected. Found the ambience of Tides too dark for breakfast.",Comfort & Facilities:Food:Location
"High quality, relaxing resort ,Great place, and facilities providing a valued services. Let down by some staff handling checkout service. Very frustrating and disappointing. If that is fixed then great place",Staff:Comfort & Facilities
"Excellent hotel,The room was clean,food was nice and service was superb.",Staff
"Shang stay ,Clean, nice facilities, good food",Food:Cleanliness:Location
"Stay at the shang,Accommodating staff, spacious room",Staff:Comfort & Facilities
"Groups business trip,A tourist hotel",
"Lots of fishes around!,Love the ambiance of the resort. It's beautiful and elegant. The most amazing thing is you can see lovely fishes swimming around just near the beach! You don't even need a snorkeling equipment to see them. Everything is wonderful except restaurants in the resort are very pricey and you can't find good eateries outside the resort in walking distance.",Location:Food
"Family friendly ,We totally enjoyed our stay. Very friendly staff",Staff
"Overpriced for a hotel in the Philippines,The facility is well kept, but that's it. Makes for good photo sessions. The place is overpriced for a hotel in the Philippines or in Southeast Asia. We've stayed in better hotels in Cebu and in other islands in the Philippines for much less and a better experience. We've also stayed in much better places in FIJI, Bali, Thailand for less. The food is very overpriced. Buy one get free happy hour is a joke. Cocktails are 400 pesos each. Elsewhere the max I've seen is 180. There is the option of going to Ayala for cheaper dining and shopping, but what's the point of doing that and spending money on a resort you aren't present in. I basically paid for an overpriced Facebook update.",Value for money:Food
"Excellent facilities available ,Rather overrated for the price. Buffet is extremely good but not better than other less expensive hotels in Cebu. Very good restaurants if over priced. Best are the pools, beach and sports facilities. Staff superb. Room excellent but my shower at home is better than Shangri-la's average offering.",Food:Value for money:Comfort & Facilities
"The best,Nice view.. The staff are very accomodating..,None",Staff
"Exceptional,Nothing",Comfort & Facilities
"Great vacation,The food, huge buffet at breakfast and very good food in all bar and restaurants of the resort. The facilities for kids and the babysitter service upon request. Nice beach with a lots of activities. The staff was very friendly and helpful.,No bad comments",Food:Staff:Location
"Very good,Good,I would have liked a better selection of restaurants..",Food
"Wonderful resort hotel!,It's a resort for all ages. Good food! Lovely beach.",Food:Location
"Best get away place,beach , rooms , location , service and staff",Staff:Location
"Excellent we will return,Everything was done for us the service the shangri la experience was wonderful. The breakfast buffet was delicious with plenty of options to suit all tastes and the whole experience of the resort was relaxing and wonderful.,Price for everything is high but I think it was worth it.",Food:Location:Value for money
"Pleasant,Too expensive compare to other luxury hotels",Value for money
"Third stay. Would stay again. High end but worth the cost,Patient, friendly, and courteous staff.,Hmmmmm. Have to think. Did not care for the first room as it appeared they pushed two twins together to make a single and I did not care for the view, partial block from another building. I called. They moved me to another room.",Staff:Comfort & Facilities
"Fabulous,Everything",
"Avoid if you do not children everywhere ,It was a beautiful hotel with fantastic staff. Room was comfortable and the layout of the hotel was nice. Great pools and the snorkling just off the beach is superb. Very good breakfast in the Acqua Restaurant.,The biggest disappointment and the reason for us to not come back is the enormous amount of children everywhere! There is not one spot in the resort where adults that do not want to be around children can sit and enjoy their holiday. There is two big pools filled to the brim with yelling and screaming children. The beach: same. The resort is huge, why can't their be a spot for adults only? The main restaurant Tides is off limits during buffet time. It is a warzone, a hell full of noise and screaming kids and large Korean/Japanese families all fighting for food.",Food:Comfort & Facilities
"Beautiful beach,The view from our room was amazing with a private balcony with two chairs facing the pool and the sea view. The room was spacious, staff was courteous, breakfast was good, with lots of choices.",Comfort & Facilities
"SWAY, my way.,Staff were excellent, very welcoming and professional. Location was very nice, and although their is competition in the area, I feel we made the best choice. Beach and beach bar at night was wonderful, very romantic.,It was a little busy,especially around meal times, but good family hotel.",Location:Food:Staff
"Very enjoyable stay,The best part about our stay was the trip to Nalusuan island fro snorkelling and lunch. Also the short trip to the airport from the hotel.",Location:Food
"Exceptional,Amazing place.",Comfort & Facilities:Location
"Welcoming staff, the resort was very good,The breakfast was great! Lots of food choices so impressived!,The pictures showned on the room was deceiving it looks big but on the actual it's not.",Food:Location:Staff
"A dream land respect to the surrounding area,A very warm approach by the staff with a great attention to details,I cannot tick this box",Staff
"very good,Service,cleanness, attention to details. Wifi excellent.,Location far from main activities. They charge aadditional for city transfer?? It is not expected from 5 star hotel.",Location:Internet:Value for money
"The Best resort for a Mothers day treat! ,everything!,kinda expensive ahaha but worth the stay!",Value for money:Staff
"A nice place but everything that you do cost money,The beach and the pool,All the amenities cost extra and to every order they include several taxes only for the hotel guests!",Value for money:Comfort & Facilities
"Fabulous sprawling resort in a picturesque setting ,Very attentive and pleasant staff",Staff
"Fantastic. Will definitely return,The water activities stood out",Comfort & Facilities
"Very relaxing resort with great service and beach! must try the Chi spa,Very relaxing resort with great service and beach! must try the Chi spa!",Comfort & Facilities
"You get what you pay for,Shangrila is known to be one of the top hotel chains in the world. This hotel lives up with the reputation and defenitely is a vacation spot where you can spend your entire stay in.",Value for money
"Goodddddd!,Goodddddd!",
"Just love the place.. We have an awesome vacation,The place is great.. Excellent service, perfect ambiance , great foods. And the beach is awesome and there is a marine sanctuary.. A great place",Comfort & Facilities:Food:Location
"Really a five star hotel,The one thing that stood out was the staff... very corteous, very friendly. They exemplified SERVICE with a smile. I was pleasantly surprised when we were brought straight to our room from the airport instead of having to line up and wait at the front desk. All the staff were very hospitable: the front desk, the diving instructors, the restaurant staff. I wouldnt hesistate to go back there.",Staff:Food
"Wonderful stay,The whole experience was great and I wish I had more time there. The rooms were big and very comfortable. The beautiful beach is just a stone's throw away. Staff were friendly and helpful. Breakfast was excellent. Cons : not much amenities like you cannot get some snacks or mineral water without going out. And the large evian water is chargeable. So if you intend to stay longer, might be a good idea to buy some stuff before coming in. We didn't go out except to the Spanish restaurant just outside. The paella was average and caesar salad is more a garden salad. Given a choice, maybe going to another eatery would be a better choice but we chose it cos of convenience.",Food:Location:Comfort & Facilities
"Overpriced,Customer service needs so much improvement. I paid for an extra bed but I had to call more than 10x before they set it up. Lousy!",Staff:Comfort & Facilities:Internet
"paradise,always a great stay at the shangrila mactan!",Location
"good,good",Food
"Nice stay,Clean and good",Cleanliness:Food
"great resort ,very nice resort and good for young children",Location:Staff
"Excellent stay, Warm hospitality,We had a grand time in Shangri-la Mactan! The food, people and facilities were excellent. Special mention to Tides personnel - Mike and Joel. We were taken cared of like royalty! I'm sure we will be back soon.",Staff:Food
"Breach is great.,Value paying for ocean club room",Value for money:Comfort & Facilities
"Good trip,It is nice trip",Staff
"good experience,overall a very pleasant and enjoyable stay. staff is also very accommodating",Staff:Food
"Good,Nice",Food:Location:Comfort & Facilities
"Ok,Ok",Location
"very good choice,i can not forget this beach and resort",Location
"Heavenly holidays,We stayed 2 nights there. We really Enjoyed heavenly holidays. Everything was designed for guests' comfortablstay. For me the most fab thing was the live music at the restaurant and lobby lounge. Many guests and staffs had fun with music and dance.",Food:Comfort & Facilities:Staff
"Run down resort has seen better times,I used to really like Shangrila Mactan but this resort is really old and its age is showing. If they've done renovations then its not working out very well. Random creaking sounds speak to poor quality renovation and the sound of dripping water from the airconditioning speaks of poor maintenance. The rooms seem clean but the bed has a strange over laundered smell that caused my sinusitis to flare up. Service standards have really slipped and sometimes quite annoying especially the housekeeping knock to give water when I just checked in - why wasnt the water already in the room?",Comfort & Facilities:Cleanliness
"Worth an unwinding time,Lobby Lounge",Value for money
"Relaxing!,Overall location of the hotel and the breakfast buffet.,Not all staff are accommodating :(",Food:Location
"Just a one night stay no cot and waited over 1 hour for a high chair at breakfast,Very clean and relaxed atmosphere,Unable to get a cot and not enough high chairs",Comfort & Facilities
"this hotel is simply stunning with the most attentive staff you will ever meet .,All the staff are so friendly,polite and attentive,nothing is too much trouble. The army of gardeners do a wonderful job keeping the gardens so beautiful and pristine.,Food and drink are generally very cheap in the Philippines,so I was shocked to be charged 160 peso for a can of beer that costs 30 peso.",Value for money:Food:Staff
"Nice beach resort,The wifi working very well everywhere in this huge resort. Staff very nice.,Prices for restaurants are expensive. We ordered local fish at beach restaurant and it was not properly cooked (fried instead of grilled and uncooked) and expensive.",Food
"Fabulous,We were comfortable this hotel and nice place and nice all staff and restauran are good,far for going city and a bit expensive",Comfort & Facilities:Staff:Value for money
"Why change refunded money for insurance?and to pay back they take long. Why hold someone's money,staff,the holding of insurance money",Value for money
"Our Family Happy Place,ShangriLa Mactan has been a family favorite. It is an ideal getaway. Conveniently close to the airport, and private enough to enjoy quite time with the family. Because we have been to the place quite a few times before, there is a nice familiarity to it that my daughter even calls it our home away from home.,Though we understand that the hotel is fully booked, it is still disappointing that we were not allowed late check out. :(",Comfort & Facilities:Location
"Not worth the price,Beautiful beach, nice restaurants, big resort, life guards, close to the airport, very nice breakfast,room was not clean. we found cockroach in the room. our bathroom was flooded every time we showered. we had to wait 45 minutes to receive our room key after we arrived at the hotel. the spa was too expensive.",Comfort & Facilities:Cleanliness
"This really is Shangri-la,The setting is perfect. The staff are very courteous. The facilities are good. Free transport a plus.",Staff:Comfort & Facilities
"perfect,Foods,Nothing at all.",
"Exceptional,Everything in the resort! So fantastic it seems that you are in a paradise.",Comfort & Facilities
"beautiful resort,comfortable, friendly, beautiful sea all in one resort for couple or family enjoyment,front desk was a little crowded and busy",Comfort & Facilities:Staff
"Definitely the right choice!!!,There were a lot of facilities that we could utilize and it never got boring for us during our stay. The private beach was fabulous that offered water sports activities and snorkeling was better than the other spots I went to during my previous holidays. Breakfast was offered with a lot of variety and a special breakfast corner for kids! We will definitely come back for our next vacation to Cebu.,I felt sometimes that we were not treated as well as the foreigners there. We were quickly mistaken as locals due to our similar asian features but that shouldn't be the case as we are guests as well.",Food:Location
"We loved it.,Excellent staff Beautiful hotel,You have to pay for most of activities.",Staff:Value for money
"Beyond expectations!,The entire place is really a paradise.",Location:Comfort & Facilities
"Love this place!,I like so much the amenities, the beach, the food, the landscape ( I love the plants all around).,None!",Comfort & Facilities:Food
"非常優秀的員工，非常昂貴的午晚餐,1. great beach & pools 2. laundry service 1 bag for only $1200PHP (All pieces you can put inside the bag. They will provide wash,dry,fold nicely;return to you very soon),You can only eat inside the hotel & all of them are expensive. (for lunch & dinner,generally around 1000PHP/per person)",Value for money:Comfort & Facilities:Food
"Very Good Choice~!,i can't forget it",Food
"the best,great location with natural beauty. warm accommodation",Location:Comfort & Facilities
"Good luxury resort,Excellent facilities. Every detail is of high quality. An abundance of activities to do for people of all ages. Highly professional and friendly staff. Great food (amazing breakfast buffet). The beach is somewhat small, but still nice and very clean. This is a big resort, so it can be crowded and also noisy at times, which is the opposite of what I seek in a relaxing beach resort vacation. I more prefer quiet tranquility, the ability to hear the sounds the ocean and surrounding nature, and far less crowds. Still, I thoroughly enjoyed my stay.",Comfort & Facilities:Food:Location
"good,good",Food
"Best in Cebu,For me this is the best that you can get when it comes to beach resorts in Cebu. The room, the restaurants, the staff, the pool, the beach are the best!",Staff:Food:Location
