Opinion,Classification
"Exceptional,Everything,Nothing",Comfort & Facilities
"Really nice hotel in great location,Great hotel, good value, and friendly staff,Nothing to dislike",Staff:Location:Value for money
"Great stay, but pricey.,Rooms not spacious",Comfort & Facilities
"Amazing,The location was perfect and I especially loved the pool area!",Comfort & Facilities:Location
"nice,close to malls",Location
"Very good,Great Ambiance,my daughter got rashes from the pool",Comfort & Facilities:Cleanliness
"One of the best hotels ever seen,Everything was great, they have a great gym, facilities, room is comfy, queit,food is good but not the best , next to it there is Shangri La mall.,The location is somehow far to the airport, it was a rush hour and took us like 1.5 hrs",Location:Comfort & Facilities
"very good,the service,the food,the comfort,especially the bed!!!,i love everything",Comfort & Facilities:Staff
"Nice Location and Comfort,The location and the comfort of this hotel",Location:Comfort & Facilities
"Pure Luxury :),The bed was so comfy! Loved the robe & slippers Shower was spacious Decor was amazing, especially the chandeliers,Nothing",Comfort & Facilities
"Love,Love the overall facility and i hope they maintain the cleanliness of the rooms! Very efficient staffs and well-mannered.",Cleanliness:Staff:Comfort & Facilities
"Exceptional,Nice garden and swimmingpool on manila. And it Is close to megamall for shopping return gifts!",Location
"Superb,Excellent receivers. Front desk people are polite and helpful! World class customer service!,Some of the female workers in the grand lobby at the cafe are snobbish. They have to keep smiling to people and asking them if they need anything.",Staff
"Memorable stay,I liked everything! We used to bring the children when they were still kids . They love the pool! Now they still enjoy it even when they're older...30 and 29 yrs old! I would definitely save up to get to stay in this hotel again and again!",Comfort & Facilities:Value for money
"Superb,The people were so friendly and tried hard to assist me,that I was given a replacement room that is smaller and old for the same price of premier king room that is clean and wider",Comfort & Facilities:Value for money:Staff
"Exceptional,Great pool and restaurants. Close to the mall. Felt safe,Aircon in room would not switch off and room was too cold",Comfort & Facilities
"Exceptional,Very fast wifi Great food at buffet and at horizon club Close to malls",Food:Location:Internet
"Could do better,The service and location,Breakfast was served until 10.30 however they started packing up at least half an hour beforehand and didn't replenish the food. Made to feel intrusive and hurry and finish your breakfast. Also ...",Food:Staff
"Quality and comfortable property in...,Classy hotel pleasant staff,More effective staff training. Eg. coffee served without spoons, etc.",Staff:Food
"One of the best hotel...,Great location Professional staff Great breakfast",Food:Location:Staff
"Comfortable rooms ,Comfortable rooms and enjoyed the gym",Comfort & Facilities
"Very good hotel but stay away from the Italian Restaurant ,The Paparazzi restaurant failed to impress us. It's expensive but not recommended, poor food experience.",Food
"Just great,All good",Food
"Central location. Connected to the mall. ,Always my hotek of preference in this are because of accesibility and proximity to major malls.",Location
"service and location,Horizon staff excell with their personalized service many thanks to Camilla.",Staff
"Excellent place,Great place",Comfort & Facilities
"You get what you pay for.,Breakfast at Heat is the best! Don't miss it.",Value for money:Comfort & Facilities
"Edsa Shang stay,Edsa shang, centrally located, staff are accommodating, rooms are ok.",Location:Staff
"Best location,It is located in the center of Makati. Near malls and restaurants. The staff are always courteous and accomodating. The breakfast buffet is one of the best.",Location:Food
"Weekend staycatiob,Celebrated my youngest bday there. room rate did not include breakfast buffet. but service is exceptional. driveway can be widened so as to avoid queueing. location is perfect",Food:Location:Staff
"Lack personal connection,Needs improvement on the customer service, staff dont have the authencity of connecting with their guests, warmth and accomodation is lacking",Staff:Comfort & Facilities
"Good location, nice staff, clean.,Good location, nice staff, clean.",Staff:Location:Cleanliness
"Very good!,Will definitely book this hotel again.",Cleanliness
"excellent stay,food is great and very comfy.",Comfort & Facilities
"Good Hotel,It was a good hotel. The service is trademark Shangrila.",Staff:Food
"a place to stay ,great place for family",Comfort & Facilities
"Excellent,Food is delicious. The staff is very accomodating and courteous. The place is really nice and clean. Will be staying there again next time I go to Manila",Staff:Cleanliness:Food
"nice hotel,great hotel, nice pool for both children and adult",Comfort & Facilities
"Value for money,Location and value for money",Value for money:Location
"Edsa Shangri-La ,Staff were accommodating; room was spacious and comfortable; centrally located to my business meetings",Location:Comfort & Facilities:Staff
"It fell short of our previous experience last April which brought great delight.,the pool and pool staff,We availed of the Horizon Club because we were extremely pleased by our previous experience last April 2017. Recommended to us as check-in, at that time it lived up to the build-up of the front desk clerk who said the food quantity and choices, though not comparable of course to HEAT, would be more than adequate. Sadly, this time it was far from satisfactory. Upon arrival, the tea provided disappointed. So too did the cocktails and sadly, even breakfast. I'm not sure I will do this again . My daughter even commented that perhaps the Hotel was downsizing or trying to skimp.",Food:Value for money:Staff
"Excellent customer service and leisure amenities but room's hygiene needs to be checked,The top 3 things we liked about the hotel are the location, the staff and the leisure amenities (the gym and the pool in particular). We stayed at EDSA Shangri-la only for a night. The hotel is linked to Shangri-la Plaza mall. This allowed us to do our last-minute shopping before our flight the following day and it allowed myself and partner a movie date night too. The second thing we liked is the customer service. The staff were very helpful and friendly. Lastly, the leisure amenities, particularly the gym and the pool, are impressive. They well-staffed and clean. The gym equipment looks properly maintained and have wide variety of options.,We had several issues with the room that we raised with the manager when we checked out. One of the first things we noticed when we entered our room was that the toilet flush was broken. We had to call for someone to fix it. Second was the old hair dryer. The old thing's cord was pieced together by a black electric tape, which looked like it was done by a 5-yr old. Its strongest power is also as strong as those portable, battery operated, small fans. For a 5-star hotel, I'm pretty sure they could afford replacing this hair dryer to a new one. The major issues we encountered were about cleanliness. We didn't notice them at first since we were only in the room for few minutes after checking in. Coming back from the mall at late in the evening, we noticed the first 2 cleanliness issues - the funky smells in the bathroom and bed area. The bathroom smelled like dried urine and drain next to the toilet bowl was filled with dried hair. The bed area smelled like smelly feet. Then, I woke up at 5:30 am with rashes all over my arms. I took an anti-histamine pill and went back to sleep. They were gone when I woke again an hour later but my fiance and my brother-in-law who visited us could see the traces of the rashes at mid-day. Also, when my fiance woke up, he could not stop sneezing until we left the room for breakfast. The entire time we were not in the room, my fiance didn't sneeze at all. The moment we got back to the room, he sneezed non-stop again. The room clearly had hygiene issues. Other small things that I noticed were the absence of room service menu and the room service in the evening was also not that efficient. At around 10:30 pm, we ordered tea and whiskey for room service. They were delivered in our room after almost 45 minutes. That's pretty long for just drinks.",Staff:Comfort & Facilities:Cleanliness
"Good,Sorry, I don’t eat egg.",Food
"Pleasant,All the staff was friendly.. very accommodating 😊,I wasn’t impressed of my room, the glass was dirty I could hardly see the view! Also, my comforter smells really bad that I can’t sleep. I was looking at it; it was yellowish and smells like molds too. room service around 9pm! I ordered buttered chicken and it was taste funny. I called to tell them about it..they said it’s Indian style they didn’t inform me ☹️ It was spicy and I don’t eat spicy food. The Kare-kare was okey!",Cleanliness:Food:Staff
"Pleasant,I did not expect this hotel so old and it's really less than 3 star",Comfort & Facilities:Staff
"not the nirmsl service from this hotel help ,I was given room key when I got to the room opened door room was occupied by a person who was in bed and not happy had to take myself back to reception stand in que explain what they had done I was not a happy man and neither was the people in the room I had walked into no menu in room so had to settle for crisos and nuts not what was exspected for the money paid",Comfort & Facilities:Staff
"Not value for money. Not a 5 star hotel.,The heat restaurant :- waiter and waitress not proper trained.",Value for money:Food
"Good,Accessibility to the malls,Room carpet should thoroughly clean. Smell of old carpet .",Cleanliness:Comfort & Facilities
"Okay.,Breakfast is good,Bedsheet, air",Comfort & Facilities:Food
"Happy and always makes me come back to shangrila overtime I will be in Philippines,Bed is comfy. Service is very good, some staff are very polite and always smiles, parking is good",Staff:Location:Food
"Good,Eggs was little and bathroom floor flooded",Comfort & Facilities:Cleanliness
"Good,Receptionist - Gie",
