Opinion,Classification
"Stayed at the Edsa Shang for business, I was in the garden room wing. Overall the hotel is well done with a respectable staff (attentive however not hovering) and plenty of amenities. Though I didn't use the pool area, I noticed it was done well to shut out all of the surrounding traffic noise and had a nice area for kids. The gym was expansive with plenty equipment and connected to good steam/sauna rooms. Plenty of meal options at the multiple restaurants, a few coworkers never left the premise to eat and were very happy. Also, quick walk to MegaMall or the upscale Shangri-La mall, many options for shopping and eateries. Only downside was the room was out dated, well maintained but could use a remodel.",Location:Comfort & Facilities:Food
"There are now three Shangrilas in Metro Manila. One in Makati, another in BGC (Makati/Taguig Area) and the Edsa Shangrila in Pasig. For a family outing, this hotel is still pretty good for its price. We always get a connecting room which makes it more enjoyable for the kids. The best place is still the garden wing but staying in the tower wing this time was a very enjoyable experience.
The front desk was especially helpful and the concierge and its stay were very attentive.
The pool area was very enjoyable for the kids and I especially felt relaxed as the life gaurds (there were three I could see) were very attentive especially to the kids. There were a few times they had to blow their whistles but it was not obtrusive.
Heat's breakfast set-up was still up to par offering a variety of food. At night, the Summer Palace still served excellent Chinese food and was a bit surprised they still had open tables when we ate there last Saturday.
The grill at the poolside was good but their potato and fries buffet could be better improved. The staff were generally attentive and acceptable but not excellent.
The Japanese restaurant is still there but did not try it this time. So with Paparazzi but had a bad experience there before (never coming back) but surprisingly it was till open, I assumed the extremely back service and back food was more a fluke from before.
Overall it was a great experience and value for your money.",Food:Staff
"Edsa Shangri-La Manila never ceases to out perform itself in terms of facilities. The hotel still looks good despite being 25 years old. It's food and beverage outlets still among the best in the metropolis. My favourite, East Cafe.",Food:Comfort & Facilities
"What can I say - in-room check in for my convenience (what a treat!), the wonderful staff, the gym, the food, the surroundings. Two things that do not subtract from the score: 1. Please don't wait 15 min when brining my morning coffee and 2. Please don't apologize when I lock myself out of my room and you come running within 5 min. It was my own fault!!
Keep it up!",Staff:Food
"You just don't sleep here. there's a lot of things you can do. They have fast internet, and a lot of facilities like fitness center, dry and steam saunas, jacuzzi's, cold plunge bath and outdoor swimming pool, tennis court.

The swimming pool is inside the forest and they call it garden which is cool. I call it forest coz there's a lot of trees rather than a lot of flowering plants. hehe

The staff is accommodating and polite.

You will enjoy your stay here.",Location:Comfort & Facilities
"This is just a review of the banquet hall because we celebrated a friend's 80th birthday here, but did not stay overnight. The place is just what a five star Shangri-La hotel should be. (I like the one in Makati better, though.) It is a big place, but finding your way to the banquet hall is worth the misguided adventure.

The hall was beautiful but slightly functional (i.e. stoic, bland, or generic). The food was good, but it is expensive for what you get. You don't go there just for the food though. The atmosphere is something that just can't be described. To give you an idea, the banquet room had four chandeliers the size of a small house. It is worth doing every chance you can afford to go.",Food:Value for money:Comfort & Facilities
If you have booked before at the Shangri-La in Makiti prepare to be disappointed. When entering the hotel it appears very similiar but this is where the comparisons end. The rooms appear to be significantly smaller and the amenities are just not the same. Getting a gluten free meal after midnight - a real struggle. Each restaurant has a gluten free symbol at the bottom of the menu but no meals tagged???? No bar to speak of other than the lobby and just not the same feel. Makiti for me next time.,Food:Comfort & Facilities
This hotel has a warm efficient welcome with well appointed rooms and a fabulous breakfast where you can choose food from all over the globe. It has a great pool with a kids area. Just lacks a Jacuzzi.,Food:Location:Comfort & Facilities
"I stayed here about a year ago, and rated it 5 stars at the time. This visit, I see no reason not to rate EDSA Shang again 5 stars. From the Mercedes 550SL that picked me up at the airport, to the check in process where hotel staff met me curbside from the SL550 and walked me directly to my hotel room, to the again fabulous lobby and entertainment, the clean and well appointed room, the excellent attitude extolled from all staff who bend backwards to be nice, this is one great hotel. The health facility renovation has been completed, and it is a first class. Fun classes for all types, gorgeous locker rooms and showers, clean machines, and staff the make you feel like royalty.

I did not partake in the buffet breakfast in Heat this time around, and opted for coffee and pastries from the hotel lobby shop. The staff there are really pleasant, pastry selection good, and coffee decent.

Not a complaint, however, what happened to the reception ladies attire? They used to be so elegantly dressed. Now it is a drab business style.

Some gripes:
1] The wifi is terrible. My research into this found that only two hotels in MetroManila have reliable wifi, and both those hotels are in Makati. Thankfully, the wired room connection is pretty darn good, and was able to do my work and actively participate in online mtngs.
2] My visit coincided with Valentine’s Day. The hotel had a large event that took over the lobby area. I wasn’t able to use the lobby area that night. There were no alternatives other than my room. I wish the hotel had given notice to the guests that their lobby area was reserved for an event. Unsure why the event wasn’t located in a ballroom.
3] Like last time, it is nearly impossible to get a taxi at the front entrance. I’m told by the locals this is deliberate, to perhaps have you use the hotel’s rental car service which can cost quite a bit. You must walk to the rear entrance where taxis are relatively easy to flag down. I wish the front door staff would simply suggest to try the rear entrance.

Still, EDSA Shang deserves to be rated Excellent. This is a fabulous hotel.",Comfort & Facilities:Staff:Food
"this was my first ever visit to Manila and after the traffic which is quite astonishingly slow to arrive at the Shangri la is to arrive at an oasis! The staff are some of the most friendly and helpful I have ever known, (but the Philippines is packed with friendly people so I suppose that was to be expected..) it was great anyway!!
Our room in the garden wing was at the early stages of 'tired' but not in any way tatty or scruffy, everything worked and the bed was comfortable.
The range of choice at breakfast was quite astonishing! I have never had so much choice and seen so many quality things offered. it is without question the widest choice I have ever seen!
We had a great time and will be back soon in Manila. it is certain we will stay in a Shangri-la but probably the new one in Fort Bonifacio which we understand will be even better",Staff:Food:Location
