Opinion,Classification
"Thumbs up will see us again,The staff are very friendly and helpful, location is great and the hotel is extremely clean. Thumbs up.,The breakfast was good but most items were cold and not hot enough.",Staff:Food:Location
"Decent stay, great food, great gym. But, the age of the property comes through at places.,Location is great. Restaurant has great buffet. Good Indian Vegetarian food on menu. A huge plus. Huge size of the room Brilliant gym.,Room carpets could've been cleaned throughly. Mine was a bit sticky at places. Since it's old, there's NO plug point next to the bed. In modern day mobile communication, if its a Pain. Almost missed a huge meeting cause phone not charged and not next to bed.",Comfort & Facilities:Food:Location
"Excellent stay great location courteous staff 👍🏻,Staff is good food is excellent rooms gym and swimming pool,No fresh juices in breakfast or lounge",Location:Food:Staff
"OVERALL 0 SATISFACTORY,The bed extra comfort Staff very friendly Breadfast very tasty and a lot of choose,Hotel pick up too expensive.",Staff:Comfort & Facilities:Food
"Exceptional,felt the warm welcome😊",Comfort & Facilities
"Excellent experience for my son. He had an awesome stay and enjoyed every minute of it.,A surprise birthday cake for my son although his birthday was a day before. To me, that’s an exceptional gesture by the staff that is not common to every hotel. Their gesture made Makati Shangri-La distinct I general. Thank you for that. It’s greatly appreciated!,I think the payment system link online needs to be updated to make the transaction response or a reset option process faster.",Staff
"It was undeniably luxurious a great place to finish our Philippine Holiday,I arranged a wakeup call and was asked if I would like coffee as well. It arrived on time 2 lattes and croissants awesome way to start the day.,We had to leave. But all good things must come to an end.",Food:Staff
"Exceptional,Hospitality of the staff member especially at horizon club.,Can’t think of any.",Staff:Value for money
"Very good,Great location,The carpet need cleaning / vacuuming",Cleanliness:Comfort & Facilities
"Very good,helpful , friendly and polite Receptionists",Staff
"Exceptional,Quality of rooms and the location is perfect.",Location:Comfort & Facilities
"Exceptional,Spa /gym/,Bar and restaurant",Food
"Exceptional,everything was great",
"Superb,it is very nice in general and the location is great,check in took very long time",Location:Staff
"Relax!,All except below.,My only concern was the hairdryer that is dirty, it looks like it was never cleaned. No tissue box on the desk. We still need to get the tissue from the toilet.",Cleanliness:Comfort & Facilities
"Perfect hotel,Perfect in service,Pillows",Staff
"Reliable pleasurable stay.,Turn down service with fresh fruits was serendipitous.",Food:Staff
"Great stay,Breakfast gteat,None",Food
"Fabulous,Good service. Nice room. Helpful staff.,1) The breakfast at the room was to poor. we left the hotel hungry. Moreover I paid for the breakfast, but the hotel gave me to sign paper to pay for that double. 2) Great check in and poor check out. Hotel don’t think to help with luggage during check out. In my opinion, try to check in high level, but don’t make a conclusion of the stay on the same level.",Staff:Food:Value for money
"Exceptional,The staff was so helpful, and they were trying to make our stay comfortable as much as they can.",Staff:Comfort & Facilities
"Amazing,Wonderful experience! Location for shopping Restaurants! Staff were amazing",Location:Staff:Food
"Exceptional,luxury big room comfortable bed clean stuff are professional well facilitated breakfast,no",Comfort & Facilities:Cleanliness
"Fabulous,The staff are very friendly especially Jason and Mariel.,The one who check the luggage. He doesn’t know how to look the luggage in X-Ray machine. This the first time I’ve ever met dumb security guard.",Staff
"Awesome!,Complimentary breakfast,None",Food
"Exceptional,The staff are very helpful especially Mariel and Jason.,Peaceful and Quiet.",Staff
"Good,Spacious room , delicious food,The bath tub is not well cleaned. There are families of sand...",Cleanliness:Comfort & Facilities
"Overall my stay is good. If not I will not come back on sept 7 and Sept 14,The location of the hotel, cleanliness and some of the staff are friendly,The buffet breakfast is good, but i am disappointed with some of the staff. They are still practicing double standard in serving customers. If they see foreigners with american/european background, they are all smiles and serve them quickly compared to a foreigner with filipino background. They dont realise if they serve us well, they will get more tips from us coz we know life in the Philippines. They dont realise Australians dont give tips, ‘though I am Filipino/Australian. You should train and teach them well to avoid this thing happening.",Staff:Food
"Misleading Room Rates ,The Gym was huge and i did enjoyed my worked out there. I thanked the male staff in the front desk who upgraded one of our room so that my family and i will be on the same floor level.,The rate from booking.com was completely different from what was charge to my account. No one even helped me to settle this issue. Shang staff and booking.com did not offer solution or alternative to compensate the inconvenience it caused me.",Staff:Value for money
"It compares to a 3 star hotel, I expected a lot better for the money spent.,Room with two beds,clean sheets every day, three towels for three adults, service at the restaurant, ability to obtain airline tickets,",Value for money
"Passable,Location was good in business district..,The hotel was old and has got a smoker room smell..",Cleanliness:Comfort & Facilities
"Passable,location,poor service especially at the circle",Staff
"Good,Very good buffet breakfast",Food
"it is tolerable,Location is in business area,breakfast is not really good for a 5 start hotel. utensils, coffee jar etc not new and atmosphere is not friendly",Food:Value for money:Comfort & Facilities
"Excellent,Location is very accessible to malls and some public transportation.,No shattaf in the toilet :)",Location:Cleanliness
"Almost perfect except breakfastbuffé,Mostly everything and very friendly staff,Breakfastbuffé, it was away to long wait and to crowded",Staff:Comfort & Facilities:Location
"Excellent stay & will be back in the future.,Tha staff are very helpfull and location wise is very handy...worth what you pay.,Actually i can’t say anything bad at all.",Staff:Location
"Very good,Lobby,None",Comfort & Facilities:Food
"Exceptional,Location was very convenient. Staff were very friendly and attentive to your needs. The room was a good size with comfortable beds. The breakfast buffet was excellent with so many choices.,None",Staff:Comfort & Facilities:Food
"My family enjoyed our stay!,The rooms are clean and comfortable. Staff are accomodating and very polite.,There is no bidet in the toilet. Hair blower was not functioning. Airconditioning system was not that cold during the stay.",Comfort & Facilities:Cleanliness
"Exceptional,A fantastic grand hotel in the excellent area of makati. 2 min walk to green belt - a great mall with outdoor cafes and restaurants set in tranquil garden settings. You can’t believe you’re in Manila !",Location:Comfort & Facilities:Food
"I like to stay here because of the staffs and the hotel are great too.,The staffs all are very helpful, the room are very clean and comfortable.,Nothing",Staff:Cleanliness:Comfort & Facilities
"Great staff .,Friendly and helpful staff .,Some rooms had damp smell .",Staff:Cleanliness
"5 star treatment,Onsite restaurant and bar.,USD amount for exchanging needs to be raised. $200 is not sufficient.",Value for money
"Exceptional,Excellent service and all staffs are so nice and smiles everywhere in the hotel",Staff
"Fabulous,Hotel Staffs are very helpful, accommodating and cheerful.,The closet smells damp as if it was used to hang wet clothes there.",Comfort & Facilities:Cleanliness:Staff
"Exceptional,Everything,Nothig everything was great.",
"Superb,Staff were excellent. Airport pick up service is well worth it.",Staff:Location
"Comfortable & good location.,No, egg was not fluffy. Bed are comfortable.,Nothing",Comfort & Facilities:Food
"In my opinion, one of the nicest hotels I've stayed in.,Shangri-La is a true 5-star hotel. The hotel is beautiful, with clean, roomy and luxurious rooms. In addition, the staff is extremely helpful, with great concierge service. The breakfast buffet is the best in the city, with amazing selection of foods. The pool and gym are fantastic facilities.,Nothing.",Food:Comfort & Facilities:Staff
"Exceptional,Fossit water should be installed near toilets,Fossit water not near toilets",Comfort & Facilities
"Very good,The lobby and the breakfast,To expensive for an old hotel",Value for money:Comfort & Facilities
"All that I would expect from a top rated hotel anywhere in the world.,Attention to detail both in the rooms and in the service. Excellent and easy wi-fi access and a very amenable and competent staff. I didn't use the restaurants at the hotel but the gym was clean and modern and the swimming pool a joy for the centre of Manila.,Access to and from the airport could have been better but I think some of my issues were my own fault when booking. A dedicated bus or mini -bus service would improve the access to and from the hotel enormously.",Staff:Internet:Comfort & Facilities
"Weekend stay at Makati Shangri-la,The staff was helpful, efficient and cordial. The room was clean and comfortable.,The breakfast buffet had one drawback- was served coffee in a demitasse cup and the coffee was neither espresso nor hot. That put a damper at the beginning of a meal, more so when regualar-sized coffee cups were noted in the surrounding tables. I cannot imagine that such a large hotel chain could run out of regular-sized cups during breakfast vut it looks that way.",Food:Comfort & Facilities
"Lovely stay, Staff were very friendly and accomodating. Facilities were good, you get what you pay4,Staff were very accomodating, in particular Housekeeping who twice a day would ask us if there was anything they could do/get for us.,Despite staying on week days, the club lounge was often over full and refusing guests due to limited seating capacity.",Staff:Comfort & Facilities:Food
"The location is amazing. Everything was within walking distance. Staffs were friendly.,The staffs were very helpful and friendly,Pillows. I would like to have choices of pillow, the original pillow were too soft for me, they provided a synthetic pillow upon request but no other choice",Staff:Comfort & Facilities
"Superb,The staff were lovely!,The room felt outdated",Staff:Comfort & Facilities
"Exceptional,The room and its facilities are excellent",Comfort & Facilities
"If we returned to Manila we would stay again.,The hotel has a really impressive entrance. The staff at reception were great and upgraded us for £50 per night for a bigger room. This included their monumental breakfast and access to the Horizon club on the 24 floor. This meant you could go for drinks and food between 5pm and 7pm free of charge. We explained that it was our anniversary and they sent fruit, wine and a cake to our room. The toiletries were L'Occitane in the bathroom. Amazing pool and very attentive staff.,Nothing bad to say about the hotel at all.",Food:Value for money:Staff
"Exceptional,Fantastic hotel in the city, and luxury service. Super friendly staff and always very clean",Staff:Cleanliness
"it was awesome,cosy and cleanliness",Cleanliness
"Better booked together with flights to save on room rate.,The hotel facilities, staff and accommodation in general are excellent.,We are told that the price we paid for when booked together with our flights thru Expedia as per friends who booked their flights together with the hotel accommodation and saved them about 50% on room rate!",Value for money:Staff
"Exceptional,No smoking in the room",Comfort & Facilities:Cleanliness
"Exceptional,Excellent check-in. I didn't eat in any of the restaurants but as I strolled by they looked very good indeed.",Food:Staff
"Exceptional,Location",Location:Comfort & Facilities
"Great stay! Great location! Staff is awesome!,Great location. Clean and good facilities.",Location:Staff:Cleanliness
"Safe, comfortable, freindly with outstanding service.,This is an outstanding hotel, I have stayed at many of the Shangrila hotels, plus others like the Mandarin in Hong Kong, its right up there with the best. Friendly staff that cannot do enough for you.,Absolutely nothing",Staff:Location
"Exceptional,Staff v helpful. Breakfast was amazing!,Shower was a little old looking.",Food:Staff:Comfort & Facilities
"Fantastic hotel!,We had a fantastic stay!",Staff
"Fantastic stay!,We had a fantastic time! Service was great and even the food😉💕",Staff:Food
"Exceptional,They gave us cake & wine in the room as it was our honeymoon :),We went for a quite dinner in the steak restaurant but could hear music from 3 other places all clashing rather loudly. Otherwise everything was lovely",Food:Comfort & Facilities
"Exceptional,The service was exemplary. The hotel is beautiful and clear. A special thanks to the FOM Tata, who went out of her way to make our stay comfortable.",Staff:Comfort & Facilities
"Exceptional,Great breakfast",Food
"Exceptional,The staff was excellent. The duty manager was very helpful and courteous. Food was excellent with large potions.",Staff:Food
"Superb,They are so considerable at all time..",
"Exceptional,Everything",Comfort & Facilities
"Exceptional,Services for guest are amazing",Staff
"Okay,Comfortable bed,Help stop when u check out",Comfort & Facilities
"Nice clean hotel with high end amenities and good service. We enjoyed our stay very much.,Room service food was delicious and lots of great choices on the menu,I wish the hotel would replenish the mini bar each day. They never replenished any items during our 5 day stay. I also wish the hotel had a convenience store on the property. They have nice gift shops but no general sundries store, at least not that I could easily find.",Food:Staff:Location
"Exceptional,Everything,Nothing",Comfort & Facilities
"Nice,The Bar,Waiting for Taxi at the front door could take quite a while",Location
"Exceptional,Accessible,Amenities",Comfort & Facilities
"Exceptional,Very great experience. Sure will be back again!!",
"always maintains a high standard,The executive club is probably the best of any hotel i have ever visited.",
"we had a great time.it feels like where out of town.i had a good sleep! its important thank you!,the comfy ambiance of the room,the food was a little expensive",Food:Comfort & Facilities:Value for money
"Amazing but expensive,The bathroom, the bed and the room itslelf,The prices of the food",Value for money:Comfort & Facilities
"Exceptional,the breakfast was amazing , and the service was great , from the driver picked us in the airport to the in room check in process .",Staff:Food
"My stay was enjoyable and loved the relaxing ambience. I would definitely coming back and stay again,Everything, except the food.,I was expecting more Pinoy dishes such as daing na bangus, tortang talong and ampalaya with eggs. I stayed at Shiangrila Mandaluyong Hotel and Resort few years ago, those mentioned food were being served at the buffet restaurant.",Food
"It was a wonderful expirence being my first time in the Philippines,Every employee was nice and so helpful even with my son",Staff
"Excellent,Excellent,Nothing",Location:Comfort & Facilities
"Mehhh,Waited 1 hour for my luggage, i know the staff can do better,Some staff arent professional",Staff
"Okay,Location,Needs an upgrade , its old now",Value for money
"Passable,It felt more like a downgraded 3 Star hotel. The blanket that was stored in the closet smelled like it hadn’t been washed. We had to ask for a replacement. Even the way the bed was prepared was not like a hotel. They just threw a comforter over the bed. No bed sheet to go with comforter. The hallway leading to the Room smelled like stale cigarettes. Like the smell of a musty room that has not been aired. The porter admitted it used to be a smoking floor several years ago and the odor must have stayed. I didn’t enjoy my stay. Disappointing for a supposed highly rated hotel.",Cleanliness:Comfort & Facilities
"It’s just right , but how come they asked me to upgrade my room fr my original price but it’s the sa,The lobby,Room too small for superior",Value for money
"Good,The hotel is very clean and staff was great!,They offered me an upgrade for a suite and use the Horizon Lounge. The Lounge is a total waste of money. They only have drinks and a few deserts on certain times. They are nowhere compared to M Lounge of Marriotts. Dont waste your money on upgrades. They need to close their Horizon Lounge and stop using it as a selling point as well. No food!",Value for money:Comfort & Facilities
"Good,The spacious room and it has a big bathroom. The TV speaker that extends in the bathroom is a huge plus! The staff are very friendly and approachable. The room had a great view! I liked that the Hotel is near the Supermalls.,We were given the wrong room; We asked for a twin room but we were given a 1 bedroom although we addressed it to the front desk, it felt like we were given a down grade. The room we transferred to smelled like molds, the mini cooler was locked and the room we were transferred to didn't have a bidet.",Comfort & Facilities:Cleanliness:Staff
"Okay,Amount charged at check-in (said to be merely a 'guarantee') wasn't adjusted to reflect what is shown in the final invoice. None was consumed from the minibar yet nearly PHP4K was not refunded.",Value for money
"Pleasant,Love the spacious room,1.It took more than a day to address our concern re missing cake and bottle of wine. 2.The maintenance took a while to get back to us re inquiry on cable connection 3.The channels on TV is quite disappointing 4.The speakers were for IPhone4. Who uses Iphone 4 now?",Comfort & Facilities:Staff:Internet
"I enjoy my stay at shangrila because it is accessible.,The amenities was perfect, and the bed was comfy,staff is very accommodating...,On our second day the bathroom were not clean anymore..",Comfort & Facilities:Cleanliness
"Good,pool / outdoor areas,working girls",Comfort & Facilities
"Good,The food never fails us!,The buffet breakfast! 🥐☕️💕",Food
"Good,The bed is soft and very comfortable and toilet is big enough. Good spread of breakfast.,The room size not as big then expected. Service staff at the breakfast café is not too attentive.",Comfort & Facilities:Food:Staff
"Good,Location is great!,Already a dated hotel and management dont seem to be bothered by it. Buffet quality has been going downhill year by year",Value for money
"Good,Staff,Circles restaurant foods are not what it used to be. The quality has gone down. Few choices, have you change your chef?",Food:Staff
"I can’t wait to go back. I came there to relax. The hotel didn’t fail me.,I loved how courteous and attentive the staff are. We were able to enjoy the facilities as well.,Nothing!",Staff:Comfort & Facilities:Food
"Poor customers relation,They dont know how to treat guest as 5star hotel",Staff:Value for money
"Pleasant,The hotel is a little run down and certainly do with some TLC. I am a regular visitor there and it is always reasonably good without being stellar. Fantastic location though.",Location:Comfort & Facilities
"The worst stay I ever had a such a prestigious hotel chain,A beautiful hotel top of the class food and ambiance,Hotel book two proms back to back on Saturday & Sunday nights. Young girls were running screaming and singing up and down the halls from 7PM to 4AM the next morning. They were constantly playing on the elevators making getting to your room nearly impossible",Comfort & Facilities
"All in all it was a great stay!,Great location,Breakfast took too long😞",Location:Value for money
"Exceptional,Every things",Comfort & Facilities
"Another taste of Makati luxury,Filipino luxury is always good. Great service, high standard of fittings. Good choices inside. You almost never need to leave during your stay,Nothing to dislike, although some of the features could do with updating Overall, well kept. I watched it being built so it's good to see how it turned out. Very similar to other luxury hotels in the area.",Location
"overall it was a great experience to stay with my family and definitely we will come back,the staffs are very accommodating and nice. the facilities are great and clean,there is no hair blower in the drawer",Staff:Cleanliness:Comfort & Facilities
"The stay is truly great!,Overall, service in Shangrila Makati was excellent. Food was great, amenities are perfect. Staff are well trained.,There was one day I requested that the room be cleaned. A young guy was assigned to clean the room and he kept on asking me if it was already ok when he only did half of the room. He left my room half finished.",Staff:Cleanliness:Food
"Ok,Staff,The food have change at the circles restaurant, it’s not good as it used to be",Food:Staff:Location
"Would stay again,Very clean well-appointed rooms, great staff.,N/A",Cleanliness:Comfort & Facilities
"Exceptional,Spacious",Comfort & Facilities
"Exceptional,Best breakfast ever,Staff not responsible to emails concerning airport pick up. Arrangementen pick up myself",Staff:Food
"Perfect,Professional staff",Staff
"Superb,Cleanliness",Cleanliness:Location
"Exceptional,All include staff,P",Staff:Value for money
"Exceptional,The food in the lounge",Food
"Always satisfied,Always a pleasure to stay here check in is fast the rooms are clean and comfortable The Sage bar is amazing and it always suprises me that it is empty when there is such great live music every night,Some of the bathrooms in the public areas have a bad smell",Comfort & Facilities:Cleanliness
"Luxurious,Great service, incredibly ornate huge lobby, great breakfast buffet, lots of services, 3 layers of security,Room decor is a little dated",Food
"Superb,Nice room, huge breakfast buffet and nice lounge.,The kids were not allowed in the jacuzzi.",Food:Comfort & Facilities
"Exceptional,People very friendly and helpful,Listing every little tax on bill for each item instead of the total cost of each item. Customer doesn’t care about tax; he just wants to know the total cost.",Value for money:Staff
"Exceptional,Great as always",Comfort & Facilities
"Excellent,Everything was excellent. The breakfast, the facilities, the fitness centre, the swimming pool, the staff and the comfortable bed.,Nothing",Comfort & Facilities:Food:Staff
"Very good,The location,Nothing",Location
"The professionalism and politeness is out of this world,Everything was perfect, anytime we've stayed there it was perfect,Nothing",Staff
"Enjoyed it,Excellent facility and staff,Everything. Starve to serve",Staff:Food
"Exceptional,Bed was big and very comfy!,No bidet in the bathroom",Comfort & Facilities:Cleanliness
"Excellent ,Location,Price is a bit higher",Value for money:Location
"Best hotel i will go back for sure,Great hotel great services Best food I have in the Philippines,Nothing",Food
"Exceptional,Beds are comfy. We tried the cafe in the lobby, very,Nothing. I love the cafe in the lobby <3",Comfort & Facilities:Food
"Amazing, relaxing, very confortable,The breakfast amenities and proximity from malls and church,None",Location:Food:Comfort & Facilities
"perfect,everything,none",
"Excellent as always, perfect location to experience Makati.,The location is excellent and within walking distant of all local amenities.,The elevators did not appear to be programmed correctly, this resulted in a lot of time waiting to move around the various floors.",Location:Comfort & Facilities
"Exceptional,The Shangri La is my home in Manila, excellent service and helpful staff,Nescafé coffe. Nespresso would be great !!",Staff:Location
"Almost perfect..!!!!,The staff really super.. very.. accommodated.. esp when I reported having tummy ache in minutes the nurses, customer service, almost everyone are excellent, organise, clean and most of all their attitude and always have simple smile... more power to you guys and God Bless all..❤️,NOTES, MESSAGES or REMINDER.. regarding traffic or surroundings",Staff:Cleanliness:Comfort & Facilities
"N/C,Aminities,Security on the second floor where the Art's displayed, Security asked me , why I'm taking pictures on the property? I'm only taking the view from the second floor. I don't like the way he approached me. This is a bad experience and bad impression in the Hotel. The security personnel should respect the guest in the hotel, no matter what???",Staff
"excellent,free room upgrade:)",Comfort & Facilities:Staff
"Excellent all round service food beverages,Excellent food and very tastefully decoration and furnishings in the room,Bed slightly hard and pillows could have been softer but overall very pleased with room in club Horizon",Food:Comfort & Facilities
"Just great,Everything,Nothing",
"Good Experience at Makati,My Shanghai-la experience was first class. I have used the hotel chain in other cities, but this was the first time in Philippines. Considering other services in that city can be very dubious, the Shanghai-la team, were faultless.,Nothing untoward on this trip.",Staff
"Living the life,Previously, when I have answered the question about staff - I have generally been able to give a top score. After staying at this hotel - that is going to be so much more difficult. The staff here are exceptional. So friendly and welcoming. They made my stay a real pleasure and organised things so that I would be as comfortable as possible. Really, full marks.,There was nothing I didn't like. The hotel is excellent.",Staff:Food:Comfort & Facilities
