Opinion,Classification
"Very good hotel but stay away from the Italian Restaurant ,The Paparazzi restaurant failed to impress us. It's expensive but not recommended, poor food experience.",Food
"Just great,All good",Food
"Central location. Connected to the mall. ,Always my hotek of preference in this are because of accesibility and proximity to major malls.",Location
"service and location,Horizon staff excell with their personalized service many thanks to Camilla.",Staff
"Excellent place,Great place",Comfort & Facilities
"You get what you pay for.,Breakfast at Heat is the best! Don't miss it.",Value for money:Comfort & Facilities
"Edsa Shang stay,Edsa shang, centrally located, staff are accommodating, rooms are ok.",Location:Staff
"Best location,It is located in the center of Makati. Near malls and restaurants. The staff are always courteous and accomodating. The breakfast buffet is one of the best.",Location:Food
"Weekend staycatiob,Celebrated my youngest bday there. room rate did not include breakfast buffet. but service is exceptional. driveway can be widened so as to avoid queueing. location is perfect",Food:Location:Staff
"Lack personal connection,Needs improvement on the customer service, staff dont have the authencity of connecting with their guests, warmth and accomodation is lacking",Staff:Comfort & Facilities
"Good location, nice staff, clean.,Good location, nice staff, clean.",Staff:Location:Cleanliness
"Very good!,Will definitely book this hotel again.",Cleanliness
"excellent stay,food is great and very comfy.",Comfort & Facilities
"Good Hotel,It was a good hotel. The service is trademark Shangrila.",Staff:Food
"a place to stay ,great place for family",Comfort & Facilities
"Excellent,Food is delicious. The staff is very accomodating and courteous. The place is really nice and clean. Will be staying there again next time I go to Manila",Staff:Cleanliness:Food
"nice hotel,great hotel, nice pool for both children and adult",Comfort & Facilities
"Value for money,Location and value for money",Value for money:Location
"Edsa Shangri-La ,Staff were accommodating; room was spacious and comfortable; centrally located to my business meetings",Location:Comfort & Facilities:Staff
"Stay at the Edsa Shangri-La,staff were friendly; location is centrally located",Location:Staff
"Great Hotel,Enjoyed my stay",
"Very good location,good location",Location
"you get what you pay for,great location, connected to shangrila plaza, short walk to mega mall. excellent service and food, clean and comfortable",Location:Cleanliness
"Great Stay,Great Staycation",Location
"Excellent,I am pleased with the hotel facilities and service",Staff:Comfort & Facilities
"z,z",Comfort & Facilities
"Great hotel,Great location,Great pool area, best for kids. Room service took long but food was good.",Food:Staff:Location
"The extra bed is a disgust,Pool, breakfast buffet , ambiance,I was disappointed with the extra bes that i paid for. It was just an attachmenr to the sofa",Food:Comfort & Facilities
"superb,edsa shang rila always provides you with superb hospitality. in my opinion is the best hotel in manila",Location
"The room was fantastic,The room beyond my expectation. Very roomy and classy. I would book here again.",Comfort & Facilities
"Best pool for kids in Manila,This is the best pool for kids in Manila plus it bonus for adult because of its 5 star in every way there is mall right across street with so many restaurants and shops the staff are amazing",Location:Staff
"Location service food,Location service food facilities excellent",Location:Staff:Food
"Review ,Rooms, service and food,Great",Staff:Food
