Opinion,Classification
"We stayed here for our honeymoon after reading so many positive reviews, and it definitely did not disappoint. The whole experience was absolutely amazing. The room was lovely, the food was delicious, the staff were all so lovely and the grounds of the resort were just beautiful. We spent every day either at the pool, beach or spa and had the most relaxing time. We also noticed how well they catered for families and we would recommend this place for couples and families alike. We will definitely be going back.",Food:Comfort & Facilities:Location
"I've stayed here thrice and every stay was really a great experience. Whenever I book during peak season, like Christmas Season, if I'm on waitlist, front desk would always find their way to accomodate and allot a room for me. All the hotel staff are very warm and friendly, you'll actually feel the Cebuano hospitality when you stay in this resort... Food on all their restaurants are great and worth the price. Love their wide and diverse selection of food especially breakfast. It has a wide, white sand beach with ample day beds. They also have watersports like kayaking and jetski. It has 3 swimming pools, gym, spa and activity center. Rooms are very spacious, comparable to 5-star hotels. An overnight stay is not enough to enjoy all its amenities. Not other resort in Mactan can compare to Sahngrila. World-class indeed!",Food:Comfort & Facilities:Value for money
"just read the other reviews, nothing more to add, just go there experience and enjoy. It will be an annual pilgrimage from here on. Special mention to ambassador Guia and Ruel at fitness gym and of course to all the staff - keep the 5 stars shinning !",Staff:Food
"I enjoyed my weekend stay. All areas of the resort were amazing. The staff and employees were very friendly and accommodating. They were always ready to grant your requests and needs. The swimming pools were always clean. There were many activities you can do inside the resort. Everything could be done inside. The prices of the foods were a bit pricey though. Overall, it was a great experience. It was nice to stay again in this hotel.",Staff:Food
"Was here for a conference, 6 days in total and have to say was a great stay. The facilities, particularly the pools and beach are excellent while the staff were simply so friendly and helpful. Food was good too, with a wide choice of restaurants. While didn't have the family here, I am sure that they would have had a great time. Plenty for kids to do, with good water slides and childrens pool.

Room, particularly the bathroom was a little outdated. The Ocean wing or club wing is very good and by staying there you can have breakfast at the ""more exclusive"" Aqua rathetr than the main buffet breakfast which was very crowded

First trip to Philippines and the Shangri-La, but will come back with the family next time.",Food:Location:Staff
"My boyfriend and I stayed here last December. Overall, it was a lovely stay but this place isn't really for couples who want a quiet getaway from the city. This resort is more for families.

PROS
- Clean and spacious rooms
- Wide selection in the breakfast buffet
- Cowry Cove is a beautiful area if you'd like to chill and have a few drinks in the evening
- Wide beach compared to other resorts in Mactan
- Lots of sunbathing areas
- The resort is huge so there are various activities and areas to explore

CONS
- We were able to check in an hour and a half after 2pm. We requested for late checkout and initially, they didn't want to give this to us. But eventually they allowed to checkout at 2pm when justified that we waited for quite some time to get to our room.",Food:Location:Comfort & Facilities
"Me & my friend have been wishing for the last 10 years to stay here but just couldn't afford yet. Good thing we have availed of a promo rate and we got our mother to avail an additional senior citizen discount!!!! The hotel staff are so friendly and accommodating from the time I booked for our stay up to the day we arrive and left. Even the shuttle driver who brought us to and from the malls/resort. The place is just superbly beautiful, especially the landscaped gardens.

It was valentines season, and there were just too many guests. Business is really going great for Shangri-la!! Breakfast buffet is endless! munch-munch-munch...

Hope to stay next time in the Ocean Panoramic View. :-)",Staff:Food:Value for money
"I spent 2013 Christmas holidays there as I heard bad rumor of typhoon HAYAN had affected and they had been suffering from decreasing the number of visitors. Our decision was right and we could enjoy the beautiful beach without bunch of visitors:)
On breakfast, you can enjoy many kinds of beautiful food from many countries.
Although we had a breakfast at the same restaurant 5 days in a row, we were never bored.

In addition, I want to mark Chi, Spa!
We took a full body massage course for couples for 4 hours. They led us to one villa which was completely only for us. The villa has a garden which is not big nor small. We soaked into the coconuts bath located in the garden which was no doubt heaven.

One downsides I could find was the cost of day-trip they provided was crazily high which was almost double. so you should make a day-trip booking outside of the Hotel.

But I am very sure that I will go back to the Hotel some day in the near future.",Food:Value for money:Location
"My wife and I just spent 4 days (20th Feb to 24th Feb 2014) at this fabulous resort, again we had a panorama suite with outstanding views on the seventh floor. This was our third visit and it seems to get better each time we visit. This was a celebration holiday as it was my wife's birthday, they gave her a small cake, some roses and balloons. We ate lunch and dinner at Tea of Spring, the Peking Duck was fabulous as was the yum cha lunch. We were
invited to The General Manager's Cocktail evening on our second night, here we met most of his management team and they are a wonderful group of people. We struck it up nicely with the Resident Manager Alex. We had dinner together with his charming wife, this was certainly an amazing evening. The next day we just took it easy with lunch and dinner at Acqua. A special mention must be given here to Chef Franco as he tailored our meals more to our liking. We had dinner again the last night with Alex at Acqua, and Alex being Italian as is Franco, naturally the food was superb. We enjoyed the Ocean Club lounge and here we were well looked after by either Gigi (Director of Rooms) or Veronica (Ocean Club Manager). Veronica is very sweet and looks after us beautifully again. I have to say that all the people at Shangri La Mactan are fabulous. BUT my special mention on this visit because of her service and dedication and wonderful service to us is Jennifer. Most certainly we will visit here again.",Staff:Food
The location and amenities are very good. It is very quiet and away from the hustle and bustle of the city and engine noise of cars and motorcycles. The staffs are very friendly and accommodating. They anticipates our needs as they become with our likes and dislikes on the second day of our stays.,Staff:Location:Comfort & Facilities
