Opinion,Classification
"We stayed for a week and could not fault it at all, our room was perfect with an amazing sea view, it was clean and well presented. The daybeds on the terrace don't move but in the end that worked out just fine. The staff from start to finish were polite, helpful and attentive. The restaurants was fantastic. We could not have asked for a nicer stay and were sad to be leaving. Would highly recommend this hotel.",Staff:Location
"This resort is beautiful. The rooms are fabulous. The grounds are beautiful. The sea is crystal clear. The beach is clean and lovely. The pick up from the airport and speedboat transfer is well organised. The staff are warm and friendly. The food is delicious. It really has everything. So the comments I make following are small ones. We certainly hope to visit this resort again. And it’s definitely worth making the rather long trip navigating domestic and international terminals in Manila.

The breakfast is so busy. It’s noisy and huge. At all other times you would wonder where all these people are because the resort has so much space that you never feel it’s too busy at any other time. I really think there is an easy solution to this. There are lots of restaurants in this hotel and it would be nice to see a limited breakfast selection in a ‘no children’ breakfast setting in one of these other restaurants. Failing that, when we visit again we would probably book without breakfast and have in-room dining.

It would be nice if the hotel put a locally made beach bag in the room for use by guests while they are at the resort.

The check out time at the hotel is midday. We needed a very short extension on this to 1:30. Ultimately this was granted but it required several unpleasant phone calls for it to happen. It was such a short extension that it felt very petty and I personally feel it was entirely unnecessary.

As I said before, these are little things and more suggestions than issues and we very much look forward to visiting again.",Food:Comfort & Facilities
i never fail to visit Shangrila Boracay eveytime Im having my vacation in Boracay. I always ate at their restaurant. Although a bit pricey but its worth it. The food is excellence the ambiance and the view of the resort is picture perfect plus the free shuttle they offered to and from the D' Mall.,Location:Food
"This is really a 4.5 star review. Had a chance to spend a few days there just a few weeks after Boracay reopened. The property is stunning. The villas are as good as you will find at any resort, the regular rooms have great views and quick beach and amenity access. Lobby and restaurants have great views as well. Service from getting you at the airport, the high speed boat taxi, to the greetings at the arrival doc or the lobby are top notch. I stayed in a villa and I could not have asked for more.

Almost all rooms will require some buggy transport due to the hilly layout. At times you may have to wait 5 minutes to get from you room by buggy but never when leaving the lobby. In general it works well; you can easily walk if you like, but it does get a bit warm.

Ate in some of the restaurants and the buffet master. The Italian One is stunning and has a good menu and the food was very good. The rest was just resort average and the poolside was slightly below that.

The resort has service staff that are on the better side of average for Shang properties. Even providing a cell phone for villa guests to have direct access to staff.

Now 2 important things you should know if you go before June 2109. First the island outside of the Shang is not ready after it was being renovated. The roads and infrastructure are well behind and make travel to/from the other town portions very difficult and slow. Loads of construction to go before it is ready. The stores are most,y upgraded but some are months away. It should be great in about 6 months. If you just want to stay on property, then don’t worry.

Second, there are limits to what you can do on property. There is only one place on site to get a drink after 9:30pm and it is an outdoor bar with seating for about 15. No dancing, no sports bar, so many who want some more appealing evening activities usually want to venture to town. Second, activities are limited to a few standup paddle boards, spa, pool, and snorkeling. If you want more you need to leave the resort and many motorized activities are now banned. I was okay not needing others, but compared to other all inclusive 4-5 stars it seems slightly less available.

Really glad I came. Had a great experience.",Comfort & Facilities:Food:Location
"Transfers - On arrival at the airport we were met by the hotel staff, who made us feel very welcome. The transfer from the airport to Caticlan Port was comfortable. The Shangri-La have their own lounge at the Port, which provided snacks, cold drinks and cold towels. The port process was very smooth, and within 20/30 minutes we were on the Shangri-La speedboat, on our way to the resort. On arrival at the jetty we were once again warmly welcomed and taken to the hotel lobby area by golf buggy for check-in.

Accommodation - We had booked 7 nights in a deluxe sea view room, which was spectacular. The room was very spacious, beautifully decorated and had a wonderful view from the large balcony, which had a small table and 2 chairs as well as 2 comfortable beds to lie on. The bathroom toiletries were lovely, the bed was exceptionally comfortable and the air conditioning worked well. We were very thankful of an upgrade to a 2 bedroom pool villa for our last 2 nights, which was truly out of this world! Huge accommodation, private garden with infinity pool, and a personal butler to make any reservations and assist you - a real treat!

Restaurants / Bars - There are a number of Restaurants to choose from including a casual beach bar. All have plenty of different dishes and the food is of good quality. There are also 2 ‘fine dining’ options available should you wish to treat yourself, both excellent, particularly Rima, which is nestled in the tree tops and serves a Mediterranean menu.
We took advantage of the “cocktail happy hour” at the beech bar, where we discovered our favourite holiday cocktail the “Manila Sunshine”...

Staff & Service - One of the main reasons I love staying at Shangri-La hotels is the hospitality you receive throughout your stay. Every single member of staff always has a smile on their face when they greet you. At points, it felt like we were the only people staying in the hotel, due to the very personal and kind service we received at all times. I have never experienced this level of outstanding customer service in a hotel before, it felt very special.

Natasha & Keith",Comfort & Facilities:Food:Staff
"This was the first time I had traveled to the Philippines and I did it with a child and baby. First off, I want to warn you that traveling through the Philippines is more exhausting than one might imagine with a baby and young child, but I made it and we enjoyed ourselves.

Customer service was just ok, the room was nice and food was mediocre. I was disappointed by how difficult it was for me to book a nanny through the hotel and the children's play area was nothing impressive. The kids had fun and we have some beautiful pictures, but I don't see myself returning.",Staff:Food
"truly an amazing experience, it wasn't only the experience but also the ambiance of the said place was amazing, being at boracay wasn't enough we were provided with good service by the hotel and with that an amazing memory. thank you",Staff
"Super luxury resort away from the busy tourist strip. The service was fantastic and the amenities on offer are second to none. The restaurants are great, the pool area is super relaxing well maintained and you can choose from two private beaches in picture perfect bays.

There is a convenient shuttle service to bring you to the touristy centre which is well managed and very frequent.

You also do not have about how to get there or back to the airport. Picked up from the airport, driven to a welcome lounge, off to the resort with a private speed and escorted to your suite.

The only thing which was a bit of a let down was the attention to detail when our room was made up by Housekeeping. Repeatedly a bit careless and basic things were not replenished despite leaving a note asking for it...",Staff:Location:Food
"Amazing place for me and my family! We were some of the last few guests to have the pleasure to stay here before the Government decided to close down the whole island for 6 months. We had travelled from Hong Kong which required 2 planes via Manila so after all that we were looking forward to our stay at Shangri-la. Our room we originally booked (Loft villa) was not available when we arrived (due to over booking) and we were placed in one of the ground level 1 bedroom garden villas. I was a bit confused at first, as this was not explained to me prior to my arrival so would have liked some heads up. The garden villa was very dark due to being covered by trees and you could not see the ocean, so I was so glad when the following day, we were moved to the loft villa which was higher up so we could see the ocean views and it was so much nicer and lighter. The hotel grounds are amazing and the staff were very happy and professional at all times. I went scuba diving and my instructor was really cool and I had a great time looking at all the marine life. The kids loved the kids play area and just having the option to either use the main pools or our private pool back in the villa. The hotel arranged for our spa massages and a sunset catamaran trip which was awesome. Travel around the resort is by buggy as things are quite spread out especially if you're staying higher up. Used the gym each day and it was well equipped, with changing rooms and shower facilities. Food was really nice in all the restaurants we tried, though I would say sometimes at breakfast it got a bit hectic as the hotel was busy (best to arrive here before 8am). I think the best thing here was the staff and the amazing views of the ocean, it was really like paradise - the sunsets will take your breath away!",Comfort & Facilities:Location:Food
"This is my second time at shangrila and eagerly anticipated my visit.

I Was really disappointed with my stay.

First, upon reaching the airport Lounge and onto the resort shuttle, we felt like cattle. Squeezing everyone onto the bus.

Second, and I will disclaim this and say this is not the staff fault but just lack of initiative. All the staff were lovely, but there is seriously a lack in the staff getting things done. An example, we booked the treetop restaurant and we confirmed the morning off and they said the couldn’t find our reservation. Instead of fixing it up we went back and forth trying to figure out who we made the reservation with, who we talked too etc . This went on for 15-20 minutes. Such a waste of time. Also, on another night at around 8:30 pm we went to the concierge and asked if we could get a reservation at the seafood grill restaurant. She said without even checking that it was booked out?!? I asked her if she wanted to at least call and check... she did. Wow there was availability . We went to the restaurant and it was mostly empty?!?

We also tried to hire a private car... all gone. We can only wait for the shuttle- one hour wait .... no mention of asking a tricycle... we just wanted to eat. We had to hear from another guest that you can ask them to call you a tric ?!? Why did they not tell us this??

This place is not cheap and accordingly you except a level of service. This was not met and I left feeling very disappointed with my stay.",Staff:Food
