Opinion,Classification
"stayed twice during our 2013 visit to the Philippines. 1st was during our arrival where we stayed in the main wing and 2nd was during christmas day where we stayed in the garden wing. I recommend staying at the garden wing: More private location, better rooms, more room amenities, and a dedicated front desk personnel. Their friendliest and helpful staff, the hotel location, and price value are the reasons why I chose this hotel over all the other hotels in Manila.",Staff:Location
"To celebrate New Year's Day, we decided to have lunch at the HEAT, the Coffee Shop at EDSA Shang Hotel. The buffet was pricey at PHP2600 per person. I started with lobster and shrimps and added SHRIMP SALAD on the side. I am a 70 yr. old Lola and not a big eater. I had some tempura and dimsum. 4 pcs sushi (nothing raw). A little beef and some chicken. Dessert was 2 mini cupcakes. After 4 hours, my stomach started acting up. I had the run 4 times and I vomited 4 times too. I was too weak to check into a hospital so I asked the doctor to do a house call. It was a case of FOOD POISONING. Lesson learned: AVOID THE BUFFET AT THE HEAT COFFEE SHOP OF THE EDSA SHANGRILA HOTEL!",Food:Value for money:Comfort & Facilities
"It's been 3 years since our last stay with this hotel. The only reason we booked again with them was they had a deal we couldn't resist. For 7k nett, we were given a room accommodation with 2k dining credits and buffet breakfast for 2. And recently, they renovated the pool, slide and added an aqua play facility. We arrived early at the hotel. Though our room was not yet ready, they gave us a pass to allow us to use their pool and spa. The kids had lots of fun. Their lifeguards/pool staff were very attentive to my 3 year old. My 3 year old knows how to swim. While I finished putting sunblock on my son, my 3 year old walked by herself to the aqua play area. I saw the lifeguard followed her with his eyes and made sure she was ok. When the pool staff first saw her playing/jumping into the pool, they approached me within 5 minutes and asked if she knew how to swim. Coming from our room, we will go immediatly to empty lounge chairs. Within 5 minutes, an attendant will hand us our towels and registration form. We were given a room in the Garden Wing. Our kids enjoyed the sofa bed. Turn down service was excellent! Enjoyed the great service! I hope they will have more great staycation deals in the future. :)",Staff:Comfort & Facilities
"I thought I might write a review even though my stay was 3 months ago.

This hotel is what you would expect from a typical 5 star hotel in Asia. Grand lobbys are part and parcel. Nothing ultra luxurious but nothing mediocre either. Rooms are warm and cozy . The most endearing quality in the rooms of this hotel is that nothing stands out. It's like walking into an open house and the room could be anything you want it to be. I would definitely recommend this hotel for a good night's rest.
Breakfast at Heat was satisfactory but not what it used to be. It may seem like it has an impressive selection but it used to be bigger and wider...more grand.

We booked 2 connecting rooms at the garden wing.The Tower wing and the pool was under renovations during my stay.",Comfort & Facilities:Food
"I usually come to shang with my family when we get the chance ... like if theres no school , work or whenever we feel like it , so awhile ago , we decided to just go again beforr schook starts on monday... so we had a fast check in, was offered an upgrade and the room was really nice , so at first we were treated well, just as a expected coz i always feel happy and contented everytime we check in here. The problem arose when i asked for an extra set of toiletries and dental kits for my children , they didnt want to give me for we could only get a set each day according to the housekeeper manager named ricky , he even came up to our room , and kind of disrespected my husband with his manners and words , he just denied us our request , so aftrwards aftr calling anf connecting to the front desk , they gave us what we wanted , but it was too late , our day was already spoilt , because of the trouble, the kids werent able to take their bubble bath beforr their swim, and we went to the pool later than planned coz we still had to talk to another manager to express our anger ... for we are a gc member and it was the first time that we had this kind of experience, they tried to make up for it by sending some fruits to our room and a bar of chocolate , which i appreciated , but then it doesnt feel the same anymore , we feel that the standard they have isnt as high as what we used to experience and expect anymore",Staff
"During online check-in, they have warned me through email that the hotel is undergoing renovation and there will be construction noise during my stay. When I arrived, they have upgraded me to a better deluxe room as far away from the noise which made my stay more comfortable. However, I noticed a strong pungent smell coming from the lower floors into our 17th floor and quickly reported this to the service centre. They immediately sent someone and install a dehumidifier to get rid of the toxic smell. Overall stay was very good. You must go to the gym and sauna and Erick and Ray will look after you. My only disappointment at the health club was there was no mini-basketball court to shoot around especially the Filipino loves the sport. Perhaps they will include this and consider during the renovation of the gym area. Erick became my personal trainer during my health visit. He is an asset to the health club team. in the sauna, Ray will ensure that you will not overcooked yourself and was happy to keep an eye on me. Excellent service. I was also very disappointed at the restaurant above - Paparazzi, very poor service, never again and will stick to the HEAT restaurant. Overall stay was quite good and I recommend to ask for assistance and report any issues you encounter as the staff are very attentive and will accommodate your request. You must see Rico at the HEAT for breakfast and try his famous egg omelette. It's a MasterChef.",Comfort & Facilities:Food:Staff
"Edsa Shang was the best, inspite of the full accommodation, requests were taken cared off (room service, housekeeping, etc). Patience is required during check-in but the Hotel Manager saw to it that are needs were met. They also communicated very well and had a pleasant attitude.",Staff
"It was a horrible experience last December 30 that I have to wait for 2hours before my checkin. Majority of the guests that time share the same sentiments. I wasn't really expecting that kind of treatment considering I reserved at the horizon club and was also a GC Gold member which guarantee you express check in and check out.

On the other side, my room was okay. The lounge area is small which I think is overrated. The food at the lounge is fairly okay. Nothing extraordinary. I think you just pay and receive what was deserved.",Value for money:Food:Staff
"As usual, took me a couple of months to read up, evaluate and finally decide on a hotel. This time it is in Manila, Philippines from December 18-20. Many great choices but finally settled for Shangri-la Edsa primarily because of the reviews regarding service, location and breakfast! Although some remarked about the ongoing renovations, an email to them and their quick reply laid my worries aside. So the pluses. Actually, only pluses:
1. They answered my emails- no matter how many I sent - within 12 hours.
2. Check-in. Very quick, efficient, welcoming and friendly. Felt at home right away. Next time I wil see to it to bring mementos for the staff!!!
3. Front desk, doormen, concierge on duty all display same high level service and warm friendliness.
4. Lobby is beautiful. Live lounge music during our after-dinner tea/coffee price of which was surprisingly cheap.
5. Rooms: newly renovated, big, cool, very clean and comfy linens and pillows.
6. Flat screen, wifi, radio and phone, including in the toilet.
7. Toilet and bath: big, good products, clean tub, excellent shower. Plenty of towels and towelettes which still smell new. Hair dryer. Magnifying glass. etc.
8. daily freebies: bottled water, newspaper, fruits etc.
9. Sleep quality. Except in the afternoon (we didnt actualy sleep inspite of the 48-hr travel from Brazil) nights were quiet. So sleeping was no problem.
10. Room service. Quick and discrete.
11. Housekeeping. No complaints. As usual, quick to attend to our needs. My cousin and I asked for extra hair products (both have long tresses) got them no sooner than we hanged the phone up.
12. BREAKFAST - in caps but definitely not because am angry. In caps to emphasize it. It was veeery good! Superb. For us balikbayans the Tapsilog area with local native favorites was truly a big hit. We were even able to order what was not on display like fried bangus!!! There is just no way one can complain about breakfast in Shangri-la. Just ask for it and it shall be given unto you! :) :) :) Check out my pictures later on. Let the images do the speaking. For now I'll say, if you want to treat some people to nice meal. Choose brunch and bring to Shangri-la Edsa.
13. POOL - beautiful area. Surrounded by green. Makes you forget that you are actually right in the middle of the city. Very clever design and landscaping. Was not able to use the pool (with two malls next door, women won't use pools. :) My brother did spend a morning lazing, drinking and swimming. He of course swears that it beats walking through the frenzied throng of mall goers during Christmas season.
Shangrila is so nice that my friends who came over to welcome us spent lots of time picture taking in the hotel lobby, pool area and other snap-and facebook worth corners in and around the property!
Day after tomorrow, it is the turn of my husband and in-laws to arrive in Manila. They will of course stay in Shangri-la Edsa. So, more reviews to come. Let us see if they will have the same review. Right now all I can add is that reservations@shang has been sending me emails confirming their arrival, arranging for pick up, arranging for special rooms considering the long journey of the guests, etc. Impressive service onsite and online. Will certainly be back and will certainly recommend to my friends here and abroad. Thank you Shang for a memorable stay.",Staff:Comfort & Facilities:Food
"This is one of the Philippines most prestigious hotels. The atmosphere suits your dream rest and recreation even though its right at the center of Ortigas business district. Amenities are world-class.

It is also adjacent to 5 malls where you can shop depending on your budget and needs. Many low-key and hole in the wall restaurants are also just 5-10min away if you are the type who travels for food.",Location:Food
