Opinion,Classification
"Relaxing for the day....,Everything was good more than I expected. I would tell anyone if they had the chance to visit this hotel. A good place to be!",Staff
"Rundown hotel rooms, poor housekeeping staff service ,This hotel needs a major upkeep and maintenance works. For the room rate that I paid - Php12,800/night- the bathroom pipes were clogged, the housekeeping staff took forever to deliver our requests, the carpet is filthy, and no safety handles for PwDs inside the bathroom, except for one on the shower wall. Bath tub is too high for a pwd who has dofficulty climbing. Plus, the twin beds are soooo small. Marriott has better beds and rooms.",Comfort & Facilities:Staff:Cleanliness
"Hotel needs major renovation and accounting system untrustworthy. ,Room furniture (on the horizon club category) needed a major renovation. The sink and bath tub drain were clogged, bathtub needs more safety measures for senior citizens like my mom. Housekeeping is super slow, our request for additional towel never came. Horizon club is ok but little children tended to make a lot of noise and hotel staff seemed helpless in keeping the children behave well. Worst of all, I was double charged for my horizon club room! The POS kept printing out one night and wouldn’t clear out. I had to pay for the room and then later that day I reviewed my receipts and emails and true enough, I was charged twice! I immediately called the front desk at horizon club and thanks to Therese, she quickly solved the problem and reimbursed me in cash. But really, Shang, your accounting system sucks. I wonder how many customers you’ve already double charged because of your bad system? I had expected something more than a return on my excess payment - but none came. :-(",Value for money:Comfort & Facilities:Staff
"cost,our room was 20,500 pesos for 2 nights, then found out when paying for room another 5,000 pesos for taxes, to me thats stupid that 25% of the room cost, not come back there again, there are lots of hotels just as good and don't charges 25% tax on room",Value for money
"Excellent,I am not satisfied with the kind of service that the staff in the reception area of the Horizon Club Garden Wing handled our complaint about our room key when we were about to check out already. This is the first time that I am not so happy with my stay at Shangri la.",Staff
"It is always great to stay in Shangri La.,The staff is always accommodating and courteous. The rooms are clean. The beddings and blankets have thinned out and look a bit old. The 24/7 in-room Service do not answer early morning calls. If they do, it takes a long time for them to receive calls. But, still great!",Staff
"For my Dad’s birthday,I actually booked 2 nights staycation for my parents as it was my dad’s 74th birthday. The place was really fab especially the location and my dad commended the staff as they were very helpful. He also got amfree birthday cake.. thanks Edsa Shangrila Hotel for making my dad’s birthday unforgettable.. 😊",Staff:Location:Food
"Never fail our expectations,I am impressed with the security/medical response team. Firstly, when my skirt got caught on the escalator (though i was the 1 who pushed the stop button). They were kind enough to call our room and check on me, even though it was quite obvious that there was no bodily harm done. Second, there was an accident in the pool area involving one of the minor guest and the emergency team was quick to respond. The staff were all nice (front desk, gym, pool, lounge/bar, the heat, the staff in charge of our room/floor and even the security staff ). When I'm in the mandaluyong area, will choose edsa shangrila, will book through agoda or direct on the hotel's website. Never fails!!!!",Staff:Comfort & Facilities
"Excellent stay on a holy week,They tried their best to make things as smooth as possible although checking in was a headache bec of the queue. Other than that it was an excellent stay, breakfast was awesome! Would check in again definitely.",Staff:Food
"Excellent,The carpet and couch in our room could use a little more vacuuming and disinfecting. Toilet and bath is nice and clean, but we would appreciate a bidet. There are a lot of storage (drawrs & cabinet) which is essential if you're staying for longer. Refrigerator is not able to cool our drinks as much. But it is a classic Shangri-La hotel, with sufficient amenities and convenient location. There is a bridge from the hotel to the mall, and staff are courteous too. Overall we are happy with the deal we got from Agoda for our weekend stay.",Comfort & Facilities:Cleanliness
"good clean, ,good relax",Cleanliness:Food
"Thoughtful service!,We stayed over the weekend to celebrate our anniversary and they were so sweet to leave us an anniversary cake during the turndown.. plus a complimentary late check-out. Food at HEAT, the facilities and the warm service are a plus too.",Staff:Food
"Exceptional,Great place if you plan to stay around Edsa. the hotel is close to the mall if your plan is to shop and eat, and just to relax. There are few local family restaurants in the mall that became my favorites in day 1.",Location:Food:Comfort & Facilities
"Not up to Shangri La Standard ,Slow service all around from check in to leaving no help with luggage soon arrival service in the lobby lounge very slow and when I asked for a metered taxi waited 30 minutes for them to get one. Location is poor only the mall is nearby traffic is terrible and interior of the hotel is dated",Staff:Comfort & Facilities
"An Oasis in the City,I love the resort feel Edsa Shangri-la always brings to our staycations. Staff are pleasant and attentive especially at Heat. Was disappointed though that there was no welcome fruit when this is standard for Golden Circle members.",Staff:Food
"So so Stay,Went there during the holiday break but I guess a thousand other people had the same idea. Pool was jam-packed, took hours for the valet to get our car upon check out, frayed nerves, etc. However, staff were still friendly and pleasant despite the difficulties of having to deal with all those customers! Surprisingly, check-in and check-out were managed well despite the multitude of people.",Staff
"I love everything about Edsa Shangri-la,IMHO, better than Makati Shang and Shangri-la at the Fort! I love the resort feel, much like Shangri-la Mactan. Service, facilities are top notch! I'm sure it'll be the start of a family tradition to book every New Year! Keep it up!",Staff
"Overall Good Hotel,This is a grand hotel with top dining facilities, friendly staff and an opulent lobby. It's in a great location and overall I had a comfortable stay. However, I was a little disappointed about the condition of my room (7th Floor, Garden Wing). Considering the price I paid, the room was rather old and dated, and it looked like it could do with being renovated. All in all, I will give it 8/10.",Comfort & Facilities:Value for money
