Opinion,Classification
"Can't really comment on the rooms as we just held an event here. From our experience, everything was on point except the service. The wait staff were nice, but poorly trained. Service took unusually long, which is definitely not something you want when you're hosting a business forum.",Staff
"Horizon Club spoiled our stay.

Booked a club access floor and discovered restrictive policies on dress code and prohition on children during cocktail hours.

Lack of alternatives and initiative to present these made it worse.

Staff seem ""entitled"" to something. Appeal to some sort of target market.

Horrible experience over-all. Not recommending to families.

""Weekend treat"" offer did not match expectations of a relaxing weekend.",Staff:Food:Comfort & Facilities
"The hotel lobby is not so impressive compare to the other two Shangai-la in Manila , but the accommodation is really the best you can get in Manila.
The amenities in the rooms are great definitely I will be back .
The staff are really very friendly and attentive to any details.",Comfort & Facilities:Staff
"this is a really high-end 5 star resort hotel in a very central location in Manila. The room was incredibly spacious and luxurious, and had everything we needed. The sports facilities are truly epic - three floors including multiple pools, squash, tennis and basketball courts and a huge gym. The breakfast and evening buffets were really very good too. Highly recommended!",Comfort & Facilities:Value for money:Food
"Shangri-La never disappoints, whether here in Manila or in other Asian cities.

Their newest offering at the Fort is perfect for families, where kids can spend an entire afternoon just playing at the pools (three in all).

Its location also offers close proximity to several dining options within the building, or along nearby High Street.

The rooms are spacious and elegantly decorated, with its muted beige and neutral colors.

The only critique I have is the underwhelming lobby. This was my niece's first comment when we first entered to check in. It isn't as grand as the lobbies of its predecessors (Makati and EDSA).",Location:Comfort & Facilities
"I had a standard room which was decorated in a calming, relaxing way, with plenty of space.

The staff gave a very warm welcome throughout the hotel - reception, concierge, bellboy, wait-staff, security, housekeeping, etc

Security was a bit over the top. I know it is fairly standard in this city for your car to be stopped before entering the hotel grounds to be checked by a small troop of security guards and dogs. That happened. And then when I was out of the car I also had to put all my luggage through an xray machine and walk through a metal detector. Well, when I say all of my luggage, my suitcase was too big (despite being a fairly standard medium sized suitcase) to fit through the aperture of their xray machine so they had to take a risk and let me in with it without it being xray'd.

The pool area has cabanas and sun loungers. It isn't exactly a secluded spot though as it is overlooked by several neighbouring office buildings. These buildings also provide shade from the sun so not ideal for those seeking a bit of sun exposure.

On check-out I was asked if I wanted a car. Knowing the hotel has its own car service providing superior cars for a vastly superior fee I politely declined and asked the concierge to order me a regular taxi. It was at a time of day and with weather conditions that conducive to taxis being readily available. .....and in Manila it doesn't matter what car you are in, if there is traffic en route to the airport you will be stuck in it!

The block on which the Shangri-La sits is still a building site. The hotel side is ostensibly complete although some shops/restaurants outside are still to open. The other half is still very much under construction.

It is a good location though. On a good day, you are perhaps just 15 minutes drive from T3 of NAIA. You are a short walk from Bonifacio High Street with all its shops, restaurants, cinema and random events on one side. On the other side of the hotel is the Mind Museum and then Burgos Circle, another area for restaurants. It is also just a short walk from St Lukes Medical Centre, one of the better hospitals in the country.",Comfort & Facilities:Location:Staff
"The Shangri-La at the Fort is another strong addition to Shangri-La's portfolio of hotel in the Philippines.The hotel is quite new and is in excellent physical condition. The staff is amazingly attentive, friendly, and service orientated. The rooms and facilities are luxurious.

I was only able to eat in the main restaurant (High Street Cafe), the associated lounge (High Street Lounge), and the gym. All three were quite good. The main buffet (in HS Cafe) is perhaps smaller than in other Shangri-La, but is very high quality. I did not try out the three specialized restaurants-- they are pricey but seem promising.

But as a new hotel, it is still working out a few minor edges. The room service menu is relatively limited compared to the food available in the main restaurant; with time, this will improve. Likewise, some service requests were a bit slow, such as requests for ice. Others, such as printing out documents, were remarkably efficient.

The location is excellent, in easy walking distance to a number of restaurants and stores. It is generally easy to a call a car from Uber or Grab and there are also a lot of taxis available on the street. Market Market and SM Aura are within walking distance.

I stayed here for almost three weeks and I would not hesitate to stay here again.",Food:Location:Comfort & Facilities
"I would have rated this hotel 5 stars without hesitation but for two incidents. I stayed at a one bedroom suite at the Residences for 9 nights. The room was beautiful and designed for the comfort of the guests. However, the a/c broke down during the middle of the night and it took a whole day to fix it. I had a few guests that day and unfortunately, we were perspiring during our meeting. The following night, I found a cockroach in the bathroom. The staff came to clean immediately but J believe that a 5-star hotel of this quality and price should ensure that these things don't happen. Lots of apologies were given by the staff with a bottle of wine and chocolate cookies. Not sure I can get over the cockroach experience as it was pretty disgusting!",Staff:Cleanliness:Value for money
"Great rooms, lovely hotel, drinks in the lobby are amazing. Had a smashing stay! If you stay in Manila stay at the Fort. The swimming pool area at Samba is gorgeous. There is some building work around however that can't be helped.",Comfort & Facilities:Food
Finished three days at this hotel. Excellent choice for being in the middle of conveniences. So fast to and from airport. Suggest their car service. It is beside a ton of restaurants and bars. One of the best fitness clubs in the world as part of the hotel called kerry sports. And the cutest little spa hidden away on same floor where i had an amazing treatment. Will definitely book here again for all of my meetings.,Location:Comfort & Facilities:Staff
