Opinion,Classification
"Traffic is terrible in Metro Manila, and if you have business in Ortigas, best to stay in EDSA Shang. Direct access to the mall, good swimming pool, good breakfast buffet, and generally walkable to any part of Ortigas CBD.",Location:Food
"This was a well-maintained hotel in the city centre. Some floors were also newly refurbished recently. The room was comfortable and I had a huge King-sized bed that was actually 2 Queen beds put together. Buffet breakfast was also pretty impressive with a large selection of Asian and Western food.

The only complaint I had was they extremely slow check-in process which took about 30 minutes. The only redemption was the welcome drink made up of a fruit and vegetable smoothie that was interesting and tasty.",Food:Comfort & Facilities
"It was my husband's birthday and Citibank gave us FREE room if we book for just one night at their Tower Wing Premier Room. We were given a corner room on the 13th floor and we immediately felt so special. The room smelled fresh and clean. Pillows and bed were soft and clean. Toilet was big and the toiletries smelled good. A few minutes after we checked-in a birthday cake was delivered to our room.

We are a a family of 4 adults and we availed of 2 rooms. We were impressed by the service of their staff in the gym. Aside from giving us a brief tour of the gym facilities, she even made a demo of how we can benefit from a new machine. She also accompanied us to the Chi Spa and from there she accompanied us to the elevator leading to our room. This girl's name is Mitch. We will never forget her.",Staff:Comfort & Facilities:Cleanliness
"My second time staying at edsa was just as luxurious as the first. The hotel has all the ammenities one would need and they wil accommodate you with any wish. However i did have some issues with the organisation of the staff in the restaurant. We had a prearranged deal with included meals, but somehow i ended up being charged extra, and asked about this seeveral times during my stay. Furthermore one of the hostess' was quite snobby and gave me a really bad impression. The rest of the staff are nothing short off amazing. Especially the room cleaning crew and the pool crew. Big cudos for them. All in all a great place for a longer stay, all though some of the restaurant staff should be better organized.",Staff:Food
"I often take my dog (22-lbs, very well trained, wonderful soul), especially when I travel with family or business more than a week. It's very unfortunate that I could not take him on this trip because we were staying here. This is a beautiful hotel, don't get me wrong. I do not mind paying a pet fee or something, I just wish they would have options for pet owners who travel for business or leisure.",Staff
"I really wanted to be blown away by the level of service and luxury at this hotel. It is after all a Shang and therefore should be amazing. Sadly there's not a lot of good points. I stayed at the hotel for 35 nights so enough time to be wowed. Firstly the good points
Airport pick was quick and easy and the car had cold water, snacks and decent WiFi
Check in was efficient and I was taken straight to my room (more on that later)
Room is clean and tidy
Location is good within 200m of Mega Mall, easy walk to Podium and attached to the Shangri la Plaza
Hotel cars are always on time
The staff smile and offer a warm greeting you every time you return to the hotel (also helpful provided you don't ask for anything)

As I say for a short couple of days everything seems fine. Now for the not so good points

The first room I was put into was next to the lift shaft, there is only so many times you can hear six different lifts go bing every time they stop
Second room had a light in the entrance that wouldn't turn off even after reporting to the staff 3 times
Breakfast was not included in the room rate, despite the advertised long stay rate on their own electronic board saying it was.
Breakfast is 1540 pesos in Heat so I declined (but was told my special deal had 20% discount)
A simple gin and tonic was more expensive than their cocktails.
Not one staff member could explain why the long stay special on their electronic board was cheaper and had more inclusions than my special long term rate
WiFi very average and drops out numerous times
Getting a final bill to check out took 3 visits to the desk
Had to still pay more as they had forgotten items after final check out
If you do have a problem most of the staff will attempt to avoid you

Due to the location of my office this is one of the choices, however there are many better 5 star choices. At around 260usd per night I expect more",Staff:Value for money:Food
Nice Facilities. Close to everywhere worthwhile. 'Avoided the Metro traffic by setting up the meetings around the Ortigas area. Buffet at Heat restaurant is very good. Unwinding at nearby Metrowalk was good. Shopping at adjacent SM and Shangrila was cost efficient and convenient.,Food:Location:Comfort & Facilities
"For the Past 7 years I have made Edsa Shangri-La my second home in Manila. I come every year to Manila and always make sure I stay a few nights here. The moment you walk in you feel immediately welcome and the beautiful lobby and furnishings ensure you are staying in pure luxury. However, the hotel has been recently renovated and the rooms are now a lot less glamorous. The room I stayed in recently was poorly finished (paint was on the tiles of the bathroom, sockets on the desk not secured etc). The colours and design of the room now a lot lighter compared to the dark furnishings before- you feel like you are in a mermaid theme room with turquoise curtains and vibrant colours all around compared to the golden yellows and dark wood furnishings before. Overall I’m a bit disappointed, but still the hotel hosts quality amenities that make it a comfortable stay. For one, the Pool and its gardens are a perfect way to relax and get away from the hustle and bustle of the city. Nice size gym with everything you need from punching bag to weights, Sauna, Steam Room, Jacuzzi, Tennis Court/Basketball court- it has it all. The highlight of the Hotel for me and main reason I come back year after year is the Buffet Breakfast at Heat. Countless amount of choices and variety from American Breakfast to Filipino to Indian, Fresh Native Fruit, European Cold cut meats, Dim sum, Ramen, Fresh French Bread and Pastries, Freshly squeezed Juice- Anything thing your belly desires is here and it is such a treat- (tip:- start around 8am as less busy)- A special recommendation to Chef Rico Mendoza who is on the Omelette station and has made me feel so special over the past 7 years of staying at Edsa Shang. Once your done with Breakfast you are a short stroll from Shangri-la plaza Mall or Mega Mall or if you are looking for a bargain only a short taxi ride from GreenHills. Hotel is extremely safe (security and sniffer dogs outside, taxis plates are recorded if you pick one up at the hotel entrance). This hotel caters for the business traveller also in its Horizon lounge which is away from the noisiness of Family Guests and Balikbayan reunions. Hotel lobby has nice evening entertainment where you can enjoy a few drinks and snacks whilst listening to a live singers and piano player under candlelight. I’m not a big fan of the hotel restaurants as they are extremely overpriced and you can find better food quality food outside (Senju resto gave me food poisoning one year- Hotel still charged me for a Doctor). I have stayed at this Hotel over various months of the year, and as each year goes by it just seems to get busier, but the hotel still maintains a high standard of service and you still maintain the 5 star luxuries that you are paying for. This hotel far surpasses the likes of the Peninsula, Dusit, Pan-Pacific etc as if you are a foreign visitor you have a better taste and experience of the Filipino culture and hospitality in a 5 star environment.",Food:Comfort & Facilities
"Great property, lovely people and a great Guest relations team to greet you and check in every time you go.. They strive to become better every time.. Special mention to that boy Lakhmal and Madam Joy Reyes for managing the great team..",Staff
"This is a beautiful hotel in Manila with a wonderful pool and an over-road link to the mall. The rooms are spacious and clean and the food is of a generally high standard if you can get it......

The service completely lets down this supposed five star hotel with incompetent but friendly staff. A simple order of fries took the best part of an hour to arrive by the pool and when they did, they were the wrong order; an offer of coffee at breakfast only arrived after 15 minutes and being chased twice; cars ordered at least half a day in advance were suddenly unavailable at the correct time; a request to have my room cleaned at 5pm each day during my stay (offered on check in so not a demand from me) was somehow forgotten every day even though each day I was assured a note went on the account.

Five star hotel, three star service.",Staff:Food:Comfort & Facilities
